                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             8.076944E-02             3.275658E-04             9.855313E-07             1.625871E-05             3.448100E-04             4.742051E-01             6.907797E-02             4.745499E-01
                   0.1800             7.757899E-02            -1.003984E-03            -3.020634E-06             5.630416E-04            -4.439627E-04             4.711752E-01             6.894364E-02             4.707312E-01
                   0.3600             7.754208E-02            -1.983263E-03            -5.966925E-06             8.638555E-04            -1.125375E-03             4.709822E-01             6.895094E-02             4.698568E-01
                   0.5400             7.753739E-02            -2.962591E-03            -8.913325E-06             1.163767E-03            -1.807737E-03             4.708068E-01             6.894601E-02             4.689990E-01
                   0.7200             7.754642E-02            -3.941864E-03            -1.185951E-05             1.464259E-03            -2.489464E-03             4.706459E-01             6.894110E-02             4.681565E-01
                   0.9000             7.756363E-02            -4.920818E-03            -1.480467E-05             1.765742E-03            -3.169881E-03             4.704951E-01             6.893604E-02             4.673252E-01
                   1.0800             7.758741E-02            -5.899393E-03            -1.774859E-05             2.068354E-03            -3.848787E-03             4.703684E-01             6.894637E-02             4.665196E-01
                   1.2600             7.761712E-02            -6.877725E-03            -2.069169E-05             2.372184E-03            -4.526233E-03             4.702349E-01             6.894154E-02             4.657086E-01
                   1.4400             7.765237E-02            -7.855630E-03            -2.363337E-05             2.677304E-03            -5.201959E-03             4.701092E-01             6.893654E-02             4.649072E-01
                   1.6200             7.769207E-02            -8.833078E-03            -2.657355E-05             2.983412E-03            -5.876240E-03             4.699883E-01             6.893139E-02             4.641121E-01
                   1.8000             7.773586E-02            -9.809966E-03            -2.951189E-05             3.290361E-03            -6.549117E-03             4.698893E-01             6.894421E-02             4.633402E-01
                   1.9800             7.778373E-02            -1.078634E-02            -3.244850E-05             3.598137E-03            -7.220653E-03             4.697766E-01             6.893942E-02             4.625559E-01
                   2.1600             7.783566E-02            -1.176206E-02            -3.538296E-05             3.906728E-03            -7.890716E-03             4.696676E-01             6.893451E-02             4.617769E-01
                   2.3400             7.789165E-02            -1.273712E-02            -3.831523E-05             4.216123E-03            -8.559314E-03             4.695623E-01             6.892948E-02             4.610030E-01
                   2.5200             7.795168E-02            -1.371144E-02            -4.124504E-05             4.526311E-03            -9.226371E-03             4.694608E-01             6.892433E-02             4.602344E-01
                   2.7000             7.801575E-02            -1.468495E-02            -4.417218E-05             4.837285E-03            -9.891837E-03             4.693847E-01             6.894086E-02             4.594929E-01
                   2.8800             7.808384E-02            -1.565762E-02            -4.709655E-05             5.149035E-03            -1.055568E-02             4.692914E-01             6.893623E-02             4.587357E-01
                   3.0600             7.815594E-02            -1.662937E-02            -5.001786E-05             5.461555E-03            -1.121783E-02             4.692017E-01             6.893151E-02             4.579839E-01
                   3.2400             7.823205E-02            -1.760016E-02            -5.293599E-05             5.774839E-03            -1.187826E-02             4.691158E-01             6.892669E-02             4.572375E-01
                   3.4200             7.831216E-02            -1.856993E-02            -5.585076E-05             6.088882E-03            -1.253690E-02             4.690336E-01             6.892180E-02             4.564967E-01
                   3.6000             7.839627E-02            -1.953863E-02            -5.876197E-05             6.403679E-03            -1.319371E-02             4.689550E-01             6.891683E-02             4.557613E-01
                   3.7800             7.848437E-02            -2.050619E-02            -6.166940E-05             6.719226E-03            -1.384863E-02             4.688802E-01             6.891179E-02             4.550316E-01
                   3.9600             7.857646E-02            -2.147257E-02            -6.457294E-05             7.035520E-03            -1.450162E-02             4.688368E-01             6.893430E-02             4.543351E-01
                   4.1400             7.867253E-02            -2.243769E-02            -6.747233E-05             7.352540E-03            -1.515262E-02             4.687701E-01             6.892994E-02             4.536175E-01
                   4.3200             7.877259E-02            -2.340152E-02            -7.036744E-05             7.670300E-03            -1.580159E-02             4.687071E-01             6.892551E-02             4.529056E-01
                   4.5000             7.887663E-02            -2.436399E-02            -7.325805E-05             7.988795E-03            -1.644845E-02             4.686479E-01             6.892103E-02             4.521994E-01
                   4.6800             7.898464E-02            -2.532505E-02            -7.614400E-05             8.308025E-03            -1.709317E-02             4.685923E-01             6.891651E-02             4.514991E-01
                   4.8600             7.909664E-02            -2.628465E-02            -7.902510E-05             8.627985E-03            -1.773569E-02             4.685404E-01             6.891193E-02             4.508047E-01
                   5.0400             7.921262E-02            -2.724272E-02            -8.190117E-05             8.948676E-03            -1.837595E-02             4.684921E-01             6.890732E-02             4.501162E-01
                   5.2200             7.933258E-02            -2.819922E-02            -8.477201E-05             9.270095E-03            -1.901389E-02             4.684476E-01             6.890267E-02             4.494337E-01
                   5.4000             7.945653E-02            -2.915408E-02            -8.763748E-05             9.592242E-03            -1.964948E-02             4.684067E-01             6.889799E-02             4.487572E-01
                   5.5800             7.958446E-02            -3.010726E-02            -9.049735E-05             9.915113E-03            -2.028264E-02             4.683694E-01             6.889329E-02             4.480868E-01
                   5.7600             7.971638E-02            -3.105870E-02            -9.335148E-05             1.023871E-02            -2.091334E-02             4.683730E-01             6.892573E-02             4.474596E-01
                   5.9400             7.985228E-02            -3.200834E-02            -9.619967E-05             1.056302E-02            -2.154151E-02             4.683439E-01             6.892186E-02             4.468024E-01
