                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                   0.0000             1.351775E-07             6.136448E-02             1.687538E-08
                   0.1800             6.381928E-05             2.744465E+01             1.530650E-08
                   0.3600             6.410725E-05             2.756850E+01             1.379477E-08
                   0.5400             6.413305E-05             2.757953E+01             1.234003E-08
                   0.7200             6.409534E-05             2.756327E+01             1.094235E-08
                   0.9000             6.404839E-05             2.754309E+01             9.601763E-09
                   1.0800             6.400267E-05             2.752342E+01             8.318251E-09
                   1.2600             6.396306E-05             2.750640E+01             7.091855E-09
                   1.4400             6.392887E-05             2.749170E+01             5.922565E-09
                   1.6200             6.390048E-05             2.747950E+01             4.810430E-09
                   1.8000             6.387760E-05             2.746967E+01             3.755436E-09
                   1.9800             6.385992E-05             2.746207E+01             2.757605E-09
                   2.1600             6.384723E-05             2.745662E+01             1.816955E-09
                   2.3400             6.383920E-05             2.745317E+01             9.334895E-10
                   2.5200             6.383553E-05             2.745160E+01             1.072292E-10
                   2.7000             6.383595E-05             2.745179E+01            -6.618297E-10
                   2.8800             6.384017E-05             2.745361E+01            -1.373678E-09
                   3.0600             6.384790E-05             2.745694E+01            -2.028297E-09
                   3.2400             6.385887E-05             2.746166E+01            -2.625690E-09
                   3.4200             6.387278E-05             2.746765E+01            -3.165846E-09
                   3.6000             6.388939E-05             2.747480E+01            -3.648757E-09
                   3.7800             6.390836E-05             2.748296E+01            -4.074428E-09
                   3.9600             6.392942E-05             2.749203E+01            -4.442850E-09
                   4.1400             6.395234E-05             2.750189E+01            -4.754022E-09
                   4.3200             6.397677E-05             2.751240E+01            -5.007941E-09
                   4.5000             6.400245E-05             2.752345E+01            -5.204611E-09
                   4.6800             6.402913E-05             2.753493E+01            -5.344028E-09
                   4.8600             6.405646E-05             2.754669E+01            -5.426196E-09
                   5.0400             6.408419E-05             2.755862E+01            -5.451112E-09
                   5.2200             6.411206E-05             2.757061E+01            -5.418788E-09
                   5.4000             6.413971E-05             2.758251E+01            -5.329219E-09
                   5.5800             6.416694E-05             2.759423E+01            -5.182413E-09
                   5.7600             6.419337E-05             2.760560E+01            -4.978380E-09
                   5.9400             6.421874E-05             2.761652E+01            -4.717123E-09
                   6.1200             6.424281E-05             2.762687E+01            -4.398649E-09
                   6.3000             6.426520E-05             2.763651E+01            -4.022966E-09
                   6.4800             6.428566E-05             2.764532E+01            -3.590085E-09
                   6.6600             6.430393E-05             2.765318E+01            -3.100015E-09
                   6.8400             6.431964E-05             2.765994E+01            -2.552768E-09
                   7.0200             6.433254E-05             2.766550E+01            -1.948358E-09
                   7.2000             6.434233E-05             2.766971E+01            -1.286794E-09
                   7.3800             6.434871E-05             2.767247E+01            -5.680897E-10
                   7.5600             6.435140E-05             2.767363E+01             2.077388E-10
                   7.7400             6.435011E-05             2.767308E+01             1.040674E-09
                   7.9200             6.434454E-05             2.767069E+01             1.930704E-09
                   8.1000             6.433440E-05             2.766634E+01             2.877808E-09
                   8.2800             6.431942E-05             2.765991E+01             3.881968E-09
                   8.4600             6.429931E-05             2.765127E+01             4.943168E-09
                   8.6400             6.427376E-05             2.764029E+01             6.061384E-09
                   8.8200             6.424256E-05             2.762688E+01             7.236601E-09
                   9.0000             6.420538E-05             2.761090E+01             8.468791E-09
                   9.1800             6.416202E-05             2.759226E+01             9.757934E-09
                   9.3600             6.411216E-05             2.757083E+01             1.110401E-08
                   9.5400             6.405558E-05             2.754650E+01             1.250699E-08
