                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             5.000000E-08             1.009264E+02             3.037188E+02             3.429047E+05             1.157972E+00             4.300414E+05             3.900247E+03             1.866185E-05             1.006508E+03             2.712607E-02             5.789862E-08             0.000000E+00             0.000000E+00
                   0.1800             5.005066E-08             8.614239E+01             3.019892E+02             3.499326E+05             9.939815E-01             4.283337E+05             3.940062E+03             1.863091E-05             1.006212E+03             2.652732E-02             5.144068E-08             0.000000E+00             0.000000E+00
                   0.3600             5.009648E-08             8.601610E+01             3.045261E+02             3.516891E+05             9.842376E-01             4.308868E+05             3.948902E+03             1.875259E-05             1.006313E+03             2.671508E-02             5.099497E-08             0.000000E+00             0.000000E+00
                   0.5400             5.013763E-08             8.600403E+01             3.051969E+02             3.521405E+05             9.819319E-01             4.315618E+05             3.951156E+03             1.878469E-05             1.006341E+03             2.676464E-02             5.091769E-08             0.000000E+00             0.000000E+00
                   0.7200             5.017429E-08             8.602001E+01             3.053690E+02             3.522455E+05             9.815597E-01             4.317349E+05             3.951670E+03             1.879293E-05             1.006349E+03             2.677736E-02             5.093328E-08             0.000000E+00             0.000000E+00
                   0.9000             5.020665E-08             8.604084E+01             3.054110E+02             3.522618E+05             9.816621E-01             4.317772E+05             3.951739E+03             1.879494E-05             1.006351E+03             2.678047E-02             5.096875E-08             0.000000E+00             0.000000E+00
                   1.0800             5.023489E-08             8.606085E+01             3.054196E+02             3.522564E+05             9.818629E-01             4.317858E+05             3.951700E+03             1.879535E-05             1.006352E+03             2.678111E-02             5.100530E-08             0.000000E+00             0.000000E+00
                   1.2600             5.025918E-08             8.607851E+01             3.054195E+02             3.522466E+05             9.820646E-01             4.317857E+05             3.951641E+03             1.879535E-05             1.006352E+03             2.678111E-02             5.103823E-08             0.000000E+00             0.000000E+00
                   1.4400             5.027970E-08             8.609362E+01             3.054176E+02             3.522371E+05             9.822432E-01             4.317837E+05             3.951584E+03             1.879526E-05             1.006352E+03             2.678097E-02             5.106646E-08             0.000000E+00             0.000000E+00
                   1.6200             5.029663E-08             8.610620E+01             3.054154E+02             3.522288E+05             9.823938E-01             4.317815E+05             3.951535E+03             1.879516E-05             1.006352E+03             2.678081E-02             5.108992E-08             0.000000E+00             0.000000E+00
                   1.8000             5.031015E-08             8.611635E+01             3.054133E+02             3.522219E+05             9.825163E-01             4.317794E+05             3.951494E+03             1.879506E-05             1.006352E+03             2.678067E-02             5.110876E-08             0.000000E+00             0.000000E+00
                   1.9800             5.032045E-08             8.612421E+01             3.054116E+02             3.522165E+05             9.826117E-01             4.317775E+05             3.951462E+03             1.879498E-05             1.006352E+03             2.678054E-02             5.112321E-08             0.000000E+00             0.000000E+00
                   2.1600             5.032769E-08             8.612989E+01             3.054101E+02             3.522126E+05             9.826814E-01             4.317760E+05             3.951438E+03             1.879491E-05             1.006352E+03             2.678043E-02             5.113351E-08             0.000000E+00             0.000000E+00
                   2.3400             5.033207E-08             8.613353E+01             3.054088E+02             3.522100E+05             9.827269E-01             4.317748E+05             3.951422E+03             1.879485E-05             1.006352E+03             2.678034E-02             5.113988E-08             0.000000E+00             0.000000E+00
                   2.5200             5.033375E-08             8.613525E+01             3.054079E+02             3.522086E+05             9.827496E-01             4.317738E+05             3.951413E+03             1.879480E-05             1.006352E+03             2.678027E-02             5.114259E-08             0.000000E+00             0.000000E+00
                   2.7000             5.033292E-08             8.613519E+01             3.054072E+02             3.522084E+05             9.827511E-01             4.317731E+05             3.951411E+03             1.879477E-05             1.006352E+03             2.678022E-02             5.114187E-08             0.000000E+00             0.000000E+00
                   2.8800             5.032977E-08             8.613346E+01             3.054067E+02             3.522093E+05             9.827329E-01             4.317726E+05             3.951415E+03             1.879475E-05             1.006352E+03             2.678018E-02             5.113796E-08             0.000000E+00             0.000000E+00
                   3.0600             5.032446E-08             8.613019E+01             3.054065E+02             3.522112E+05             9.826964E-01             4.317724E+05             3.951425E+03             1.879473E-05             1.006352E+03             2.678016E-02             5.113111E-08             0.000000E+00             0.000000E+00
