                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                             0.0000                       5.000000E-08                       3.284577E-05                       1.010003E+02                       3.036732E+02                       1.002761E+02                       3.030493E+02
                             0.1800                       5.005066E-08                       3.284572E-05                       1.010003E+02                       3.036732E+02                       1.002764E+02                       3.030495E+02
                             0.3600                       5.009648E-08                       3.284566E-05                       1.010003E+02                       3.036732E+02                       1.002766E+02                       3.030497E+02
                             0.5400                       5.013763E-08                       3.284559E-05                       1.010003E+02                       3.036732E+02                       1.002769E+02                       3.030499E+02
                             0.7200                       5.017429E-08                       3.284552E-05                       1.010003E+02                       3.036732E+02                       1.002772E+02                       3.030502E+02
                             0.9000                       5.020665E-08                       3.284544E-05                       1.010003E+02                       3.036732E+02                       1.002775E+02                       3.030505E+02
                             1.0800                       5.023489E-08                       3.284536E-05                       1.010003E+02                       3.036732E+02                       1.002779E+02                       3.030508E+02
                             1.2600                       5.025918E-08                       3.284527E-05                       1.010003E+02                       3.036732E+02                       1.002783E+02                       3.030511E+02
                             1.4400                       5.027970E-08                       3.284517E-05                       1.010003E+02                       3.036732E+02                       1.002787E+02                       3.030515E+02
                             1.6200                       5.029663E-08                       3.284507E-05                       1.010003E+02                       3.036732E+02                       1.002791E+02                       3.030519E+02
                             1.8000                       5.031015E-08                       3.284496E-05                       1.010003E+02                       3.036732E+02                       1.002796E+02                       3.030523E+02
                             1.9800                       5.032045E-08                       3.284485E-05                       1.010003E+02                       3.036732E+02                       1.002801E+02                       3.030527E+02
                             2.1600                       5.032769E-08                       3.284472E-05                       1.010003E+02                       3.036732E+02                       1.002806E+02                       3.030532E+02
                             2.3400                       5.033207E-08                       3.284459E-05                       1.010003E+02                       3.036732E+02                       1.002812E+02                       3.030536E+02
                             2.5200                       5.033375E-08                       3.284446E-05                       1.010003E+02                       3.036732E+02                       1.002818E+02                       3.030541E+02
                             2.7000                       5.033292E-08                       3.284431E-05                       1.010003E+02                       3.036732E+02                       1.002824E+02                       3.030547E+02
                             2.8800                       5.032977E-08                       3.284416E-05                       1.010003E+02                       3.036732E+02                       1.002830E+02                       3.030552E+02
                             3.0600                       5.032446E-08                       3.284400E-05                       1.010003E+02                       3.036732E+02                       1.002837E+02                       3.030558E+02
                             3.2400                       5.031718E-08                       3.284383E-05                       1.010003E+02                       3.036732E+02                       1.002844E+02                       3.030565E+02
                             3.4200                       5.030811E-08                       3.284365E-05                       1.010003E+02                       3.036732E+02                       1.002852E+02                       3.030571E+02
                             3.6000                       5.029743E-08                       3.284347E-05                       1.010003E+02                       3.036732E+02                       1.002860E+02                       3.030578E+02
                             3.7800                       5.028532E-08                       3.284328E-05                       1.010003E+02                       3.036732E+02                       1.002868E+02                       3.030585E+02
                             3.9600                       5.027195E-08                       3.284307E-05                       1.010003E+02                       3.036732E+02                       1.002877E+02                       3.030593E+02
                             4.1400                       5.025752E-08                       3.284286E-05                       1.010003E+02                       3.036732E+02                       1.002886E+02                       3.030600E+02
                             4.3200                       5.024219E-08                       3.284264E-05                       1.010003E+02                       3.036732E+02                       1.002895E+02                       3.030608E+02
                             4.5000                       5.022615E-08                       3.284241E-05                       1.010003E+02                       3.036732E+02                       1.002905E+02                       3.030617E+02
                             4.6800                       5.020957E-08                       3.284217E-05                       1.010003E+02                       3.036732E+02                       1.002915E+02                       3.030626E+02
                             4.8600                       5.019265E-08                       3.284192E-05                       1.010003E+02                       3.036732E+02                       1.002926E+02                       3.030635E+02
                             5.0400                       5.017555E-08                       3.284166E-05                       1.010003E+02                       3.036732E+02                       1.002937E+02                       3.030645E+02
                             5.2200                       5.015845E-08                       3.284140E-05                       1.010003E+02                       3.036732E+02                       1.002948E+02                       3.030655E+02
                             5.4000                       5.014155E-08                       3.284112E-05                       1.010003E+02                       3.036732E+02                       1.002960E+02                       3.030665E+02
                             5.5800                       5.012501E-08                       3.284083E-05                       1.010003E+02                       3.036732E+02                       1.002973E+02                       3.030676E+02
                             5.7600                       5.010902E-08                       3.284053E-05                       1.010003E+02                       3.036732E+02                       1.002986E+02                       3.030687E+02
                             5.9400                       5.009376E-08                       3.284022E-05                       1.010003E+02                       3.036732E+02                       1.002999E+02                       3.030698E+02
                             6.1200                       5.007940E-08                       3.283990E-05                       1.010003E+02                       3.036732E+02                       1.003013E+02                       3.030710E+02
                             6.3000                       5.006612E-08                       3.283956E-05                       1.010003E+02                       3.036732E+02                       1.003027E+02                       3.030722E+02
                             6.4800                       5.005412E-08                       3.283922E-05                       1.010003E+02                       3.036732E+02                       1.003042E+02                       3.030735E+02
                             6.6600                       5.004355E-08                       3.283887E-05                       1.010003E+02                       3.036732E+02                       1.003057E+02                       3.030748E+02
                             6.8400                       5.003462E-08                       3.283850E-05                       1.010003E+02                       3.036732E+02                       1.003072E+02                       3.030762E+02
                             7.0200                       5.002748E-08                       3.283812E-05                       1.010003E+02                       3.036732E+02                       1.003089E+02                       3.030776E+02
                             7.2000                       5.002233E-08                       3.283773E-05                       1.010003E+02                       3.036732E+02                       1.003105E+02                       3.030790E+02
                             7.3800                       5.001935E-08                       3.283733E-05                       1.010003E+02                       3.036732E+02                       1.003123E+02                       3.030805E+02
                             7.5600                       5.001871E-08                       3.283691E-05                       1.010003E+02                       3.036732E+02                       1.003140E+02                       3.030820E+02
                             7.7400                       5.002059E-08                       3.283649E-05                       1.010003E+02                       3.036732E+02                       1.003159E+02                       3.030836E+02
                             7.9200                       5.002517E-08                       3.283605E-05                       1.010003E+02                       3.036732E+02                       1.003177E+02                       3.030852E+02
                             8.1000                       5.003263E-08                       3.283559E-05                       1.010003E+02                       3.036732E+02                       1.003197E+02                       3.030869E+02
                             8.2800                       5.004316E-08                       3.283513E-05                       1.010003E+02                       3.036732E+02                       1.003217E+02                       3.030886E+02
                             8.4600                       5.005692E-08                       3.283465E-05                       1.010003E+02                       3.036732E+02                       1.003237E+02                       3.030904E+02
                             8.6400                       5.007411E-08                       3.283416E-05                       1.010003E+02                       3.036732E+02                       1.003258E+02                       3.030922E+02
                             8.8200                       5.009489E-08                       3.283365E-05                       1.010003E+02                       3.036732E+02                       1.003280E+02                       3.030941E+02
                             9.0000                       5.011945E-08                       3.283313E-05                       1.010003E+02                       3.036732E+02                       1.003302E+02                       3.030960E+02
                             9.1800                       5.014796E-08                       3.283260E-05                       1.010003E+02                       3.036732E+02                       1.003325E+02                       3.030980E+02
                             9.3600                       5.018061E-08                       3.283205E-05                       1.010003E+02                       3.036732E+02                       1.003348E+02                       3.031000E+02
                             9.5400                       5.021757E-08                       3.283149E-05                       1.010003E+02                       3.036732E+02                       1.003372E+02                       3.031021E+02
                             9.7200                       5.025903E-08                       3.283092E-05                       1.010003E+02                       3.036732E+02                       1.003397E+02                       3.031042E+02
                             9.9000                       5.030516E-08                       3.283033E-05                       1.010003E+02                       3.036732E+02                       1.003422E+02                       3.031064E+02
                            10.0800                       5.035613E-08                       3.282972E-05                       1.010003E+02                       3.036732E+02                       1.003448E+02                       3.031086E+02
                            10.2600                       5.041214E-08                       3.282910E-05                       1.010003E+02                       3.036732E+02                       1.003475E+02                       3.031109E+02
                            10.4400                       5.047335E-08                       3.282847E-05                       1.010003E+02                       3.036732E+02                       1.003502E+02                       3.031132E+02
                            10.6200                       5.053994E-08                       3.282782E-05                       1.010003E+02                       3.036732E+02                       1.003530E+02                       3.031156E+02
                            10.8000                       5.061210E-08                       3.282715E-05                       1.010003E+02                       3.036732E+02                       1.003558E+02                       3.031181E+02
