                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                   0.0000            -6.169745E-09            -2.653057E-03             1.687538E-08
                   0.1800            -6.455587E-05            -2.860764E+01             1.530650E-08
                   0.3600            -6.444174E-05            -2.872773E+01             1.379477E-08
                   0.5400            -6.436562E-05            -2.873749E+01             1.234003E-08
                   0.7200            -6.430479E-05            -2.872038E+01             1.094235E-08
                   0.9000            -6.425306E-05            -2.869866E+01             9.601763E-09
                   1.0800            -6.420855E-05            -2.867805E+01             8.318251E-09
                   1.2600            -6.417054E-05            -2.865995E+01             7.091855E-09
                   1.4400            -6.413861E-05            -2.864460E+01             5.922565E-09
                   1.6200            -6.411243E-05            -2.863196E+01             4.810430E-09
                   1.8000            -6.409168E-05            -2.862192E+01             3.755436E-09
                   1.9800            -6.407606E-05            -2.861434E+01             2.757605E-09
                   2.1600            -6.406528E-05            -2.860907E+01             1.816955E-09
                   2.3400            -6.405905E-05            -2.860599E+01             9.334895E-10
                   2.5200            -6.405706E-05            -2.860494E+01             1.072292E-10
                   2.7000            -6.405904E-05            -2.860579E+01            -6.618297E-10
                   2.8800            -6.406469E-05            -2.860841E+01            -1.373678E-09
                   3.0600            -6.407374E-05            -2.861265E+01            -2.028297E-09
                   3.2400            -6.408589E-05            -2.861839E+01            -2.625690E-09
                   3.4200            -6.410087E-05            -2.862548E+01            -3.165846E-09
                   3.6000            -6.411838E-05            -2.863380E+01            -3.648757E-09
                   3.7800            -6.413815E-05            -2.864320E+01            -4.074428E-09
                   3.9600            -6.415989E-05            -2.865354E+01            -4.442850E-09
                   4.1400            -6.418331E-05            -2.866471E+01            -4.754022E-09
                   4.3200            -6.420814E-05            -2.867655E+01            -5.007941E-09
                   4.5000            -6.423409E-05            -2.868893E+01            -5.204611E-09
                   4.6800            -6.426087E-05            -2.870171E+01            -5.344028E-09
                   4.8600            -6.428819E-05            -2.871477E+01            -5.426196E-09
                   5.0400            -6.431576E-05            -2.872795E+01            -5.451112E-09
                   5.2200            -6.434330E-05            -2.874113E+01            -5.418788E-09
                   5.4000            -6.437052E-05            -2.875415E+01            -5.329219E-09
                   5.5800            -6.439712E-05            -2.876690E+01            -5.182413E-09
                   5.7600            -6.442281E-05            -2.877921E+01            -4.978380E-09
                   5.9400            -6.444731E-05            -2.879096E+01            -4.717123E-09
                   6.1200            -6.447030E-05            -2.880199E+01            -4.398649E-09
                   6.3000            -6.449151E-05            -2.881218E+01            -4.022966E-09
                   6.4800            -6.451062E-05            -2.882138E+01            -3.590085E-09
                   6.6600            -6.452736E-05            -2.882944E+01            -3.100015E-09
                   6.8400            -6.454142E-05            -2.883623E+01            -2.552768E-09
                   7.0200            -6.455250E-05            -2.884160E+01            -1.948358E-09
                   7.2000            -6.456032E-05            -2.884541E+01            -1.286794E-09
                   7.3800            -6.456457E-05            -2.884753E+01            -5.680897E-10
                   7.5600            -6.456496E-05            -2.884780E+01             2.077388E-10
                   7.7400            -6.456120E-05            -2.884609E+01             1.040674E-09
                   7.9200            -6.455300E-05            -2.884227E+01             1.930704E-09
                   8.1000            -6.454007E-05            -2.883618E+01             2.877808E-09
                   8.2800            -6.452213E-05            -2.882771E+01             3.881968E-09
                   8.4600            -6.449889E-05            -2.881670E+01             4.943168E-09
                   8.6400            -6.447007E-05            -2.880303E+01             6.061384E-09
                   8.8200            -6.443541E-05            -2.878657E+01             7.236601E-09
                   9.0000            -6.439462E-05            -2.876719E+01             8.468791E-09
                   9.1800            -6.434745E-05            -2.874476E+01             9.757934E-09
                   9.3600            -6.429364E-05            -2.871916E+01             1.110401E-08
                   9.5400            -6.423293E-05            -2.869028E+01             1.250699E-08
                   9.7200            -6.416508E-05            -2.865799E+01             1.396685E-08
                   9.9000            -6.408985E-05            -2.862218E+01             1.548356E-08
                  10.0800            -6.400701E-05            -2.858275E+01             1.705710E-08
                  10.2600            -6.391634E-05            -2.853960E+01             1.868745E-08
                  10.4400            -6.381764E-05            -2.849262E+01             2.037456E-08
                  10.6200            -6.371069E-05            -2.844172E+01             2.211842E-08
                  10.8000            -6.359532E-05            -2.838682E+01             2.391898E-08
                  10.9800            -6.347133E-05            -2.832783E+01             2.577623E-08
                  11.1600            -6.333856E-05            -2.826468E+01             2.769013E-08
                  11.3400            -6.319686E-05            -2.819729E+01             2.966064E-08
