                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             3.284577E-05             1.021233E+02             3.557120E+02             3.803287E+05             1.000123E+00             4.824435E+05             4.056118E+03             2.112394E-05             1.009676E+03             3.040562E-02             3.284983E-05             0.000000E+00             0.000000E+00
                   0.1800             3.284572E-05             1.019271E+02             3.555695E+02             3.802264E+05             9.986026E-01             4.822999E+05             4.056266E+03             2.111754E-05             1.009662E+03             3.039556E-02             3.280021E-05             0.000000E+00             0.000000E+00
                   0.3600             3.284566E-05             1.017501E+02             3.554398E+02             3.801334E+05             9.972321E-01             4.821692E+05             4.056398E+03             2.111171E-05             1.009650E+03             3.038641E-02             3.275510E-05             0.000000E+00             0.000000E+00
                   0.5400             3.284559E-05             1.015905E+02             3.553229E+02             3.800496E+05             9.959965E-01             4.820514E+05             4.056517E+03             2.110645E-05             1.009638E+03             3.037815E-02             3.271441E-05             0.000000E+00             0.000000E+00
                   0.7200             3.284552E-05             1.014484E+02             3.552186E+02             3.799748E+05             9.948955E-01             4.819463E+05             4.056623E+03             2.110176E-05             1.009628E+03             3.037079E-02             3.267814E-05             0.000000E+00             0.000000E+00
                   0.9000             3.284544E-05             1.013236E+02             3.551270E+02             3.799092E+05             9.939287E-01             4.818540E+05             4.056717E+03             2.109764E-05             1.009619E+03             3.036432E-02             3.264627E-05             0.000000E+00             0.000000E+00
                   1.0800             3.284536E-05             1.012161E+02             3.550481E+02             3.798527E+05             9.930954E-01             4.817745E+05             4.056797E+03             2.109408E-05             1.009612E+03             3.035875E-02             3.261879E-05             0.000000E+00             0.000000E+00
                   1.2600             3.284527E-05             1.011259E+02             3.549818E+02             3.798054E+05             9.923957E-01             4.817077E+05             4.056865E+03             2.109110E-05             1.009605E+03             3.035407E-02             3.259568E-05             0.000000E+00             0.000000E+00
                   1.4400             3.284517E-05             1.010528E+02             3.549281E+02             3.797671E+05             9.918291E-01             4.816537E+05             4.056920E+03             2.108869E-05             1.009600E+03             3.035028E-02             3.257693E-05             0.000000E+00             0.000000E+00
                   1.6200             3.284507E-05             1.009970E+02             3.548871E+02             3.797379E+05             9.913956E-01             4.816124E+05             4.056963E+03             2.108684E-05             1.009596E+03             3.034739E-02             3.256256E-05             0.000000E+00             0.000000E+00
                   1.8000             3.284496E-05             1.009583E+02             3.548588E+02             3.797179E+05             9.910952E-01             4.815839E+05             4.056992E+03             2.108557E-05             1.009594E+03             3.034539E-02             3.255255E-05             0.000000E+00             0.000000E+00
                   1.9800             3.284485E-05             1.009369E+02             3.548432E+02             3.797070E+05             9.909285E-01             4.815682E+05             4.057009E+03             2.108487E-05             1.009592E+03             3.034428E-02             3.254692E-05             0.000000E+00             0.000000E+00
                   2.1600             3.284472E-05             1.009323E+02             3.548401E+02             3.797050E+05             9.908923E-01             4.815650E+05             4.057013E+03             2.108473E-05             1.009592E+03             3.034406E-02             3.254558E-05             0.000000E+00             0.000000E+00
                   2.3400             3.284459E-05             1.009323E+02             3.548404E+02             3.797052E+05             9.908916E-01             4.815653E+05             4.057014E+03             2.108474E-05             1.009592E+03             3.034408E-02             3.254543E-05             0.000000E+00             0.000000E+00
                   2.5200             3.284446E-05             1.009323E+02             3.548407E+02             3.797054E+05             9.908907E-01             4.815656E+05             4.057015E+03             2.108475E-05             1.009592E+03             3.034411E-02             3.254527E-05             0.000000E+00             0.000000E+00
                   2.7000             3.284431E-05             1.009323E+02             3.548410E+02             3.797056E+05             9.908900E-01             4.815659E+05             4.057016E+03             2.108477E-05             1.009592E+03             3.034413E-02             3.254510E-05             0.000000E+00             0.000000E+00
                   2.8800             3.284416E-05             1.009323E+02             3.548413E+02             3.797058E+05             9.908890E-01             4.815662E+05             4.057016E+03             2.108478E-05             1.009592E+03             3.034415E-02             3.254492E-05             0.000000E+00             0.000000E+00
