                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   0.0000             8.482922E-16             2.558395E+02             8.482922E-16             2.184028E+01             0.000000E+00             2.776798E+02             9.652007E-02             1.038135E-05             1.243005E-01             4.199464E-02             5.022407E-01             4.578769E-01             1.218620E+01             9.476095E+00             8.173108E+00             3.073242E+01
                   0.1800             1.095699E+02             2.338733E+02             3.708971E-02             2.000465E+01             1.096070E+02             2.538780E+02             2.298121E-01             4.645877E-03             1.235877E-01             4.199413E-02             4.606080E-01             5.667097E-01             1.218616E+01             9.100828E+00             8.157147E+00             3.073242E+01
                   0.3600             1.110763E+02             2.120862E+02             9.911751E-03             1.817386E+01             1.110862E+02             2.302601E+02             2.271987E-01             7.414669E-03             1.246608E-01             4.199246E-02             4.601758E-01             5.492195E-01             1.218601E+01             9.095099E+00             8.158018E+00             3.073242E+01
                   0.5400             1.112288E+02             1.903084E+02             3.140588E-02             1.633427E+01             1.112602E+02             2.066427E+02             2.178962E-01             1.006883E-02             1.249746E-01             4.198967E-02             4.601074E-01             5.308443E-01             1.218574E+01             9.093253E+00             8.157437E+00             3.073242E+01
                   0.7200             1.110392E+02             1.685407E+02             3.898223E-02             1.448691E+01             1.110782E+02             1.830276E+02             2.119221E-01             1.267007E-02             1.251036E-01             4.198576E-02             4.601671E-01             5.123838E-01             1.218537E+01             9.093123E+00             8.156858E+00             3.073242E+01
                   0.9000             1.107907E+02             1.467793E+02             4.107101E-02             1.263247E+01             1.108318E+02             1.594118E+02             2.106289E-01             1.520047E-02             1.251886E-01             4.198073E-02             4.602883E-01             4.940805E-01             1.218490E+01             9.094054E+00             8.156263E+00             3.073242E+01
                   1.0800             1.105522E+02             1.250197E+02             4.162356E-02             1.077152E+01             1.105938E+02             1.357912E+02             2.082819E-01             1.765765E-02             1.252616E-01             4.197459E-02             4.604542E-01             4.760034E-01             1.218432E+01             9.095853E+00             8.157491E+00             3.073242E+01
                   1.2600             1.103419E+02             1.032577E+02             4.176747E-02             8.904717E+00             1.103837E+02             1.121624E+02             2.079676E-01             2.004861E-02             1.253274E-01             4.196733E-02             4.606602E-01             4.581764E-01             1.218364E+01             9.098441E+00             8.156921E+00             3.073242E+01
                   1.4400             1.101623E+02             8.148570E+01             4.182559E-02             7.032364E+00             1.102041E+02             8.851806E+01             2.070765E-01             2.238155E-02             1.253847E-01             4.195896E-02             4.609048E-01             4.406191E-01             1.218285E+01             9.101770E+00             8.156333E+00             3.073242E+01
                   1.6200             1.100131E+02             5.969169E+01             4.186895E-02             5.154420E+00             1.100549E+02             6.484611E+01             2.065938E-01             2.466426E-02             1.254305E-01             4.194947E-02             4.611877E-01             4.233449E-01             1.218195E+01             9.105800E+00             8.155727E+00             3.073242E+01
                   1.8000             1.098929E+02             3.784855E+01             4.192136E-02             3.269526E+00             1.099348E+02             4.111808E+01             2.063419E-01             2.690294E-02             1.254628E-01             4.193887E-02             4.615085E-01             4.063688E-01             1.218095E+01             9.110495E+00             8.157247E+00             3.073242E+01
                   1.9800             1.098004E+02             1.586068E+01             4.198878E-02             1.370410E+00             1.098424E+02             1.723109E+01             2.064418E-01             2.910263E-02             1.254797E-01             4.192716E-02             4.618672E-01             3.897022E-01             1.217985E+01             9.115820E+00             8.156682E+00             3.073242E+01
                   2.1600             1.097339E+02             0.000000E+00             4.207257E-02             0.000000E+00             1.097760E+02             0.000000E+00             2.068894E-01             3.126741E-02             1.254808E-01             4.191433E-02             4.622628E-01             3.733539E-01             1.217864E+01             9.121737E+00             8.156101E+00             3.073242E+01
                   2.3400             1.096919E+02             1.404787E-01             4.217220E-02             1.213819E-02             1.097341E+02             1.526169E-01             2.074376E-01             3.340066E-02             1.254778E-01             4.190039E-02             4.626702E-01             3.571283E-01             1.217733E+01             9.128147E+00             8.155505E+00             3.073242E+01
                   2.5200             1.096728E+02             0.000000E+00             4.228567E-02             0.000000E+00             1.097151E+02             0.000000E+00             2.080137E-01             3.550523E-02             1.254752E-01             4.188534E-02             4.630800E-01             3.409503E-01             1.217591E+01             9.135019E+00             8.154896E+00             3.073242E+01
                   2.7000             1.096750E+02             7.143037E-01             4.241188E-02             6.171919E-02             1.097175E+02             7.760228E-01             2.086171E-01             3.758351E-02             1.254730E-01             4.186918E-02             4.634925E-01             3.248202E-01             1.217439E+01             9.142351E+00             8.156851E+00             3.073242E+01
                   2.8800             1.096972E+02             0.000000E+00             4.255010E-02             0.000000E+00             1.097397E+02             0.000000E+00             2.092458E-01             3.963757E-02             1.254712E-01             4.185191E-02             4.639078E-01             3.087365E-01             1.217276E+01             9.150142E+00             8.156303E+00             3.073242E+01
                   3.0600             1.097377E+02             0.000000E+00             4.269966E-02             0.000000E+00             1.097804E+02             0.000000E+00             2.098992E-01             4.166916E-02             1.254699E-01             4.183353E-02             4.643264E-01             2.927006E-01             1.217103E+01             9.158392E+00             8.155744E+00             3.073242E+01
                   3.2400             1.097951E+02             0.000000E+00             4.285991E-02             0.000000E+00             1.098380E+02             0.000000E+00             2.105758E-01             4.367984E-02             1.254689E-01             4.181405E-02             4.647484E-01             2.767110E-01             1.216919E+01             9.167099E+00             8.155174E+00             3.073242E+01
                   3.4200             1.098680E+02             0.000000E+00             4.303019E-02             0.000000E+00             1.099111E+02             0.000000E+00             2.112742E-01             4.567100E-02             1.254684E-01             4.179346E-02             4.651741E-01             2.607671E-01             1.216725E+01             9.176263E+00             8.154595E+00             3.073242E+01
                   3.6000             1.099550E+02             5.413283E-01             4.321008E-02             4.677169E-02             1.099982E+02             5.881000E-01             2.120520E-01             4.764383E-02             1.254682E-01             4.177176E-02             4.656036E-01             2.448687E-01             1.216521E+01             9.185883E+00             8.154007E+00             3.073242E+01
                   3.7800             1.100545E+02             6.980837E-01             4.339907E-02             6.031521E-02             1.100979E+02             7.583989E-01             2.127898E-01             4.959946E-02             1.254684E-01             4.174897E-02             4.660373E-01             2.290150E-01             1.216306E+01             9.195959E+00             8.153410E+00             3.073242E+01
                   3.9600             1.101650E+02             7.810455E-01             4.359562E-02             6.748274E-02             1.102086E+02             8.485282E-01             2.135451E-01             5.153890E-02             1.254690E-01             4.172507E-02             4.664754E-01             2.132048E-01             1.216081E+01             9.206489E+00             8.156074E+00             3.073242E+01
                   4.1400             1.102852E+02             8.647304E-01             4.379939E-02             7.471265E-02             1.103290E+02             9.394431E-01             2.143756E-01             5.346309E-02             1.254700E-01             4.170007E-02             4.669181E-01             1.974378E-01             1.215846E+01             9.217474E+00             8.155557E+00             3.073242E+01
                   4.3200             1.104136E+02             9.496675E-01             4.401051E-02             8.205064E-02             1.104576E+02             1.031718E+00             2.151614E-01             5.537281E-02             1.254714E-01             4.167398E-02             4.673657E-01             1.817125E-01             1.215600E+01             9.228913E+00             8.155033E+00             3.073242E+01
