                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                   0.0000             2.374997E+01             3.529247E-02             2.090647E-01             5.000007E-01             4.999918E-01
                   0.1800             2.374957E+01             3.219442E-02             2.031834E-01             5.000091E-01            -4.356987E-02
                   0.3600             2.374957E+01             3.225209E-02             2.032623E-01             5.000091E-01            -7.429311E-02
                   0.5400             2.374960E+01             3.230587E-02             2.032456E-01             5.000084E-01            -5.748419E-02
                   0.7200             2.374960E+01             3.240014E-02             2.033427E-01             5.000084E-01            -8.495239E-02
                   0.9000             2.374963E+01             3.247486E-02             2.033141E-01             5.000078E-01            -6.184370E-02
                   1.0800             2.374963E+01             3.259076E-02             2.034199E-01             5.000078E-01            -8.804378E-02
                   1.2600             2.374966E+01             3.268107E-02             2.033820E-01             5.000071E-01            -5.899569E-02
                   1.4400             2.374966E+01             3.281381E-02             2.034886E-01             5.000071E-01            -8.396083E-02
                   1.6200             2.374966E+01             3.296096E-02             2.036240E-01             5.000072E-01            -1.094445E-01
                   1.8000             2.374969E+01             3.306581E-02             2.035481E-01             5.000065E-01            -7.186612E-02
                   1.9800             2.374969E+01             3.322479E-02             2.036726E-01             5.000065E-01            -9.563662E-02
                   2.1600             2.374969E+01             3.339617E-02             2.038235E-01             5.000066E-01            -1.197570E-01
                   2.3400             2.374972E+01             3.351284E-02             2.037115E-01             5.000058E-01            -7.262590E-02
                   2.5200             2.374972E+01             3.369211E-02             2.038398E-01             5.000059E-01            -9.460769E-02
                   2.7000             2.374972E+01             3.388277E-02             2.039912E-01             5.000059E-01            -1.168107E-01
                   2.8800             2.374972E+01             3.408485E-02             2.041667E-01             5.000060E-01            -1.392097E-01
                   3.0600             2.374972E+01             3.429833E-02             2.043674E-01             5.000060E-01            -1.617681E-01
                   3.2400             2.374975E+01             3.441691E-02             2.041210E-01             5.000053E-01            -9.890646E-02
                   3.4200             2.374975E+01             3.463321E-02             2.042790E-01             5.000053E-01            -1.188596E-01
                   3.6000             2.374975E+01             3.485985E-02             2.044572E-01             5.000053E-01            -1.388823E-01
                   3.7800             2.374975E+01             3.509636E-02             2.046564E-01             5.000054E-01            -1.589490E-01
                   3.9600             2.374974E+01             3.534290E-02             2.048770E-01             5.000054E-01            -1.790401E-01
                   4.1400             2.374974E+01             3.559914E-02             2.051197E-01             5.000054E-01            -1.991311E-01
                   4.3200             2.374978E+01             3.571078E-02             2.046737E-01             5.000047E-01            -1.164580E-01
                   4.5000             2.374978E+01             3.596479E-02             2.048510E-01             5.000047E-01            -1.336219E-01
                   4.6800             2.374977E+01             3.622748E-02             2.050446E-01             5.000048E-01            -1.507307E-01
                   4.8600             2.374977E+01             3.649867E-02             2.052546E-01             5.000048E-01            -1.677662E-01
                   5.0400             2.374977E+01             3.677810E-02             2.054813E-01             5.000048E-01            -1.847114E-01
                   5.2200             2.374977E+01             3.706555E-02             2.057248E-01             5.000049E-01            -2.015485E-01
                   5.4000             2.374977E+01             3.736102E-02             2.059852E-01             5.000049E-01            -2.182614E-01
                   5.5800             2.374977E+01             3.766414E-02             2.062626E-01             5.000049E-01            -2.348334E-01
                   5.7600             2.374980E+01             3.775491E-02             2.055017E-01             5.000041E-01            -1.260418E-01
                   5.9400             2.374980E+01             3.805091E-02             2.056901E-01             5.000042E-01            -1.395772E-01
                   6.1200             2.374980E+01             3.835392E-02             2.058898E-01             5.000042E-01            -1.529566E-01
