                   Degree             Length_v[mm]
                   0.0000             0.000000E+00
                   0.1800             2.398279E-05
                   0.3600             9.593083E-05
                   0.5400             2.158432E-04
                   0.7200             3.837182E-04
                   0.9000             5.995536E-04
                   1.0800             8.633466E-04
                   1.2600             1.175094E-03
                   1.4400             1.534790E-03
                   1.6200             1.942432E-03
                   1.8000             2.398013E-03
                   1.9800             2.901528E-03
                   2.1600             3.452969E-03
                   2.3400             4.052330E-03
                   2.5200             4.699602E-03
                   2.7000             5.394776E-03
                   2.8800             6.137844E-03
                   3.0600             6.928795E-03
                   3.2400             7.767618E-03
                   3.4200             8.654303E-03
                   3.6000             9.588838E-03
                   3.7800             1.057121E-02
                   3.9600             1.160140E-02
                   4.1400             1.267941E-02
                   4.3200             1.380521E-02
                   4.5000             1.497879E-02
                   4.6800             1.620014E-02
                   4.8600             1.746923E-02
                   5.0400             1.878606E-02
                   5.2200             2.015060E-02
                   5.4000             2.156283E-02
                   5.5800             2.302274E-02
                   5.7600             2.453031E-02
                   5.9400             2.608552E-02
                   6.1200             2.768834E-02
                   6.3000             2.933876E-02
                   6.4800             3.103675E-02
                   6.6600             3.278228E-02
                   6.8400             3.457535E-02
                   7.0200             3.641592E-02
                   7.2000             3.830396E-02
                   7.3800             4.023946E-02
                   7.5600             4.222238E-02
                   7.7400             4.425271E-02
                   7.9200             4.633040E-02
                   8.1000             4.845545E-02
                   8.2800             5.062781E-02
                   8.4600             5.284745E-02
                   8.6400             5.511436E-02
                   8.8200             5.742849E-02
                   9.0000             5.978982E-02
                   9.1800             6.219832E-02
                   9.3600             6.465395E-02
                   9.5400             6.715667E-02
                   9.7200             6.970647E-02
                   9.9000             7.230330E-02
                  10.0800             7.494713E-02
                  10.2600             7.763792E-02
                  10.4400             8.037564E-02
                  10.6200             8.316025E-02
                  10.8000             8.599171E-02
                  10.9800             8.886999E-02
                  11.1600             9.179505E-02
                  11.3400             9.476684E-02
                  11.5200             9.778534E-02
                  11.7000             1.008505E-01
                  11.8800             1.039623E-01
                  12.0600             1.071206E-01
                  12.2400             1.103255E-01
                  12.4200             1.135769E-01
                  12.6000             1.168747E-01
                  12.7800             1.202189E-01
                  12.9600             1.236095E-01
                  13.1400             1.270464E-01
                  13.3200             1.305296E-01
                  13.5000             1.340590E-01
                  13.6800             1.376346E-01
                  13.8600             1.412563E-01
                  14.0400             1.449241E-01
                  14.2200             1.486379E-01
                  14.4000             1.523977E-01
                  14.5800             1.562034E-01
                  14.7600             1.600550E-01
                  14.9400             1.639525E-01
                  15.1200             1.678957E-01
                  15.3000             1.718847E-01
                  15.4800             1.759193E-01
                  15.6600             1.799996E-01
                  15.8400             1.841254E-01
                  16.0200             1.882967E-01
                  16.2000             1.925135E-01
                  16.3800             1.967757E-01
                  16.5600             2.010833E-01
                  16.7400             2.054361E-01
                  16.9200             2.098342E-01
                  17.1000             2.142775E-01
                  17.2800             2.187658E-01
                  17.4600             2.232992E-01
                  17.6400             2.278776E-01
                  17.8200             2.325010E-01
                  18.0000             2.371692E-01
                  18.1800             2.418823E-01
                  18.3600             2.466401E-01
                  18.5400             2.514425E-01
                  18.7200             2.562896E-01
                  18.9000             2.611813E-01
                  19.0800             2.661175E-01
                  19.2600             2.710981E-01
                  19.4400             2.761231E-01
                  19.6200             2.811923E-01
                  19.8000             2.863058E-01
                  19.9800             2.914635E-01
                  20.1600             2.966653E-01
                  20.3400             3.019111E-01
                  20.5200             3.072009E-01
                  20.7000             3.125345E-01
                  20.8800             3.179120E-01
                  21.0600             3.233333E-01
                  21.2400             3.287982E-01
                  21.4200             3.343068E-01
                  21.6000             3.398589E-01
                  21.7800             3.454544E-01
                  21.9600             3.510934E-01
                  22.1400             3.567756E-01
                  22.3200             3.625011E-01
                  22.5000             3.682698E-01
                  22.6800             3.740816E-01
                  22.8600             3.799364E-01
                  23.0400             3.858342E-01
                  23.2200             3.917748E-01
                  23.4000             3.977582E-01
                  23.5800             4.037844E-01
                  23.7600             4.098531E-01
                  23.9400             4.159644E-01
                  24.1200             4.221182E-01
                  24.3000             4.283144E-01
                  24.4800             4.345529E-01
                  24.6600             4.408337E-01
                  24.8400             4.471566E-01
                  25.0200             4.535216E-01
                  25.2000             4.599285E-01
                  25.3800             4.663774E-01
                  25.5600             4.728681E-01
                  25.7400             4.794005E-01
                  25.9200             4.859746E-01
                  26.1000             4.925903E-01
                  26.2800             4.992475E-01
                  26.4600             5.059460E-01
                  26.6400             5.126859E-01
                  26.8200             5.194670E-01
                  27.0000             5.262892E-01
                  27.1800             5.331525E-01
                  27.3600             5.400567E-01
                  27.5400             5.470019E-01
                  27.7200             5.539878E-01
                  27.9000             5.610144E-01
                  28.0800             5.680816E-01
                  28.2600             5.751893E-01
                  28.4400             5.823375E-01
                  28.6200             5.895259E-01
                  28.8000             5.967547E-01
                  28.9800             6.040235E-01
                  29.1600             6.113325E-01
                  29.3400             6.186813E-01
                  29.5200             6.260701E-01
                  29.7000             6.334986E-01
                  29.8800             6.409668E-01
                  30.0600             6.484746E-01
                  30.2400             6.560219E-01
                  30.4200             6.636086E-01
                  30.6000             6.712345E-01
                  30.7800             6.788997E-01
                  30.9600             6.866039E-01
                  31.1400             6.943472E-01
                  31.3200             7.021294E-01
                  31.5000             7.099503E-01
                  31.6800             7.178100E-01
                  31.8600             7.257083E-01
                  32.0400             7.336451E-01
                  32.2200             7.416203E-01
                  32.4000             7.496338E-01
                  32.5800             7.576855E-01
                  32.7600             7.657753E-01
                  32.9400             7.739031E-01
                  33.1200             7.820688E-01
                  33.3000             7.902723E-01
                  33.4800             7.985135E-01
                  33.6600             8.067923E-01
                  33.8400             8.151085E-01
                  34.0200             8.234621E-01
                  34.2000             8.318530E-01
                  34.3800             8.402811E-01
                  34.5600             8.487463E-01
                  34.7400             8.572483E-01
                  34.9200             8.657873E-01
                  35.1000             8.743630E-01
                  35.2800             8.829753E-01
                  35.4600             8.916241E-01
                  35.6400             9.003094E-01
                  35.8200             9.090309E-01
                  36.0000             9.177887E-01
                  36.1800             9.265826E-01
                  36.3600             9.354124E-01
                  36.5400             9.442781E-01
                  36.7200             9.531796E-01
                  36.9000             9.621167E-01
                  37.0800             9.710894E-01
                  37.2600             9.800975E-01
                  37.4400             9.891409E-01
                  37.6200             9.982195E-01
                  37.8000             1.007333E+00
                  37.9800             1.016482E+00
                  38.1600             1.025665E+00
                  38.3400             1.034884E+00
                  38.5200             1.044137E+00
                  38.7000             1.053424E+00
                  38.8800             1.062746E+00
                  39.0600             1.072102E+00
                  39.2400             1.081493E+00
                  39.4200             1.090917E+00
                  39.6000             1.100375E+00
                  39.7800             1.109867E+00
                  39.9600             1.119393E+00
                  40.1400             1.128953E+00
                  40.3200             1.138546E+00
                  40.5000             1.148172E+00
                  40.6800             1.157832E+00
                  40.8600             1.167524E+00
                  41.0400             1.177250E+00
                  41.2200             1.187009E+00
                  41.4000             1.196800E+00
                  41.5800             1.206624E+00
                  41.7600             1.216480E+00
                  41.9400             1.226369E+00
                  42.1200             1.236291E+00
                  42.3000             1.246244E+00
                  42.4800             1.256229E+00
                  42.6600             1.266247E+00
                  42.8400             1.276296E+00
                  43.0200             1.286377E+00
                  43.2000             1.296489E+00
                  43.3800             1.306633E+00
                  43.5600             1.316808E+00
                  43.7400             1.327014E+00
                  43.9200             1.337252E+00
                  44.1000             1.347520E+00
                  44.2800             1.357819E+00
                  44.4600             1.368149E+00
                  44.6400             1.378509E+00
                  44.8200             1.388900E+00
                  45.0000             1.399321E+00
                  45.1800             1.409773E+00
                  45.3600             1.420254E+00
                  45.5400             1.430765E+00
                  45.7200             1.441307E+00
                  45.9000             1.451878E+00
                  46.0800             1.462478E+00
                  46.2600             1.473108E+00
                  46.4400             1.483767E+00
                  46.6200             1.494455E+00
                  46.8000             1.505173E+00
                  46.9800             1.515919E+00
                  47.1600             1.526694E+00
                  47.3400             1.537498E+00
                  47.5200             1.548330E+00
                  47.7000             1.559191E+00
                  47.8800             1.570080E+00
                  48.0600             1.580997E+00
                  48.2400             1.591942E+00
                  48.4200             1.602915E+00
                  48.6000             1.613916E+00
                  48.7800             1.624945E+00
                  48.9600             1.636001E+00
                  49.1400             1.647084E+00
                  49.3200             1.658195E+00
                  49.5000             1.669332E+00
                  49.6800             1.680497E+00
                  49.8600             1.691689E+00
                  50.0400             1.702907E+00
                  50.2200             1.714152E+00
                  50.4000             1.725423E+00
                  50.5800             1.736721E+00
                  50.7600             1.748044E+00
                  50.9400             1.759394E+00
                  51.1200             1.770770E+00
                  51.3000             1.782171E+00
                  51.4800             1.793599E+00
                  51.6600             1.805051E+00
                  51.8400             1.816530E+00
                  52.0200             1.828033E+00
                  52.2000             1.839561E+00
                  52.3800             1.851115E+00
                  52.5600             1.862693E+00
                  52.7400             1.874296E+00
                  52.9200             1.885924E+00
                  53.1000             1.897576E+00
                  53.2800             1.909252E+00
                  53.4600             1.920953E+00
                  53.6400             1.932677E+00
                  53.8200             1.944426E+00
                  54.0000             1.956198E+00
                  54.1800             1.967994E+00
                  54.3600             1.979813E+00
                  54.5400             1.991656E+00
                  54.7200             2.003522E+00
                  54.9000             2.015411E+00
                  55.0800             2.027323E+00
                  55.2600             2.039258E+00
                  55.4400             2.051215E+00
                  55.6200             2.063195E+00
                  55.8000             2.075198E+00
                  55.9800             2.087223E+00
                  56.1600             2.099269E+00
                  56.3400             2.111338E+00
                  56.5200             2.123429E+00
                  56.7000             2.135541E+00
                  56.8800             2.147675E+00
                  57.0600             2.159831E+00
                  57.2400             2.172008E+00
                  57.4200             2.184205E+00
                  57.6000             2.196424E+00
                  57.7800             2.208664E+00
                  57.9600             2.220925E+00
                  58.1400             2.233206E+00
                  58.3200             2.245507E+00
                  58.5000             2.257829E+00
                  58.6800             2.270172E+00
                  58.8600             2.282534E+00
                  59.0400             2.294916E+00
                  59.2200             2.307318E+00
                  59.4000             2.319739E+00
                  59.5800             2.332180E+00
                  59.7600             2.344641E+00
                  59.9400             2.357120E+00
                  60.1200             2.369619E+00
                  60.3000             2.382137E+00
                  60.4800             2.394673E+00
                  60.6600             2.407228E+00
                  60.8400             2.419802E+00
                  61.0200             2.432394E+00
                  61.2000             2.445004E+00
                  61.3800             2.457632E+00
                  61.5600             2.470278E+00
                  61.7400             2.482942E+00
                  61.9200             2.495624E+00
                  62.1000             2.508323E+00
                  62.2800             2.521040E+00
                  62.4600             2.533774E+00
                  62.6400             2.546525E+00
                  62.8200             2.559293E+00
                  63.0000             2.572078E+00
                  63.1800             2.584879E+00
                  63.3600             2.597697E+00
                  63.5400             2.610532E+00
                  63.7200             2.623382E+00
                  63.9000             2.636249E+00
                  64.0800             2.649132E+00
                  64.2600             2.662030E+00
                  64.4400             2.674945E+00
                  64.6200             2.687875E+00
                  64.8000             2.700820E+00
                  64.9800             2.713781E+00
                  65.1600             2.726756E+00
                  65.3400             2.739747E+00
                  65.5200             2.752752E+00
                  65.7000             2.765773E+00
                  65.8800             2.778808E+00
                  66.0600             2.791857E+00
                  66.2400             2.804920E+00
                  66.4200             2.817998E+00
                  66.6000             2.831090E+00
                  66.7800             2.844195E+00
                  66.9600             2.857314E+00
                  67.1400             2.870447E+00
                  67.3200             2.883593E+00
                  67.5000             2.896753E+00
                  67.6800             2.909926E+00
                  67.8600             2.923111E+00
                  68.0400             2.936310E+00
                  68.2200             2.949521E+00
                  68.4000             2.962745E+00
                  68.5800             2.975981E+00
                  68.7600             2.989230E+00
                  68.9400             3.002490E+00
                  69.1200             3.015763E+00
                  69.3000             3.029048E+00
                  69.4800             3.042344E+00
                  69.6600             3.055652E+00
                  69.8400             3.068971E+00
                  70.0200             3.082302E+00
                  70.2000             3.095644E+00
                  70.3800             3.108997E+00
                  70.5600             3.122360E+00
                  70.7400             3.135735E+00
                  70.9200             3.149120E+00
                  71.1000             3.162515E+00
                  71.2800             3.175921E+00
                  71.4600             3.189337E+00
                  71.6400             3.202763E+00
                  71.8200             3.216199E+00
                  72.0000             3.229645E+00
                  72.1800             3.243100E+00
                  72.3600             3.256565E+00
                  72.5400             3.270039E+00
                  72.7200             3.283522E+00
                  72.9000             3.297014E+00
                  73.0800             3.310515E+00
                  73.2600             3.324025E+00
                  73.4400             3.337543E+00
                  73.6200             3.351070E+00
                  73.8000             3.364606E+00
                  73.9800             3.378149E+00
                  74.1600             3.391701E+00
                  74.3400             3.405260E+00
                  74.5200             3.418827E+00
                  74.7000             3.432402E+00
                  74.8800             3.445984E+00
                  75.0600             3.459574E+00
                  75.2400             3.473171E+00
                  75.4200             3.486775E+00
                  75.6000             3.500385E+00
                  75.7800             3.514003E+00
                  75.9600             3.527627E+00
                  76.1400             3.541258E+00
                  76.3200             3.554895E+00
                  76.5000             3.568538E+00
                  76.6800             3.582188E+00
                  76.8600             3.595843E+00
                  77.0400             3.609504E+00
                  77.2200             3.623171E+00
                  77.4000             3.636843E+00
                  77.5800             3.650521E+00
                  77.7600             3.664203E+00
                  77.9400             3.677891E+00
                  78.1200             3.691584E+00
                  78.3000             3.705282E+00
                  78.4800             3.718984E+00
                  78.6600             3.732691E+00
                  78.8400             3.746403E+00
                  79.0200             3.760118E+00
                  79.2000             3.773838E+00
                  79.3800             3.787562E+00
                  79.5600             3.801289E+00
                  79.7400             3.815020E+00
                  79.9200             3.828755E+00
                  80.1000             3.842493E+00
                  80.2800             3.856235E+00
                  80.4600             3.869980E+00
                  80.6400             3.883727E+00
                  80.8200             3.897478E+00
                  81.0000             3.911231E+00
                  81.1800             3.924987E+00
                  81.3600             3.938745E+00
                  81.5400             3.952506E+00
                  81.7200             3.966269E+00
                  81.9000             3.980033E+00
                  82.0800             3.993800E+00
                  82.2600             4.007569E+00
                  82.4400             4.021339E+00
                  82.6200             4.035110E+00
                  82.8000             4.048883E+00
                  82.9800             4.062658E+00
                  83.1600             4.076433E+00
                  83.3400             4.090209E+00
                  83.5200             4.103986E+00
                  83.7000             4.117764E+00
                  83.8800             4.131542E+00
                  84.0600             4.145321E+00
                  84.2400             4.159100E+00
                  84.4200             4.172879E+00
                  84.6000             4.186658E+00
                  84.7800             4.200436E+00
                  84.9600             4.214215E+00
                  85.1400             4.227993E+00
                  85.3200             4.241771E+00
                  85.5000             4.255548E+00
                  85.6800             4.269324E+00
                  85.8600             4.283099E+00
                  86.0400             4.296873E+00
                  86.2200             4.310646E+00
                  86.4000             4.324417E+00
                  86.5800             4.338187E+00
                  86.7600             4.351955E+00
                  86.9400             4.365722E+00
                  87.1200             4.379486E+00
                  87.3000             4.393249E+00
                  87.4800             4.407009E+00
                  87.6600             4.420767E+00
                  87.8400             4.434523E+00
