                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                             0.0000                       5.000000E-08                       1.008573E+02                       3.037850E+02                       5.784633E-08
                             0.1800                       5.005066E-08                       1.008573E+02                       3.037850E+02                       5.790494E-08
                             0.3600                       5.009648E-08                       1.008573E+02                       3.037850E+02                       5.795795E-08
                             0.5400                       5.013763E-08                       1.008573E+02                       3.037850E+02                       5.800556E-08
                             0.7200                       5.017429E-08                       1.008573E+02                       3.037850E+02                       5.804798E-08
                             0.9000                       5.020665E-08                       1.008573E+02                       3.037850E+02                       5.808542E-08
                             1.0800                       5.023489E-08                       1.008573E+02                       3.037850E+02                       5.811808E-08
                             1.2600                       5.025918E-08                       1.008573E+02                       3.037850E+02                       5.814618E-08
                             1.4400                       5.027970E-08                       1.008573E+02                       3.037850E+02                       5.816992E-08
                             1.6200                       5.029663E-08                       1.008573E+02                       3.037850E+02                       5.818951E-08
                             1.8000                       5.031015E-08                       1.008573E+02                       3.037850E+02                       5.820515E-08
                             1.9800                       5.032045E-08                       1.008573E+02                       3.037850E+02                       5.821706E-08
                             2.1600                       5.032769E-08                       1.008573E+02                       3.037850E+02                       5.822544E-08
                             2.3400                       5.033207E-08                       1.008573E+02                       3.037850E+02                       5.823051E-08
                             2.5200                       5.033375E-08                       1.008573E+02                       3.037850E+02                       5.823246E-08
                             2.7000                       5.033292E-08                       1.008573E+02                       3.037850E+02                       5.823150E-08
                             2.8800                       5.032977E-08                       1.008573E+02                       3.037850E+02                       5.822785E-08
                             3.0600                       5.032446E-08                       1.008573E+02                       3.037850E+02                       5.822171E-08
                             3.2400                       5.031718E-08                       1.008573E+02                       3.037850E+02                       5.821329E-08
                             3.4200                       5.030811E-08                       1.008573E+02                       3.037850E+02                       5.820279E-08
                             3.6000                       5.029743E-08                       1.008573E+02                       3.037850E+02                       5.819044E-08
                             3.7800                       5.028532E-08                       1.008573E+02                       3.037850E+02                       5.817642E-08
                             3.9600                       5.027195E-08                       1.008573E+02                       3.037850E+02                       5.816096E-08
                             4.1400                       5.025752E-08                       1.008573E+02                       3.037850E+02                       5.814426E-08
                             4.3200                       5.024219E-08                       1.008573E+02                       3.037850E+02                       5.812652E-08
                             4.5000                       5.022615E-08                       1.008573E+02                       3.037850E+02                       5.810796E-08
                             4.6800                       5.020957E-08                       1.008573E+02                       3.037850E+02                       5.808879E-08
                             4.8600                       5.019265E-08                       1.008573E+02                       3.037850E+02                       5.806921E-08
                             5.0400                       5.017555E-08                       1.008573E+02                       3.037850E+02                       5.804943E-08
                             5.2200                       5.015845E-08                       1.008573E+02                       3.037850E+02                       5.802965E-08
                             5.4000                       5.014155E-08                       1.008573E+02                       3.037850E+02                       5.801009E-08
                             5.5800                       5.012501E-08                       1.008573E+02                       3.037850E+02                       5.799096E-08
                             5.7600                       5.010902E-08                       1.008573E+02                       3.037850E+02                       5.797246E-08
                             5.9400                       5.009376E-08                       1.008573E+02                       3.037850E+02                       5.795480E-08
                             6.1200                       5.007940E-08                       1.008573E+02                       3.037850E+02                       5.793819E-08
                             6.3000                       5.006612E-08                       1.008573E+02                       3.037850E+02                       5.792283E-08
                             6.4800                       5.005412E-08                       1.008573E+02                       3.037850E+02                       5.790894E-08
                             6.6600                       5.004355E-08                       1.008573E+02                       3.037850E+02                       5.789672E-08
                             6.8400                       5.003462E-08                       1.008573E+02                       3.037850E+02                       5.788638E-08
                             7.0200                       5.002748E-08                       1.008573E+02                       3.037850E+02                       5.787813E-08
                             7.2000                       5.002233E-08                       1.008573E+02                       3.037850E+02                       5.787217E-08
                             7.3800                       5.001935E-08                       1.008573E+02                       3.037850E+02                       5.786872E-08
                             7.5600                       5.001871E-08                       1.008573E+02                       3.037850E+02                       5.786797E-08
                             7.7400                       5.002059E-08                       1.008573E+02                       3.037850E+02                       5.787015E-08
                             7.9200                       5.002517E-08                       1.008573E+02                       3.037850E+02                       5.787545E-08
                             8.1000                       5.003263E-08                       1.008573E+02                       3.037850E+02                       5.788409E-08
