                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.503695E+02             3.498748E+02             3.503695E+02             3.498748E+02             3.537612E+02             3.526167E+02             3.537612E+02             3.526167E+02             3.541757E+02             3.529734E+02
                   0.1800             3.503588E+02             3.498750E+02             3.504481E+02             3.499622E+02             3.537297E+02             3.525993E+02             3.538199E+02             3.526878E+02             3.542397E+02             3.530492E+02
                   0.3600             3.499644E+02             3.494823E+02             3.501120E+02             3.496228E+02             3.533417E+02             3.522090E+02             3.534904E+02             3.523540E+02             3.539083E+02             3.527136E+02
                   0.5400             3.497265E+02             3.492505E+02             3.499251E+02             3.494361E+02             3.531025E+02             3.519726E+02             3.533024E+02             3.521663E+02             3.537204E+02             3.525261E+02
                   0.7200             3.495518E+02             3.490832E+02             3.497969E+02             3.493093E+02             3.529233E+02             3.517982E+02             3.531706E+02             3.520365E+02             3.535893E+02             3.523970E+02
                   0.9000             3.494063E+02             3.489453E+02             3.496946E+02             3.492087E+02             3.527722E+02             3.516525E+02             3.530637E+02             3.519322E+02             3.534834E+02             3.522935E+02
                   1.0800             3.492773E+02             3.488237E+02             3.496057E+02             3.491216E+02             3.526371E+02             3.515230E+02             3.529702E+02             3.518414E+02             3.533909E+02             3.522035E+02
                   1.2600             3.491593E+02             3.487128E+02             3.495255E+02             3.490431E+02             3.525131E+02             3.514044E+02             3.528855E+02             3.517592E+02             3.533070E+02             3.521221E+02
                   1.4400             3.490504E+02             3.486105E+02             3.494519E+02             3.489711E+02             3.523980E+02             3.512947E+02             3.528078E+02             3.516838E+02             3.532301E+02             3.520474E+02
                   1.6200             3.489493E+02             3.485155E+02             3.493842E+02             3.489049E+02             3.522910E+02             3.511929E+02             3.527363E+02             3.516145E+02             3.531592E+02             3.519786E+02
                   1.8000             3.488555E+02             3.484275E+02             3.493222E+02             3.488442E+02             3.521915E+02             3.510983E+02             3.526706E+02             3.515508E+02             3.530941E+02             3.519154E+02
                   1.9800             3.487687E+02             3.483459E+02             3.492655E+02             3.487888E+02             3.520992E+02             3.510106E+02             3.526107E+02             3.514927E+02             3.530346E+02             3.518577E+02
                   2.1600             3.486885E+02             3.482705E+02             3.492142E+02             3.487385E+02             3.520139E+02             3.509296E+02             3.525564E+02             3.514401E+02             3.529806E+02             3.518053E+02
                   2.3400             3.486147E+02             3.482012E+02             3.491681E+02             3.486934E+02             3.519352E+02             3.508551E+02             3.525076E+02             3.513927E+02             3.529320E+02             3.517581E+02
                   2.5200             3.485471E+02             3.481378E+02             3.491272E+02             3.486533E+02             3.518632E+02             3.507869E+02             3.524643E+02             3.513507E+02             3.528888E+02             3.517162E+02
                   2.7000             3.484857E+02             3.480801E+02             3.490914E+02             3.486182E+02             3.517976E+02             3.507249E+02             3.524265E+02             3.513139E+02             3.528509E+02             3.516794E+02
                   2.8800             3.484302E+02             3.480279E+02             3.490608E+02             3.485880E+02             3.517383E+02             3.506689E+02             3.523940E+02             3.512824E+02             3.528184E+02             3.516477E+02
                   3.0600             3.483804E+02             3.479813E+02             3.490351E+02             3.485628E+02             3.516851E+02             3.506188E+02             3.523669E+02             3.512560E+02             3.527910E+02             3.516211E+02
                   3.2400             3.483363E+02             3.479400E+02             3.490144E+02             3.485424E+02             3.516379E+02             3.505744E+02             3.523450E+02             3.512346E+02             3.527688E+02             3.515994E+02
                   3.4200             3.482953E+02             3.479016E+02             3.489963E+02             3.485245E+02             3.515942E+02             3.505332E+02             3.523257E+02             3.512158E+02             3.527492E+02             3.515803E+02
                   3.6000             3.482552E+02             3.478640E+02             3.489783E+02             3.485068E+02             3.515514E+02             3.504930E+02             3.523067E+02             3.511972E+02             3.527297E+02             3.515613E+02
                   3.7800             3.482158E+02             3.478270E+02             3.489606E+02             3.484892E+02             3.515095E+02             3.504536E+02             3.522878E+02             3.511788E+02             3.527105E+02             3.515425E+02
                   3.9600             3.481772E+02             3.477906E+02             3.489430E+02             3.484719E+02             3.514686E+02             3.504149E+02             3.522692E+02             3.511606E+02             3.526914E+02             3.515239E+02
                   4.1400             3.481393E+02             3.477547E+02             3.489255E+02             3.484546E+02             3.514284E+02             3.503770E+02             3.522507E+02             3.511426E+02             3.526725E+02             3.515055E+02
                   4.3200             3.481020E+02             3.477194E+02             3.489083E+02             3.484376E+02             3.513890E+02             3.503398E+02             3.522324E+02             3.511247E+02             3.526537E+02             3.514871E+02
                   4.5000             3.480653E+02             3.476846E+02             3.488911E+02             3.484207E+02             3.513504E+02             3.503032E+02             3.522143E+02             3.511070E+02             3.526351E+02             3.514690E+02
                   4.6800             3.480292E+02             3.476502E+02             3.488742E+02             3.484039E+02             3.513124E+02             3.502673E+02             3.521963E+02             3.510894E+02             3.526166E+02             3.514509E+02
                   4.8600             3.479936E+02             3.476164E+02             3.488573E+02             3.483873E+02             3.512751E+02             3.502320E+02             3.521784E+02             3.510720E+02             3.525983E+02             3.514330E+02
                   5.0400             3.479586E+02             3.475829E+02             3.488406E+02             3.483708E+02             3.512385E+02             3.501972E+02             3.521607E+02             3.510547E+02             3.525800E+02             3.514152E+02
                   5.2200             3.479240E+02             3.475499E+02             3.488241E+02             3.483544E+02             3.512025E+02             3.501630E+02             3.521432E+02             3.510375E+02             3.525619E+02             3.513975E+02
                   5.4000             3.478899E+02             3.475172E+02             3.488076E+02             3.483382E+02             3.511671E+02             3.501293E+02             3.521257E+02             3.510205E+02             3.525439E+02             3.513800E+02
                   5.5800             3.478562E+02             3.474849E+02             3.487913E+02             3.483220E+02             3.511322E+02             3.500961E+02             3.521084E+02             3.510036E+02             3.525260E+02             3.513625E+02
                   5.7600             3.478229E+02             3.474530E+02             3.487751E+02             3.483060E+02             3.510979E+02             3.500634E+02             3.520913E+02             3.509868E+02             3.525083E+02             3.513452E+02
                   5.9400             3.477900E+02             3.474214E+02             3.487590E+02             3.482901E+02             3.510640E+02             3.500311E+02             3.520742E+02             3.509701E+02             3.524906E+02             3.513279E+02
                   6.1200             3.477575E+02             3.473901E+02             3.487430E+02             3.482743E+02             3.510307E+02             3.499993E+02             3.520572E+02             3.509536E+02             3.524730E+02             3.513108E+02
                   6.3000             3.477254E+02             3.473592E+02             3.487271E+02             3.482586E+02             3.509978E+02             3.499679E+02             3.520404E+02             3.509371E+02             3.524555E+02             3.512937E+02
                   6.4800             3.476935E+02             3.473285E+02             3.487114E+02             3.482430E+02             3.509654E+02             3.499369E+02             3.520236E+02             3.509207E+02             3.524382E+02             3.512767E+02
                   6.6600             3.476621E+02             3.472981E+02             3.486957E+02             3.482276E+02             3.509334E+02             3.499062E+02             3.520070E+02             3.509045E+02             3.524209E+02             3.512599E+02
                   6.8400             3.476309E+02             3.472680E+02             3.486801E+02             3.482122E+02             3.509019E+02             3.498759E+02             3.519905E+02             3.508883E+02             3.524037E+02             3.512431E+02
                   7.0200             3.476000E+02             3.472382E+02             3.486646E+02             3.481969E+02             3.508707E+02             3.498460E+02             3.519740E+02             3.508722E+02             3.523865E+02             3.512263E+02
                   7.2000             3.475694E+02             3.472086E+02             3.486492E+02             3.481816E+02             3.508399E+02             3.498164E+02             3.519577E+02             3.508563E+02             3.523695E+02             3.512097E+02
                   7.3800             3.475391E+02             3.471792E+02             3.486339E+02             3.481665E+02             3.508095E+02             3.497872E+02             3.519414E+02             3.508404E+02             3.523525E+02             3.511932E+02
                   7.5600             3.475090E+02             3.471501E+02             3.486187E+02             3.481515E+02             3.507794E+02             3.497582E+02             3.519252E+02             3.508246E+02             3.523356E+02             3.511767E+02
                   7.7400             3.474792E+02             3.471212E+02             3.486036E+02             3.481365E+02             3.507496E+02             3.497295E+02             3.519091E+02             3.508088E+02             3.523188E+02             3.511603E+02
                   7.9200             3.474496E+02             3.470925E+02             3.485885E+02             3.481216E+02             3.507202E+02             3.497012E+02             3.518931E+02             3.507932E+02             3.523021E+02             3.511439E+02
                   8.1000             3.474203E+02             3.470640E+02             3.485735E+02             3.481068E+02             3.506911E+02             3.496731E+02             3.518771E+02             3.507776E+02             3.522854E+02             3.511276E+02
                   8.2800             3.473911E+02             3.470357E+02             3.485586E+02             3.480921E+02             3.506623E+02             3.496452E+02             3.518612E+02             3.507621E+02             3.522688E+02             3.511114E+02
                   8.4600             3.473622E+02             3.470076E+02             3.485438E+02             3.480774E+02             3.506337E+02             3.496176E+02             3.518454E+02             3.507466E+02             3.522522E+02             3.510953E+02
                   8.6400             3.473335E+02             3.469797E+02             3.485290E+02             3.480628E+02             3.506055E+02             3.495903E+02             3.518297E+02             3.507313E+02             3.522357E+02             3.510792E+02
                   8.8200             3.473049E+02             3.469519E+02             3.485143E+02             3.480483E+02             3.505774E+02             3.495632E+02             3.518140E+02             3.507160E+02             3.522193E+02             3.510631E+02
                   9.0000             3.472765E+02             3.469243E+02             3.484997E+02             3.480338E+02             3.505497E+02             3.495363E+02             3.517984E+02             3.507007E+02             3.522029E+02             3.510471E+02
