                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             3.284577E-05             1.009508E+02             3.041355E+02             3.431830E+05             1.156661E+00             4.304608E+05             3.901557E+03             1.873598E-05             1.006525E+03             2.669081E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   0.1800             3.284572E-05             1.009508E+02             3.041342E+02             3.431831E+05             1.150738E+00             4.304607E+05             3.903031E+03             1.873585E-05             1.006517E+03             2.669055E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   0.3600             3.284566E-05             1.009508E+02             3.041344E+02             3.431833E+05             1.150740E+00             4.304608E+05             3.903031E+03             1.873586E-05             1.006517E+03             2.669056E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   0.5400             3.284559E-05             1.009508E+02             3.041346E+02             3.431834E+05             1.150743E+00             4.304610E+05             3.903031E+03             1.873587E-05             1.006517E+03             2.669058E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   0.7200             3.284552E-05             1.009508E+02             3.041347E+02             3.431835E+05             1.150745E+00             4.304612E+05             3.903030E+03             1.873587E-05             1.006517E+03             2.669059E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   0.9000             3.284544E-05             1.009508E+02             3.041349E+02             3.431836E+05             1.150748E+00             4.304614E+05             3.903030E+03             1.873588E-05             1.006517E+03             2.669060E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   1.0800             3.284536E-05             1.009508E+02             3.041351E+02             3.431838E+05             1.150751E+00             4.304616E+05             3.903030E+03             1.873589E-05             1.006517E+03             2.669062E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   1.2600             3.284527E-05             1.009508E+02             3.041354E+02             3.431839E+05             1.150754E+00             4.304618E+05             3.903030E+03             1.873590E-05             1.006517E+03             2.669064E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   1.4400             3.284517E-05             1.009508E+02             3.041356E+02             3.431841E+05             1.150757E+00             4.304620E+05             3.903029E+03             1.873592E-05             1.006517E+03             2.669065E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   1.6200             3.284507E-05             1.009508E+02             3.041359E+02             3.431843E+05             1.150761E+00             4.304623E+05             3.903029E+03             1.873593E-05             1.006517E+03             2.669067E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   1.8000             3.284496E-05             1.009508E+02             3.041361E+02             3.431845E+05             1.150765E+00             4.304626E+05             3.903029E+03             1.873594E-05             1.006517E+03             2.669069E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   1.9800             3.284485E-05             1.009508E+02             3.041364E+02             3.431847E+05             1.150769E+00             4.304628E+05             3.903028E+03             1.873595E-05             1.006517E+03             2.669071E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   2.1600             3.284472E-05             1.009508E+02             3.041367E+02             3.431849E+05             1.150773E+00             4.304631E+05             3.903028E+03             1.873597E-05             1.006517E+03             2.669074E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   2.3400             3.284459E-05             1.009508E+02             3.041370E+02             3.431852E+05             1.150778E+00             4.304635E+05             3.903028E+03             1.873599E-05             1.006517E+03             2.669076E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   2.5200             3.284446E-05             1.009508E+02             3.041374E+02             3.431854E+05             1.150782E+00             4.304638E+05             3.903027E+03             1.873600E-05             1.006517E+03             2.669079E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   2.7000             3.284431E-05             1.009508E+02             3.041377E+02             3.431857E+05             1.150788E+00             4.304642E+05             3.903027E+03             1.873602E-05             1.006517E+03             2.669081E-02             3.779682E-05             0.000000E+00             0.000000E+00
                   2.8800             3.284416E-05             1.009508E+02             3.041381E+02             3.431859E+05             1.150793E+00             4.304646E+05             3.903027E+03             1.873604E-05             1.006517E+03             2.669084E-02             3.779682E-05             0.000000E+00             0.000000E+00
