                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -1.170449E+00            -4.855534E+01             3.715702E+00             5.102882E+00             1.387181E+00             1.995190E+01             2.000007E+01
                   0.1800            -7.247457E-01            -4.655419E+01             3.727736E+00             5.889039E+00             2.167810E+00             1.899563E+01             1.911893E+01
                   0.3600            -1.169831E+00            -4.657587E+01             3.324435E+00             5.880222E+00             2.568921E+00             1.900686E+01             1.917968E+01
                   0.5400            -1.616511E+00            -4.660465E+01             2.920671E+00             5.870809E+00             2.970019E+00             1.902190E+01             1.925237E+01
                   0.7200            -2.063376E+00            -4.663777E+01             2.517213E+00             5.861858E+00             3.371390E+00             1.903939E+01             1.933558E+01
                   0.9000            -2.509631E+00            -4.667382E+01             2.114527E+00             5.853904E+00             3.773100E+00             1.905854E+01             1.942844E+01
                   1.0800            -2.954915E+00            -4.671208E+01             1.712809E+00             5.847212E+00             4.175216E+00             1.907888E+01             1.953039E+01
                   1.2600            -3.399126E+00            -4.675220E+01             1.312080E+00             5.841915E+00             4.577848E+00             1.910013E+01             1.964107E+01
                   1.4400            -3.842128E+00            -4.679400E+01             9.124367E-01             5.838066E+00             4.980951E+00             1.912207E+01             1.976015E+01
                   1.6200            -4.283893E+00            -4.683742E+01             5.138918E-01             5.835689E+00             5.384536E+00             1.914456E+01             1.988737E+01
                   1.8000            -4.724384E+00            -4.688241E+01             1.164757E-01             5.834789E+00             5.788578E+00             1.916746E+01             2.002247E+01
                   1.9800            -5.163637E+00            -4.692897E+01            -2.798481E-01             5.835364E+00             6.193114E+00             1.919066E+01             2.016522E+01
                   2.1600            -5.601615E+00            -4.697710E+01            -6.750427E-01             5.837407E+00             6.598099E+00             1.921403E+01             2.031536E+01
                   2.3400            -6.038343E+00            -4.702679E+01            -1.069127E+00             5.840911E+00             7.003549E+00             1.923747E+01             2.047266E+01
                   2.5200            -6.473811E+00            -4.707807E+01            -1.462090E+00             5.845865E+00             7.409444E+00             1.926088E+01             2.063690E+01
                   2.7000            -6.908023E+00            -4.713094E+01            -1.853930E+00             5.852259E+00             7.815776E+00             1.928416E+01             2.080781E+01
                   2.8800            -7.340994E+00            -4.718541E+01            -2.244656E+00             5.860082E+00             8.222547E+00             1.930720E+01             2.098519E+01
                   3.0600            -7.772721E+00            -4.724148E+01            -2.634263E+00             5.869315E+00             8.629737E+00             1.932990E+01             2.116878E+01
                   3.2400            -8.203775E+00            -4.729822E+01            -3.023256E+00             5.879239E+00             9.037126E+00             1.935218E+01             2.135829E+01
