                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                   0.0000             1.022380E+00             1.301290E-05             8.425723E-06             0.000000E+00             0.000000E+00             2.143863E-05
                   0.1800             1.102566E+00             8.699305E-07             1.098626E-05             0.000000E+00             1.747483E-08             1.187366E-05
                   0.3600             1.100821E+00             5.600643E-07             1.092359E-05             0.000000E+00             3.381121E-08             1.151746E-05
                   0.5400             1.098951E+00             3.496187E-07             1.085506E-05             0.000000E+00             4.904126E-08             1.125372E-05
                   0.7200             1.097078E+00             2.089260E-07             1.079094E-05             0.000000E+00             6.323590E-08             1.106311E-05
                   0.9000             1.095261E+00             1.207612E-07             1.072578E-05             0.000000E+00             7.648262E-08             1.092302E-05
                   1.0800             1.093531E+00             6.702718E-08             1.066591E-05             0.000000E+00             8.887479E-08             1.082181E-05
                   1.2600             1.091903E+00             6.675488E-08             1.060849E-05             0.000000E+00             1.005080E-07             1.077575E-05
                   1.4400             1.090383E+00             6.600080E-08             1.055658E-05             0.000000E+00             1.114763E-07             1.073405E-05
                   1.6200             1.088974E+00             6.576107E-08             1.050724E-05             0.000000E+00             1.218735E-07             1.069487E-05
                   1.8000             1.087676E+00             6.553942E-08             1.046051E-05             0.000000E+00             1.317924E-07             1.065784E-05
                   1.9800             1.086490E+00             6.533590E-08             1.041936E-05             0.000000E+00             1.413245E-07             1.062602E-05
                   2.1600             1.085415E+00             6.515052E-08             1.038085E-05             0.000000E+00             1.505606E-07             1.059656E-05
                   2.3400             1.084449E+00             6.498323E-08             1.034790E-05             0.000000E+00             1.595906E-07             1.057247E-05
                   2.5200             1.083593E+00             6.434303E-08             1.031761E-05             0.000000E+00             1.685034E-07             1.055046E-05
                   2.7000             1.082846E+00             6.421042E-08             1.029288E-05             0.000000E+00             1.773873E-07             1.053448E-05
                   2.8800             1.082205E+00             6.409596E-08             1.027081E-05             0.000000E+00             1.863294E-07             1.052123E-05
                   3.0600             1.081671E+00             6.399963E-08             1.025429E-05             0.000000E+00             1.954164E-07             1.051371E-05
                   3.2400             1.081243E+00             6.392134E-08             1.024043E-05             0.000000E+00             2.047335E-07             1.050908E-05
                   3.4200             1.080919E+00             6.386100E-08             1.022922E-05             0.000000E+00             2.143651E-07             1.050744E-05
                   3.6000             1.080698E+00             6.381852E-08             1.022354E-05             0.000000E+00             2.243943E-07             1.051176E-05
                   3.7800             1.080581E+00             6.379376E-08             1.022339E-05             0.000000E+00             2.349017E-07             1.052208E-05
                   3.9600             1.080563E+00             6.378641E-08             1.022582E-05             0.000000E+00             2.459602E-07             1.053557E-05
                   4.1400             1.080614E+00             6.379076E-08             1.023005E-05             0.000000E+00             2.574451E-07             1.055129E-05
                   4.3200             1.080670E+00             6.379589E-08             1.023455E-05             0.000000E+00             2.689975E-07             1.056735E-05
                   4.5000             1.080730E+00             6.380128E-08             1.023925E-05             0.000000E+00             2.806001E-07             1.058365E-05
                   4.6800             1.080792E+00             6.380692E-08             1.024704E-05             0.000000E+00             2.922518E-07             1.060309E-05
                   4.8600             1.080856E+00             6.381271E-08             1.025211E-05             0.000000E+00             3.039487E-07             1.061987E-05
                   5.0400             1.080922E+00             6.381859E-08             1.025737E-05             0.000000E+00             3.156874E-07             1.063687E-05
                   5.2200             1.080987E+00             6.382453E-08             1.026568E-05             0.000000E+00             3.274634E-07             1.065697E-05
                   5.4000             1.081053E+00             6.383044E-08             1.027126E-05             0.000000E+00             3.392714E-07             1.067436E-05
