                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                   0.0000             0.000000E+00             1.429932E+05
                   0.1800             2.618918E+00             1.429923E+05
                   0.3600             5.237800E+00             1.429894E+05
                   0.5400             7.856612E+00             1.429846E+05
                   0.7200             1.047532E+01             1.429779E+05
                   0.9000             1.309388E+01             1.429692E+05
                   1.0800             1.571228E+01             1.429587E+05
                   1.2600             1.833046E+01             1.429462E+05
                   1.4400             2.094839E+01             1.429318E+05
                   1.6200             2.356604E+01             1.429155E+05
                   1.8000             2.618338E+01             1.428973E+05
                   1.9800             2.880036E+01             1.428772E+05
                   2.1600             3.141696E+01             1.428551E+05
                   2.3400             3.403314E+01             1.428312E+05
                   2.5200             3.664886E+01             1.428053E+05
                   2.7000             3.926409E+01             1.427775E+05
                   2.8800             4.187880E+01             1.427478E+05
                   3.0600             4.449294E+01             1.427162E+05
                   3.2400             4.710649E+01             1.426827E+05
                   3.4200             4.971940E+01             1.426472E+05
                   3.6000             5.233165E+01             1.426099E+05
                   3.7800             5.494319E+01             1.425706E+05
                   3.9600             5.755400E+01             1.425295E+05
                   4.1400             6.016404E+01             1.424864E+05
                   4.3200             6.277327E+01             1.424414E+05
                   4.5000             6.538167E+01             1.423946E+05
                   4.6800             6.798918E+01             1.423458E+05
                   4.8600             7.059578E+01             1.422951E+05
                   5.0400             7.320144E+01             1.422425E+05
                   5.2200             7.580612E+01             1.421880E+05
                   5.4000             7.840978E+01             1.421316E+05
                   5.5800             8.101240E+01             1.420734E+05
                   5.7600             8.361392E+01             1.420132E+05
                   5.9400             8.621433E+01             1.419511E+05
                   6.1200             8.881359E+01             1.418872E+05
                   6.3000             9.141165E+01             1.418213E+05
                   6.4800             9.400850E+01             1.417536E+05
                   6.6600             9.660408E+01             1.416839E+05
                   6.8400             9.919837E+01             1.416124E+05
                   7.0200             1.017913E+02             1.415390E+05
                   7.2000             1.043829E+02             1.414637E+05
                   7.3800             1.069731E+02             1.413866E+05
                   7.5600             1.095619E+02             1.413075E+05
                   7.7400             1.121492E+02             1.412266E+05
                   7.9200             1.147350E+02             1.411438E+05
                   8.1000             1.173193E+02             1.410592E+05
                   8.2800             1.199020E+02             1.409726E+05
                   8.4600             1.224832E+02             1.408843E+05
                   8.6400             1.250626E+02             1.407940E+05
                   8.8200             1.276404E+02             1.407019E+05
                   9.0000             1.302165E+02             1.406079E+05
                   9.1800             1.327909E+02             1.405120E+05
                   9.3600             1.353635E+02             1.404143E+05
                   9.5400             1.379343E+02             1.403148E+05
                   9.7200             1.405032E+02             1.402133E+05
                   9.9000             1.430703E+02             1.401101E+05
                  10.0800             1.456354E+02             1.400050E+05
                  10.2600             1.481986E+02             1.398980E+05
                  10.4400             1.507599E+02             1.397892E+05
                  10.6200             1.533191E+02             1.396786E+05
                  10.8000             1.558763E+02             1.395661E+05
                  10.9800             1.584314E+02             1.394518E+05
                  11.1600             1.609844E+02             1.393357E+05
                  11.3400             1.635353E+02             1.392177E+05
                  11.5200             1.660840E+02             1.390980E+05
                  11.7000             1.686304E+02             1.389763E+05
                  11.8800             1.711747E+02             1.388529E+05
                  12.0600             1.737166E+02             1.387277E+05
                  12.2400             1.762562E+02             1.386006E+05
                  12.4200             1.787935E+02             1.384718E+05
                  12.6000             1.813285E+02             1.383411E+05
                  12.7800             1.838610E+02             1.382086E+05
                  12.9600             1.863910E+02             1.380743E+05
                  13.1400             1.889186E+02             1.379383E+05
                  13.3200             1.914437E+02             1.378004E+05
                  13.5000             1.939662E+02             1.376607E+05
                  13.6800             1.964862E+02             1.375193E+05
                  13.8600             1.990036E+02             1.373761E+05
                  14.0400             2.015183E+02             1.372311E+05
                  14.2200             2.040303E+02             1.370843E+05
                  14.4000             2.065397E+02             1.369357E+05
                  14.5800             2.090463E+02             1.367854E+05
                  14.7600             2.115501E+02             1.366333E+05
                  14.9400             2.140512E+02             1.364795E+05
                  15.1200             2.165494E+02             1.363238E+05
                  15.3000             2.190447E+02             1.361665E+05
                  15.4800             2.215371E+02             1.360074E+05
                  15.6600             2.240266E+02             1.358465E+05
                  15.8400             2.265132E+02             1.356839E+05
                  16.0200             2.289967E+02             1.355195E+05
                  16.2000             2.314773E+02             1.353534E+05
                  16.3800             2.339547E+02             1.351856E+05
                  16.5600             2.364291E+02             1.350161E+05
                  16.7400             2.389004E+02             1.348448E+05
                  16.9200             2.413685E+02             1.346718E+05
                  17.1000             2.438334E+02             1.344971E+05
                  17.2800             2.462951E+02             1.343207E+05
                  17.4600             2.487536E+02             1.341426E+05
                  17.6400             2.512087E+02             1.339628E+05
                  17.8200             2.536606E+02             1.337813E+05
                  18.0000             2.561091E+02             1.335980E+05
                  18.1800             2.585543E+02             1.334131E+05
                  18.3600             2.609961E+02             1.332266E+05
                  18.5400             2.634344E+02             1.330383E+05
                  18.7200             2.658692E+02             1.328483E+05
                  18.9000             2.683006E+02             1.326567E+05
                  19.0800             2.707284E+02             1.324634E+05
                  19.2600             2.731527E+02             1.322685E+05
                  19.4400             2.755734E+02             1.320719E+05
                  19.6200             2.779905E+02             1.318736E+05
                  19.8000             2.804040E+02             1.316737E+05
                  19.9800             2.828137E+02             1.314722E+05
                  20.1600             2.852198E+02             1.312690E+05
                  20.3400             2.876221E+02             1.310641E+05
                  20.5200             2.900207E+02             1.308577E+05
                  20.7000             2.924154E+02             1.306496E+05
                  20.8800             2.948063E+02             1.304399E+05
                  21.0600             2.971934E+02             1.302286E+05
                  21.2400             2.995766E+02             1.300156E+05
                  21.4200             3.019559E+02             1.298011E+05
                  21.6000             3.043312E+02             1.295849E+05
                  21.7800             3.067026E+02             1.293672E+05
                  21.9600             3.090699E+02             1.291479E+05
                  22.1400             3.114333E+02             1.289270E+05
                  22.3200             3.137925E+02             1.287045E+05
                  22.5000             3.161477E+02             1.284804E+05
                  22.6800             3.184988E+02             1.282548E+05
                  22.8600             3.208457E+02             1.280276E+05
                  23.0400             3.231884E+02             1.277988E+05
                  23.2200             3.255269E+02             1.275685E+05
                  23.4000             3.278612E+02             1.273366E+05
                  23.5800             3.301913E+02             1.271032E+05
                  23.7600             3.325170E+02             1.268682E+05
                  23.9400             3.348384E+02             1.266317E+05
                  24.1200             3.371555E+02             1.263937E+05
                  24.3000             3.394682E+02             1.261542E+05
                  24.4800             3.417766E+02             1.259131E+05
                  24.6600             3.440804E+02             1.256706E+05
                  24.8400             3.463799E+02             1.254265E+05
                  25.0200             3.486748E+02             1.251809E+05
                  25.2000             3.509652E+02             1.249338E+05
                  25.3800             3.532511E+02             1.246853E+05
                  25.5600             3.555325E+02             1.244352E+05
                  25.7400             3.578092E+02             1.241837E+05
                  25.9200             3.600813E+02             1.239307E+05
                  26.1000             3.623488E+02             1.236762E+05
                  26.2800             3.646116E+02             1.234203E+05
                  26.4600             3.668696E+02             1.231629E+05
                  26.6400             3.691230E+02             1.229041E+05
                  26.8200             3.713716E+02             1.226438E+05
                  27.0000             3.736154E+02             1.223821E+05
                  27.1800             3.758545E+02             1.221189E+05
                  27.3600             3.780887E+02             1.218544E+05
                  27.5400             3.803180E+02             1.215884E+05
                  27.7200             3.825424E+02             1.213209E+05
                  27.9000             3.847620E+02             1.210521E+05
                  28.0800             3.869766E+02             1.207819E+05
                  28.2600             3.891862E+02             1.205103E+05
                  28.4400             3.913909E+02             1.202372E+05
                  28.6200             3.935905E+02             1.199628E+05
                  28.8000             3.957851E+02             1.196870E+05
                  28.9800             3.979746E+02             1.194099E+05
                  29.1600             4.001591E+02             1.191314E+05
                  29.3400             4.023384E+02             1.188515E+05
                  29.5200             4.045126E+02             1.185702E+05
                  29.7000             4.066816E+02             1.182876E+05
                  29.8800             4.088455E+02             1.180037E+05
                  30.0600             4.110041E+02             1.177184E+05
                  30.2400             4.131575E+02             1.174318E+05
                  30.4200             4.153056E+02             1.171439E+05
                  30.6000             4.174485E+02             1.168546E+05
                  30.7800             4.195860E+02             1.165640E+05
                  30.9600             4.217182E+02             1.162722E+05
                  31.1400             4.238450E+02             1.159790E+05
                  31.3200             4.259665E+02             1.156845E+05
                  31.5000             4.280826E+02             1.153887E+05
                  31.6800             4.301932E+02             1.150917E+05
                  31.8600             4.322984E+02             1.147934E+05
                  32.0400             4.343981E+02             1.144938E+05
                  32.2200             4.364923E+02             1.141930E+05
                  32.4000             4.385810E+02             1.138908E+05
                  32.5800             4.406641E+02             1.135875E+05
                  32.7600             4.427417E+02             1.132829E+05
                  32.9400             4.448136E+02             1.129771E+05
                  33.1200             4.468800E+02             1.126700E+05
                  33.3000             4.489407E+02             1.123617E+05
                  33.4800             4.509958E+02             1.120522E+05
                  33.6600             4.530452E+02             1.117414E+05
                  33.8400             4.550889E+02             1.114295E+05
                  34.0200             4.571269E+02             1.111164E+05
                  34.2000             4.591591E+02             1.108021E+05
                  34.3800             4.611855E+02             1.104866E+05
                  34.5600             4.632062E+02             1.101699E+05
                  34.7400             4.652211E+02             1.098520E+05
                  34.9200             4.672301E+02             1.095330E+05
                  35.1000             4.692333E+02             1.092128E+05
                  35.2800             4.712305E+02             1.088914E+05
                  35.4600             4.732219E+02             1.085690E+05
                  35.6400             4.752074E+02             1.082453E+05
                  35.8200             4.771870E+02             1.079206E+05
                  36.0000             4.791606E+02             1.075947E+05
                  36.1800             4.811282E+02             1.072676E+05
                  36.3600             4.830898E+02             1.069395E+05
                  36.5400             4.850454E+02             1.066103E+05
                  36.7200             4.869949E+02             1.062799E+05
                  36.9000             4.889384E+02             1.059485E+05
                  37.0800             4.908758E+02             1.056160E+05
                  37.2600             4.928071E+02             1.052824E+05
                  37.4400             4.947323E+02             1.049477E+05
                  37.6200             4.966513E+02             1.046120E+05
                  37.8000             4.985642E+02             1.042752E+05
                  37.9800             5.004709E+02             1.039373E+05
                  38.1600             5.023714E+02             1.035984E+05
                  38.3400             5.042657E+02             1.032584E+05
                  38.5200             5.061538E+02             1.029174E+05
                  38.7000             5.080356E+02             1.025754E+05
                  38.8800             5.099111E+02             1.022324E+05
                  39.0600             5.117804E+02             1.018883E+05
                  39.2400             5.136433E+02             1.015433E+05
                  39.4200             5.154999E+02             1.011972E+05
                  39.6000             5.173501E+02             1.008502E+05
                  39.7800             5.191940E+02             1.005021E+05
                  39.9600             5.210315E+02             1.001531E+05
                  40.1400             5.228626E+02             9.980308E+04
                  40.3200             5.246873E+02             9.945211E+04
                  40.5000             5.265056E+02             9.910017E+04
                  40.6800             5.283174E+02             9.874729E+04
                  40.8600             5.301227E+02             9.839345E+04
                  41.0400             5.319215E+02             9.803868E+04
                  41.2200             5.337138E+02             9.768297E+04
                  41.4000             5.354996E+02             9.732633E+04
                  41.5800             5.372789E+02             9.696877E+04
                  41.7600             5.390516E+02             9.661029E+04
                  41.9400             5.408177E+02             9.625091E+04
                  42.1200             5.425773E+02             9.589063E+04
                  42.3000             5.443302E+02             9.552945E+04
                  42.4800             5.460765E+02             9.516739E+04
                  42.6600             5.478162E+02             9.480444E+04
                  42.8400             5.495492E+02             9.444062E+04
                  43.0200             5.512755E+02             9.407594E+04
                  43.2000             5.529952E+02             9.371039E+04
                  43.3800             5.547081E+02             9.334399E+04
                  43.5600             5.564144E+02             9.297674E+04
                  43.7400             5.581139E+02             9.260865E+04
