                   Degree   dvdtheta1_suc[mm3/rad]   dvdtheta1_com[mm3/rad]
                   0.0000            -1.524069E-07             1.524069E-07
                   0.1800            -1.539760E-07             1.539760E-07
                   0.3600            -1.554858E-07             1.554858E-07
                   0.5400            -1.569363E-07             1.569363E-07
                   0.7200            -1.583276E-07             1.583276E-07
                   0.9000            -1.596595E-07             1.596595E-07
                   1.0800            -1.609320E-07             1.609320E-07
                   1.2600            -1.621453E-07             1.621453E-07
                   1.4400            -1.632991E-07             1.632991E-07
                   1.6200            -1.643936E-07             1.643936E-07
                   1.8000            -1.654287E-07             1.654287E-07
                   1.9800            -1.664043E-07             1.664043E-07
                   2.1600            -1.673206E-07             1.673206E-07
                   2.3400            -1.681774E-07             1.681774E-07
                   2.5200            -1.689747E-07             1.689747E-07
                   2.7000            -1.697127E-07             1.697127E-07
                   2.8800            -1.703911E-07             1.703911E-07
                   3.0600            -1.710101E-07             1.710101E-07
                   3.2400            -1.715697E-07             1.715697E-07
                   3.4200            -1.720697E-07             1.720697E-07
                   3.6000            -1.725103E-07             1.725103E-07
                   3.7800            -1.728914E-07             1.728914E-07
                   3.9600            -1.732130E-07             1.732130E-07
                   4.1400            -1.734751E-07             1.734751E-07
                   4.3200            -1.736778E-07             1.736778E-07
                   4.5000            -1.738209E-07             1.738209E-07
                   4.6800            -1.739046E-07             1.739046E-07
                   4.8600            -1.739288E-07             1.739288E-07
                   5.0400            -1.738935E-07             1.738935E-07
                   5.2200            -1.737987E-07             1.737987E-07
                   5.4000            -1.736445E-07             1.736445E-07
                   5.5800            -1.734308E-07             1.734308E-07
                   5.7600            -1.731577E-07             1.731577E-07
                   5.9400            -1.728251E-07             1.728251E-07
                   6.1200            -1.724331E-07             1.724331E-07
                   6.3000            -1.719816E-07             1.719816E-07
                   6.4800            -1.714708E-07             1.714708E-07
                   6.6600            -1.709005E-07             1.709005E-07
                   6.8400            -1.702709E-07             1.702709E-07
                   7.0200            -1.695819E-07             1.695819E-07
                   7.2000            -1.688335E-07             1.688335E-07
                   7.3800            -1.680258E-07             1.680258E-07
                   7.5600            -1.671587E-07             1.671587E-07
                   7.7400            -1.662323E-07             1.662323E-07
                   7.9200            -1.652467E-07             1.652467E-07
                   8.1000            -1.642017E-07             1.642017E-07
                   8.2800            -1.630976E-07             1.630976E-07
                   8.4600            -1.619342E-07             1.619342E-07
                   8.6400            -1.607115E-07             1.607115E-07
                   8.8200            -1.594297E-07             1.594297E-07
                   9.0000            -1.580888E-07             1.580888E-07
                   9.1800            -1.566887E-07             1.566887E-07
                   9.3600            -1.552295E-07             1.552295E-07
                   9.5400            -1.537112E-07             1.537112E-07
                   9.7200            -1.521338E-07             1.521338E-07
                   9.9000            -1.504974E-07             1.504974E-07
                  10.0800            -1.488021E-07             1.488021E-07
                  10.2600            -1.470477E-07             1.470477E-07
                  10.4400            -1.452345E-07             1.452345E-07
                  10.6200            -1.433623E-07             1.433623E-07
                  10.8000            -1.414313E-07             1.414313E-07
                  10.9800            -1.394414E-07             1.394414E-07
                  11.1600            -1.373927E-07             1.373927E-07
                  11.3400            -1.352853E-07             1.352853E-07
                  11.5200            -1.331191E-07             1.331191E-07
                  11.7000            -1.308943E-07             1.308943E-07
                  11.8800            -1.286108E-07             1.286108E-07
                  12.0600            -1.262686E-07             1.262686E-07
                  12.2400            -1.238680E-07             1.238680E-07
                  12.4200            -1.214088E-07             1.214088E-07
                  12.6000            -1.188911E-07             1.188911E-07
                  12.7800            -1.163149E-07             1.163149E-07
                  12.9600            -1.136804E-07             1.136804E-07
                  13.1400            -1.109875E-07             1.109875E-07
                  13.3200            -1.082363E-07             1.082363E-07
                  13.5000            -1.054269E-07             1.054269E-07
                  13.6800            -1.025592E-07             1.025592E-07
                  13.8600            -9.963340E-08             9.963340E-08
                  14.0400            -9.664946E-08             9.664946E-08
                  14.2200            -9.360745E-08             9.360745E-08
                  14.4000            -9.050744E-08             9.050744E-08
                  14.5800            -8.734946E-08             8.734946E-08
                  14.7600            -8.413358E-08             8.413358E-08
                  14.9400            -8.085984E-08             8.085984E-08
                  15.1200            -7.752830E-08             7.752830E-08
                  15.3000            -7.413902E-08             7.413902E-08
                  15.4800            -7.069206E-08             7.069206E-08
                  15.6600            -6.718746E-08             6.718746E-08
                  15.8400            -6.362529E-08             6.362529E-08
                  16.0200            -6.000561E-08             6.000561E-08
                  16.2000            -5.632848E-08             5.632848E-08
                  16.3800            -5.259395E-08             5.259395E-08
                  16.5600            -4.880210E-08             4.880210E-08
                  16.7400            -4.495298E-08             4.495298E-08
                  16.9200            -4.104665E-08             4.104665E-08
                  17.1000            -3.708318E-08             3.708318E-08
                  17.2800            -3.306264E-08             3.306264E-08
                  17.4600            -2.898508E-08             2.898508E-08
                  17.6400            -2.485059E-08             2.485059E-08
                  17.8200            -2.065922E-08             2.065922E-08
                  18.0000            -1.641104E-08             1.641104E-08
                  18.1800            -1.210612E-08             1.210612E-08
                  18.3600            -7.744534E-09             7.744534E-09
                  18.5400            -3.326351E-09             3.326351E-09
                  18.7200             1.148359E-09            -1.148359E-09
