                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   0.0000             8.200893E+01             1.488497E-01             8.186008E+01             2.637027E+05             1.442778E-01             4.340816E-04             4.137878E-03             1.006727E+01
                   0.1800             8.120282E+01            -3.602429E-01             8.156306E+01             2.637027E+05            -4.422090E-01            -1.330451E-03             8.329648E-02             1.004443E+01
                   0.3600             8.080915E+01            -7.326481E-01             8.154179E+01             2.637027E+05            -8.735370E-01            -2.628158E-03             1.435171E-01             1.004365E+01
                   0.5400             8.042093E+01            -1.105064E+00             8.152599E+01             2.637027E+05            -1.304886E+00            -3.925913E-03             2.037482E-01             1.004305E+01
                   0.7200             8.003929E+01            -1.477426E+00             8.151671E+01             2.637027E+05            -1.736211E+00            -5.223573E-03             2.640086E-01             1.004393E+01
                   0.9000             7.966162E+01            -1.849607E+00             8.151123E+01             2.637027E+05            -2.167396E+00            -6.520780E-03             3.243095E-01             1.004375E+01
                   1.0800             7.928904E+01            -2.221572E+00             8.151061E+01             2.637027E+05            -2.598413E+00            -7.817445E-03             3.846589E-01             1.004375E+01
                   1.2600             7.891969E+01            -2.593375E+00             8.151307E+01             2.637027E+05            -3.029324E+00            -9.113744E-03             4.450626E-01             1.004229E+01
                   1.4400             7.855670E+01            -2.964930E+00             8.152163E+01             2.637027E+05            -3.460047E+00            -1.040942E-02             5.055257E-01             1.004255E+01
                   1.6200             7.819843E+01            -3.336219E+00             8.153465E+01             2.637027E+05            -3.890568E+00            -1.170444E-02             5.660534E-01             1.004301E+01
                   1.8000             7.784285E+01            -3.707190E+00             8.155004E+01             2.637027E+05            -4.320843E+00            -1.299864E-02             6.266508E-01             1.004171E+01
                   1.9800             7.759053E+01            -4.077860E+00             8.166839E+01             2.637027E+05            -4.750891E+00            -1.429209E-02             6.873232E-01             1.004247E+01
                   2.1600             7.735800E+01            -4.448160E+00             8.180616E+01             2.637027E+05            -5.180651E+00            -1.558458E-02             7.480761E-01             1.004126E+01
                   2.3400             7.713142E+01            -4.818082E+00             8.194950E+01             2.637027E+05            -5.610121E+00            -1.687611E-02             8.089154E-01             1.004233E+01
                   2.5200             7.690624E+01            -5.187583E+00             8.209382E+01             2.637027E+05            -6.039263E+00            -1.816656E-02             8.698463E-01             1.004123E+01
                   2.7000             7.668702E+01            -5.556633E+00             8.224365E+01             2.637027E+05            -6.468050E+00            -1.945583E-02             9.308727E-01             1.004263E+01
                   2.8800             7.646874E+01            -5.925222E+00             8.239396E+01             2.637027E+05            -6.896469E+00            -2.074388E-02             9.919910E-01             1.004163E+01
                   3.0600             7.625371E+01            -6.293334E+00             8.254704E+01             2.637027E+05            -7.324480E+00            -2.203059E-02             1.053176E+00             1.004063E+01
                   3.2400             7.604472E+01            -6.660971E+00             8.270569E+01             2.637027E+05            -7.752067E+00            -2.331589E-02             1.114412E+00             1.004250E+01
                   3.4200             7.583604E+01            -7.028112E+00             8.286416E+01             2.637027E+05            -8.179208E+00            -2.459971E-02             1.175696E+00             1.004162E+01
                   3.6000             7.563037E+01            -7.394729E+00             8.302510E+01             2.637027E+05            -8.605875E+00            -2.588197E-02             1.237028E+00             1.004073E+01
                   3.7800             7.542761E+01            -7.760795E+00             8.318841E+01             2.637027E+05            -9.032039E+00            -2.716256E-02             1.298407E+00             1.003985E+01
                   3.9600             7.522769E+01            -8.126295E+00             8.335398E+01             2.637027E+05            -9.457685E+00            -2.844143E-02             1.359832E+00             1.003897E+01
                   4.1400             7.503401E+01            -8.491195E+00             8.352521E+01             2.637027E+05            -9.882779E+00            -2.971849E-02             1.421302E+00             1.004157E+01
                   4.3200             7.483967E+01            -8.855479E+00             8.369515E+01             2.637027E+05            -1.030730E+01            -3.099365E-02             1.482818E+00             1.004082E+01
                   4.5000             7.464796E+01            -9.219117E+00             8.386707E+01             2.637027E+05            -1.073123E+01            -3.226683E-02             1.544377E+00             1.004007E+01
                   4.6800             7.445880E+01            -9.582089E+00             8.404089E+01             0.000000E+00            -1.115453E+01            -3.353796E-02             1.605979E+00             1.003932E+01
                   4.8600             7.427214E+01            -9.944371E+00             8.421651E+01             0.000000E+00            -1.157719E+01            -3.480695E-02             1.667625E+00             1.003858E+01
                   5.0400             7.408792E+01            -1.030594E+01             8.439385E+01             0.000000E+00            -1.199918E+01            -3.607373E-02             1.729312E+00             1.003784E+01
                   5.2200             7.390608E+01            -1.066677E+01             8.457284E+01             0.000000E+00            -1.242047E+01            -3.733820E-02             1.791040E+00             1.003710E+01
                   5.4000             7.373092E+01            -1.102683E+01             8.475775E+01             0.000000E+00            -1.284104E+01            -3.860031E-02             1.852810E+00             1.004073E+01
                   5.5800             7.355381E+01            -1.138611E+01             8.493992E+01             0.000000E+00            -1.326087E+01            -3.985995E-02             1.914619E+00             1.004013E+01
                   5.7600             7.337893E+01            -1.174459E+01             8.512352E+01             0.000000E+00            -1.367994E+01            -4.111707E-02             1.976468E+00             1.003953E+01
