                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   0.0000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.263477E+05             2.239578E+05             4.427020E+05
                   0.1800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.264062E+05             2.240163E+05             4.428100E+05
                   0.3600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.264597E+05             2.240698E+05             4.429108E+05
                   0.5400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.265097E+05             2.241198E+05             4.430052E+05
                   0.7200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.265562E+05             2.241663E+05             4.430930E+05
                   0.9000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.265993E+05             2.242094E+05             4.431744E+05
                   1.0800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.266391E+05             2.242491E+05             4.432494E+05
                   1.2600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.266755E+05             2.242856E+05             4.433181E+05
                   1.4400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.267085E+05             2.243186E+05             4.433804E+05
                   1.6200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.267382E+05             2.243483E+05             4.434365E+05
                   1.8000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.267646E+05             2.243747E+05             4.434863E+05
                   1.9800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.267877E+05             2.243978E+05             4.435299E+05
                   2.1600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.268076E+05             2.244177E+05             4.435674E+05
                   2.3400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.268242E+05             2.244343E+05             4.435988E+05
                   2.5200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096313E+05             3.094092E+05             2.268377E+05             2.244478E+05             4.436241E+05
