                   Degree           dqdtheta_sc[W]           dqdtheta_dc[W]           dqdtheta_hc[W]       dqdtheta_resoil[W]          dqdtheta_oil[W]
                   0.0000             5.592202E-04             8.659525E+00             0.000000E+00             1.391759E+00             5.910866E+03
                   0.1800             3.902215E-02             8.653450E+00             0.000000E+00             1.665549E+00             5.897066E+03
                   0.3600             6.773638E-02             8.701581E+00             0.000000E+00             1.542210E+00             5.907435E+03
                   0.5400             9.358608E-02             8.742749E+00             0.000000E+00             1.455119E+00             5.909781E+03
                   0.7200             1.179100E-01             8.777377E+00             0.000000E+00             1.399489E+00             5.910686E+03
                   0.9000             1.412594E-01             8.806406E+00             0.000000E+00             1.367989E+00             5.911080E+03
                   1.0800             1.639009E-01             8.830936E+00             0.000000E+00             1.352908E+00             5.911242E+03
                   1.2600             1.859797E-01             8.851909E+00             0.000000E+00             1.347901E+00             5.911286E+03
                   1.4400             2.075854E-01             8.869992E+00             0.000000E+00             1.348571E+00             5.911269E+03
                   1.6200             2.287796E-01             8.885612E+00             0.000000E+00             1.352122E+00             5.911220E+03
                   1.8000             2.496079E-01             8.899033E+00             0.000000E+00             1.356875E+00             5.911157E+03
                   1.9800             2.701070E-01             8.910407E+00             0.000000E+00             1.361865E+00             5.911091E+03
                   2.1600             2.903076E-01             8.919826E+00             0.000000E+00             1.366555E+00             5.911027E+03
                   2.3400             3.102356E-01             8.927345E+00             0.000000E+00             1.370650E+00             5.910969E+03
                   2.5200             3.299137E-01             8.933002E+00             0.000000E+00             1.373997E+00             5.910921E+03
                   2.7000             3.493618E-01             8.936824E+00             0.000000E+00             1.376517E+00             5.910884E+03
                   2.8800             3.685972E-01             8.938836E+00             0.000000E+00             1.378178E+00             5.910858E+03
                   3.0600             3.876355E-01             8.939070E+00             0.000000E+00             1.378966E+00             5.910845E+03
                   3.2400             4.064903E-01             8.937569E+00             0.000000E+00             1.378887E+00             5.910845E+03
                   3.4200             4.251740E-01             8.934417E+00             0.000000E+00             1.377968E+00             5.910856E+03
                   3.6000             4.436975E-01             8.929837E+00             0.000000E+00             1.376306E+00             5.910878E+03
                   3.7800             4.620710E-01             8.924556E+00             0.000000E+00             1.374256E+00             5.910906E+03
                   3.9600             4.803037E-01             8.919250E+00             0.000000E+00             1.372156E+00             5.910934E+03
                   4.1400             4.984036E-01             8.913990E+00             0.000000E+00             1.370040E+00             5.910961E+03
                   4.3200             5.163785E-01             8.908779E+00             0.000000E+00             1.367911E+00             5.910989E+03
                   4.5000             5.342350E-01             8.903615E+00             0.000000E+00             1.365765E+00             5.911016E+03
                   4.6800             5.519797E-01             8.898498E+00             0.000000E+00             1.363606E+00             5.911043E+03
                   4.8600             5.696183E-01             8.893428E+00             0.000000E+00             1.361434E+00             5.911071E+03
                   5.0400             5.871563E-01             8.888405E+00             0.000000E+00             1.359248E+00             5.911097E+03
                   5.2200             6.045988E-01             8.883429E+00             0.000000E+00             1.357047E+00             5.911124E+03
                   5.4000             6.219504E-01             8.878500E+00             0.000000E+00             1.354833E+00             5.911151E+03
                   5.5800             6.392158E-01             8.873617E+00             0.000000E+00             1.352608E+00             5.911177E+03
                   5.7600             6.563989E-01             8.868780E+00             0.000000E+00             1.350368E+00             5.911204E+03
                   5.9400             6.735039E-01             8.863989E+00             0.000000E+00             1.348116E+00             5.911230E+03
                   6.1200             6.905345E-01             8.859243E+00             0.000000E+00             1.345853E+00             5.911256E+03
                   6.3000             7.074943E-01             8.854543E+00             0.000000E+00             1.343578E+00             5.911281E+03
                   6.4800             7.243867E-01             8.849888E+00             0.000000E+00             1.341292E+00             5.911307E+03
                   6.6600             7.412149E-01             8.845278E+00             0.000000E+00             1.338994E+00             5.911332E+03
                   6.8400             7.579821E-01             8.840713E+00             0.000000E+00             1.336686E+00             5.911358E+03
                   7.0200             7.746913E-01             8.836193E+00             0.000000E+00             1.334368E+00             5.911383E+03
                   7.2000             7.913455E-01             8.831716E+00             0.000000E+00             1.332040E+00             5.911408E+03
                   7.3800             8.079474E-01             8.827284E+00             0.000000E+00             1.329702E+00             5.911432E+03
                   7.5600             8.244997E-01             8.822895E+00             0.000000E+00             1.327356E+00             5.911457E+03
                   7.7400             8.410050E-01             8.818550E+00             0.000000E+00             1.325001E+00             5.911481E+03
                   7.9200             8.574659E-01             8.814248E+00             0.000000E+00             1.322637E+00             5.911505E+03
                   8.1000             8.738849E-01             8.809990E+00             0.000000E+00             1.320265E+00             5.911529E+03
                   8.2800             8.902643E-01             8.805774E+00             0.000000E+00             1.317885E+00             5.911552E+03
                   8.4600             9.066066E-01             8.801600E+00             0.000000E+00             1.315497E+00             5.911576E+03
                   8.6400             9.229139E-01             8.797469E+00             0.000000E+00             1.313103E+00             5.911599E+03
                   8.8200             9.391886E-01             8.793380E+00             0.000000E+00             1.310701E+00             5.911622E+03
                   9.0000             9.554330E-01             8.789332E+00             0.000000E+00             1.308295E+00             5.911645E+03
                   9.1800             9.716489E-01             8.785326E+00             0.000000E+00             1.305881E+00             5.911668E+03
                   9.3600             9.878387E-01             8.781361E+00             0.000000E+00             1.303461E+00             5.911690E+03
                   9.5400             1.004004E+00             8.777438E+00             0.000000E+00             1.301036E+00             5.911712E+03
                   9.7200             1.020148E+00             8.773555E+00             0.000000E+00             1.298605E+00             5.911734E+03
                   9.9000             1.036271E+00             8.769712E+00             0.000000E+00             1.296169E+00             5.911756E+03
                  10.0800             1.052375E+00             8.765910E+00             0.000000E+00             1.293727E+00             5.911778E+03
                  10.2600             1.068464E+00             8.762148E+00             0.000000E+00             1.291280E+00             5.911799E+03
                  10.4400             1.084537E+00             8.758425E+00             0.000000E+00             1.288828E+00             5.911820E+03
                  10.6200             1.100598E+00             8.754742E+00             0.000000E+00             1.286370E+00             5.911841E+03
                  10.8000             1.116648E+00             8.751099E+00             0.000000E+00             1.283907E+00             5.911862E+03
                  10.9800             1.132688E+00             8.747495E+00             0.000000E+00             1.281438E+00             5.911883E+03
                  11.1600             1.148720E+00             8.743929E+00             0.000000E+00             1.278963E+00             5.911903E+03
                  11.3400             1.164746E+00             8.740403E+00             0.000000E+00             1.276482E+00             5.911923E+03
                  11.5200             1.180768E+00             8.736915E+00             0.000000E+00             1.273994E+00             5.911944E+03
                  11.7000             1.196786E+00             8.733466E+00             0.000000E+00             1.271499E+00             5.911964E+03
