                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                   0.0000             1.370642E-06             1.896862E-07             1.370618E-06             2.218651E-15             1.527287E-08             7.149193E-08             1.267697E-06             2.370348E-11             3.992795E-20             1.180956E-06            -2.146788E-07            -2.137350E-07             7.525418E-07
                   0.1800             1.370876E-06             1.898152E-07             1.370025E-06             8.279340E-10             1.525453E-08             7.140476E-08             1.267697E-06             2.377048E-11             1.722679E-14             1.181061E-06            -2.147337E-07            -2.137857E-07             7.525418E-07
                   0.3600             1.371092E-06             1.899331E-07             1.369414E-06             1.653788E-09             1.523734E-08             7.132435E-08             1.267697E-06             2.383096E-11             3.440265E-14             1.181159E-06            -2.147826E-07            -2.138345E-07             7.525418E-07
                   0.5400             1.371295E-06             1.900444E-07             1.368794E-06             2.477511E-09             1.522113E-08             7.124850E-08             1.267697E-06             2.388709E-11             5.151836E-14             1.181251E-06            -2.148286E-07            -2.138806E-07             7.525418E-07
                   0.7200             1.371486E-06             1.901488E-07             1.368163E-06             3.299203E-09             1.520588E-08             7.117726E-08             1.267697E-06             2.393884E-11             6.857362E-14             1.181338E-06            -2.148718E-07            -2.139239E-07             7.525418E-07
                   0.9000             1.371666E-06             1.902468E-07             1.367522E-06             4.119031E-09             1.519159E-08             7.111044E-08             1.267697E-06             2.398637E-11             8.557271E-14             1.181419E-06            -2.149124E-07            -2.139645E-07             7.525418E-07
                   1.0800             1.371833E-06             1.903382E-07             1.366871E-06             4.937201E-09             1.517826E-08             7.104810E-08             1.267697E-06             2.402962E-11             1.025216E-13             1.181494E-06            -2.149503E-07            -2.140024E-07             7.525418E-07
                   1.2600             1.371988E-06             1.904233E-07             1.366210E-06             5.753927E-09             1.516588E-08             7.099014E-08             1.267697E-06             2.406870E-11             1.194275E-13             1.181565E-06            -2.149856E-07            -2.140375E-07             7.525418E-07
                   1.4400             1.372132E-06             1.905017E-07             1.365538E-06             6.569422E-09             1.515445E-08             7.093667E-08             1.267697E-06             2.410346E-11             1.362966E-13             1.181630E-06            -2.150180E-07            -2.140700E-07             7.525418E-07
                   1.6200             1.372263E-06             1.905736E-07             1.364855E-06             7.383902E-09             1.514395E-08             7.088761E-08             1.267697E-06             2.413401E-11             1.531360E-13             1.181689E-06            -2.150478E-07            -2.140998E-07             7.525418E-07
                   1.8000             1.372383E-06             1.906393E-07             1.364161E-06             8.197577E-09             1.513439E-08             7.084284E-08             1.267697E-06             2.416043E-11             1.699530E-13             1.181744E-06            -2.150751E-07            -2.141269E-07             7.525418E-07
                   1.9800             1.372491E-06             1.906984E-07             1.363456E-06             9.010652E-09             1.512576E-08             7.080250E-08             1.267697E-06             2.418259E-11             1.867531E-13             1.181793E-06            -2.150996E-07            -2.141515E-07             7.525418E-07
                   2.1600             1.372588E-06             1.907514E-07             1.362740E-06             9.823332E-09             1.511805E-08             7.076639E-08             1.267697E-06             2.420066E-11             2.035436E-13             1.181837E-06            -2.151216E-07            -2.141733E-07             7.525418E-07
                   2.3400             1.372673E-06             1.907979E-07             1.362013E-06             1.063581E-08             1.511126E-08             7.073466E-08             1.267697E-06             2.421452E-11             2.203296E-13             1.181875E-06            -2.151408E-07            -2.141926E-07             7.525418E-07
                   2.5200             1.372747E-06             1.908384E-07             1.361274E-06             1.144828E-08             1.510538E-08             7.070711E-08             1.267697E-06             2.422434E-11             2.371180E-13             1.181909E-06            -2.151576E-07            -2.142093E-07             7.525418E-07
                   2.7000             1.372809E-06             1.908724E-07             1.360524E-06             1.226094E-08             1.510040E-08             7.068386E-08             1.267697E-06             2.422999E-11             2.539133E-13             1.181937E-06            -2.151716E-07            -2.142235E-07             7.525418E-07
                   2.8800             1.372861E-06             1.909005E-07             1.359762E-06             1.307395E-08             1.509631E-08             7.066471E-08             1.267697E-06             2.423168E-11             2.707224E-13             1.181960E-06            -2.151833E-07            -2.142351E-07             7.525418E-07
                   3.0600             1.372901E-06             1.909226E-07             1.358989E-06             1.388751E-08             1.509310E-08             7.064968E-08             1.267697E-06             2.422937E-11             2.875497E-13             1.181978E-06            -2.151925E-07            -2.142442E-07             7.525418E-07
                   3.2400             1.372930E-06             1.909386E-07             1.358204E-06             1.470176E-08             1.509075E-08             7.063875E-08             1.267697E-06             2.422308E-11             3.043991E-13             1.181992E-06            -2.151990E-07            -2.142509E-07             7.525418E-07
                   3.4200             1.372950E-06             1.909491E-07             1.357408E-06             1.551683E-08             1.508921E-08             7.063156E-08             1.267697E-06             2.421314E-11             3.212760E-13             1.182000E-06            -2.152034E-07            -2.142552E-07             7.525418E-07
                   3.6000             1.372960E-06             1.909548E-07             1.356603E-06             1.633275E-08             1.508839E-08             7.062770E-08             1.267697E-06             2.419996E-11             3.381805E-13             1.182005E-06            -2.152058E-07            -2.142576E-07             7.525418E-07
                   3.7800             1.372966E-06             1.909580E-07             1.355792E-06             1.714917E-08             1.508793E-08             7.062552E-08             1.267697E-06             2.418515E-11             3.551030E-13             1.182008E-06            -2.152071E-07            -2.142589E-07             7.525418E-07
                   3.9600             1.372971E-06             1.909610E-07             1.354981E-06             1.796569E-08             1.508750E-08             7.062349E-08             1.267697E-06             2.417018E-11             3.720324E-13             1.182010E-06            -2.152084E-07            -2.142601E-07             7.525418E-07
                   4.1400             1.372976E-06             1.909638E-07             1.354170E-06             1.878225E-08             1.508707E-08             7.062155E-08             1.267697E-06             2.415512E-11             3.889662E-13             1.182013E-06            -2.152095E-07            -2.142614E-07             7.525418E-07
                   4.3200             1.372982E-06             1.909668E-07             1.353359E-06             1.959885E-08             1.508663E-08             7.061951E-08             1.267697E-06             2.414015E-11             4.059066E-13             1.182015E-06            -2.152107E-07            -2.142626E-07             7.525418E-07
                   4.5000             1.372987E-06             1.909698E-07             1.352547E-06             2.041550E-08             1.508620E-08             7.061747E-08             1.267697E-06             2.412517E-11             4.228522E-13             1.182018E-06            -2.152120E-07            -2.142638E-07             7.525418E-07
                   4.6800             1.372993E-06             1.909728E-07             1.351736E-06             2.123219E-08             1.508577E-08             7.061543E-08             1.267697E-06             2.411020E-11             4.398027E-13             1.182020E-06            -2.152132E-07            -2.142650E-07             7.525418E-07
                   4.8600             1.372998E-06             1.909758E-07             1.350925E-06             2.204889E-08             1.508533E-08             7.061338E-08             1.267697E-06             2.409522E-11             4.567578E-13             1.182023E-06            -2.152145E-07            -2.142663E-07             7.525418E-07
                   5.0400             1.373004E-06             1.909788E-07             1.350114E-06             2.286562E-08             1.508490E-08             7.061133E-08             1.267697E-06             2.408024E-11             4.737168E-13             1.182025E-06            -2.152157E-07            -2.142675E-07             7.525418E-07
                   5.2200             1.373009E-06             1.909819E-07             1.349302E-06             2.368235E-08             1.508446E-08             7.060928E-08             1.267697E-06             2.406526E-11             4.906792E-13             1.182028E-06            -2.152170E-07            -2.142687E-07             7.525418E-07
                   5.4000             1.373015E-06             1.909847E-07             1.348491E-06             2.449907E-08             1.508402E-08             7.060732E-08             1.267697E-06             2.405019E-11             5.076425E-13             1.182030E-06            -2.152181E-07            -2.142700E-07             7.525418E-07
                   5.5800             1.373020E-06             1.909877E-07             1.347680E-06             2.531577E-08             1.508359E-08             7.060526E-08             1.267697E-06             2.403521E-11             5.246092E-13             1.182032E-06            -2.152194E-07            -2.142713E-07             7.525418E-07
                   5.7600             1.373026E-06             1.909907E-07             1.346869E-06             2.613244E-08             1.508315E-08             7.060320E-08             1.267697E-06             2.402023E-11             5.415766E-13             1.182035E-06            -2.152206E-07            -2.142725E-07             7.525418E-07
                   5.9400             1.373031E-06             1.909938E-07             1.346058E-06             2.694904E-08             1.508271E-08             7.060114E-08             1.267697E-06             2.400525E-11             5.585438E-13             1.182037E-06            -2.152219E-07            -2.142737E-07             7.525418E-07
                   6.1200             1.373037E-06             1.909968E-07             1.345247E-06             2.776557E-08             1.508227E-08             7.059908E-08             1.267697E-06             2.399028E-11             5.755095E-13             1.182040E-06            -2.152232E-07            -2.142750E-07             7.525418E-07
                   6.3000             1.373042E-06             1.909998E-07             1.344436E-06             2.858199E-08             1.508183E-08             7.059702E-08             1.267697E-06             2.397530E-11             5.924725E-13             1.182042E-06            -2.152244E-07            -2.142762E-07             7.525418E-07
                   6.4800             1.373048E-06             1.910028E-07             1.343625E-06             2.939830E-08             1.508140E-08             7.059496E-08             1.267697E-06             2.396033E-11             6.094315E-13             1.182045E-06            -2.152257E-07            -2.142774E-07             7.525418E-07
                   6.6600             1.373053E-06             1.910059E-07             1.342814E-06             3.021445E-08             1.508096E-08             7.059290E-08             1.267697E-06             2.394537E-11             6.263849E-13             1.182047E-06            -2.152270E-07            -2.142787E-07             7.525418E-07
                   6.8400             1.373059E-06             1.910089E-07             1.342004E-06             3.103043E-08             1.508052E-08             7.059085E-08             1.267697E-06             2.393041E-11             6.433311E-13             1.182050E-06            -2.152282E-07            -2.142799E-07             7.525418E-07
                   7.0200             1.373064E-06             1.910119E-07             1.341194E-06             3.184620E-08             1.508009E-08             7.058880E-08             1.267697E-06             2.391545E-11             6.602685E-13             1.182052E-06            -2.152295E-07            -2.142811E-07             7.525418E-07
                   7.2000             1.373070E-06             1.910149E-07             1.340383E-06             3.266173E-08             1.507965E-08             7.058676E-08             1.267697E-06             2.390050E-11             6.771952E-13             1.182055E-06            -2.152307E-07            -2.142823E-07             7.525418E-07
                   7.3800             1.373075E-06             1.910179E-07             1.339574E-06             3.347700E-08             1.507922E-08             7.058472E-08             1.267697E-06             2.388555E-11             6.941093E-13             1.182057E-06            -2.152320E-07            -2.142835E-07             7.525418E-07
                   7.5600             1.373081E-06             1.910209E-07             1.338764E-06             3.429196E-08             1.507879E-08             7.058269E-08             1.267697E-06             2.387061E-11             7.110089E-13             1.182060E-06            -2.152333E-07            -2.142848E-07             7.525418E-07
                   7.7400             1.373086E-06             1.910236E-07             1.337955E-06             3.510658E-08             1.507836E-08             7.058078E-08             1.267697E-06             2.385557E-11             7.278891E-13             1.182062E-06            -2.152343E-07            -2.142861E-07             7.525418E-07
                   7.9200             1.373091E-06             1.910266E-07             1.337146E-06             3.592083E-08             1.507793E-08             7.057878E-08             1.267697E-06             2.384064E-11             7.447532E-13             1.182065E-06            -2.152355E-07            -2.142873E-07             7.525418E-07
                   8.1000             1.373097E-06             1.910295E-07             1.336337E-06             3.673467E-08             1.507751E-08             7.057678E-08             1.267697E-06             2.382573E-11             7.615961E-13             1.182067E-06            -2.152367E-07            -2.142885E-07             7.525418E-07
                   8.2800             1.373102E-06             1.910324E-07             1.335529E-06             3.754806E-08             1.507709E-08             7.057479E-08             1.267697E-06             2.381083E-11             7.784156E-13             1.182069E-06            -2.152380E-07            -2.142896E-07             7.525418E-07
                   8.4600             1.373107E-06             1.910353E-07             1.334722E-06             3.836095E-08             1.507667E-08             7.057282E-08             1.267697E-06             2.379594E-11             7.952091E-13             1.182072E-06            -2.152392E-07            -2.142908E-07             7.525418E-07
                   8.6400             1.373112E-06             1.910382E-07             1.333915E-06             3.917330E-08             1.507625E-08             7.057087E-08             1.267697E-06             2.378106E-11             8.119742E-13             1.182074E-06            -2.152404E-07            -2.142920E-07             7.525418E-07
                   8.8200             1.373118E-06             1.910411E-07             1.333108E-06             3.998507E-08             1.507584E-08             7.056893E-08             1.267697E-06             2.376620E-11             8.287082E-13             1.182077E-06            -2.152416E-07            -2.142932E-07             7.525418E-07
                   9.0000             1.373123E-06             1.910439E-07             1.332302E-06             4.079622E-08             1.507543E-08             7.056701E-08             1.267697E-06             2.375135E-11             8.454085E-13             1.182079E-06            -2.152428E-07            -2.142943E-07             7.525418E-07
                   9.1800             1.373128E-06             1.910467E-07             1.331497E-06             4.160669E-08             1.507503E-08             7.056512E-08             1.267697E-06             2.373652E-11             8.620724E-13             1.182081E-06            -2.152439E-07            -2.142954E-07             7.525418E-07
                   9.3600             1.373133E-06             1.910494E-07             1.330692E-06             4.241645E-08             1.507463E-08             7.056324E-08             1.267697E-06             2.372171E-11             8.786969E-13             1.182083E-06            -2.152451E-07            -2.142966E-07             7.525418E-07
                   9.5400             1.373138E-06             1.910522E-07             1.329888E-06             4.322544E-08             1.507424E-08             7.056139E-08             1.267697E-06             2.370691E-11             8.952794E-13             1.182086E-06            -2.152462E-07            -2.142977E-07             7.525418E-07
                   9.7200             1.373143E-06             1.910548E-07             1.329085E-06             4.403362E-08             1.507385E-08             7.055957E-08             1.267697E-06             2.369213E-11             9.118168E-13             1.182088E-06            -2.152473E-07            -2.142987E-07             7.525418E-07
                   9.9000             1.373148E-06             1.910575E-07             1.328282E-06             4.484093E-08             1.507347E-08             7.055777E-08             1.267697E-06             2.367738E-11             9.283063E-13             1.182090E-06            -2.152484E-07            -2.142998E-07             7.525418E-07
                  10.0800             1.373152E-06             1.910601E-07             1.327480E-06             4.564733E-08             1.507309E-08             7.055601E-08             1.267697E-06             2.366265E-11             9.447449E-13             1.182092E-06            -2.152495E-07            -2.143009E-07             7.525418E-07
                  10.2600             1.373157E-06             1.910626E-07             1.326680E-06             4.645277E-08             1.507273E-08             7.055427E-08             1.267697E-06             2.364794E-11             9.611296E-13             1.182094E-06            -2.152506E-07            -2.143019E-07             7.525418E-07
                  10.4400             1.373162E-06             1.910651E-07             1.325880E-06             4.725719E-08             1.507236E-08             7.055257E-08             1.267697E-06             2.363325E-11             9.774574E-13             1.182096E-06            -2.152517E-07            -2.143029E-07             7.525418E-07
                  10.6200             1.373166E-06             1.910676E-07             1.325081E-06             4.806055E-08             1.507201E-08             7.055090E-08             1.267697E-06             2.361860E-11             9.937253E-13             1.182098E-06            -2.152527E-07            -2.143039E-07             7.525418E-07
                  10.8000             1.373170E-06             1.910700E-07             1.324283E-06             4.886281E-08             1.507166E-08             7.054927E-08             1.267697E-06             2.360396E-11             1.009930E-12             1.182100E-06            -2.152537E-07            -2.143049E-07             7.525418E-07
                  10.9800             1.373175E-06             1.910723E-07             1.323486E-06             4.966390E-08             1.507133E-08             7.054768E-08             1.267697E-06             2.358936E-11             1.026069E-12             1.182102E-06            -2.152547E-07            -2.143058E-07             7.525418E-07
                  11.1600             1.373179E-06             1.910746E-07             1.322690E-06             5.046377E-08             1.507100E-08             7.054613E-08             1.267697E-06             2.357479E-11             1.042140E-12             1.182104E-06            -2.152556E-07            -2.143068E-07             7.525418E-07
                  11.3400             1.373183E-06             1.910768E-07             1.321896E-06             5.126239E-08             1.507068E-08             7.054463E-08             1.267697E-06             2.356025E-11             1.058138E-12             1.182106E-06            -2.152566E-07            -2.143077E-07             7.525418E-07
                  11.5200             1.373187E-06             1.910790E-07             1.321102E-06             5.205971E-08             1.507037E-08             7.054316E-08             1.267697E-06             2.354573E-11             1.074062E-12             1.182108E-06            -2.152575E-07            -2.143085E-07             7.525418E-07
                  11.7000             1.373191E-06             1.910811E-07             1.320310E-06             5.285566E-08             1.507007E-08             7.054175E-08             1.267697E-06             2.353126E-11             1.089908E-12             1.182110E-06            -2.152583E-07            -2.143094E-07             7.525418E-07
                  11.8800             1.373194E-06             1.910831E-07             1.319519E-06             5.365022E-08             1.506978E-08             7.054038E-08             1.267697E-06             2.351681E-11             1.105674E-12             1.182111E-06            -2.152592E-07            -2.143102E-07             7.525418E-07
                  12.0600             1.373198E-06             1.910850E-07             1.318730E-06             5.444334E-08             1.506950E-08             7.053906E-08             1.267697E-06             2.350241E-11             1.121356E-12             1.182113E-06            -2.152600E-07            -2.143110E-07             7.525418E-07
                  12.2400             1.373201E-06             1.910869E-07             1.317942E-06             5.523496E-08             1.506923E-08             7.053779E-08             1.267697E-06             2.348803E-11             1.136953E-12             1.182114E-06            -2.152608E-07            -2.143117E-07             7.525418E-07
                  12.4200             1.373205E-06             1.910887E-07             1.317155E-06             5.602506E-08             1.506897E-08             7.053657E-08             1.267697E-06             2.347370E-11             1.152462E-12             1.182116E-06            -2.152615E-07            -2.143124E-07             7.525418E-07
                  12.6000             1.373208E-06             1.910904E-07             1.316369E-06             5.681358E-08             1.506872E-08             7.053541E-08             1.267697E-06             2.345940E-11             1.167880E-12             1.182117E-06            -2.152623E-07            -2.143131E-07             7.525418E-07
                  12.7800             1.373211E-06             1.910920E-07             1.315585E-06             5.760050E-08             1.506849E-08             7.053431E-08             1.267697E-06             2.344515E-11             1.183205E-12             1.182119E-06            -2.152630E-07            -2.143138E-07             7.525418E-07
                  12.9600             1.373213E-06             1.910936E-07             1.314803E-06             5.838578E-08             1.506827E-08             7.053326E-08             1.267697E-06             2.343093E-11             1.198435E-12             1.182120E-06            -2.152636E-07            -2.143144E-07             7.525418E-07
                  13.1400             1.373216E-06             1.910951E-07             1.314022E-06             5.916937E-08             1.506806E-08             7.053227E-08             1.267697E-06             2.341676E-11             1.213568E-12             1.182121E-06            -2.152642E-07            -2.143150E-07             7.525418E-07
                  13.3200             1.373219E-06             1.910964E-07             1.313243E-06             5.995126E-08             1.506786E-08             7.053133E-08             1.267697E-06             2.340262E-11             1.228601E-12             1.182122E-06            -2.152648E-07            -2.143155E-07             7.525418E-07
                  13.5000             1.373221E-06             1.910977E-07             1.312465E-06             6.073140E-08             1.506768E-08             7.053046E-08             1.267697E-06             2.338853E-11             1.243533E-12             1.182123E-06            -2.152653E-07            -2.143160E-07             7.525418E-07
                  13.6800             1.373223E-06             1.910989E-07             1.311689E-06             6.150978E-08             1.506751E-08             7.052966E-08             1.267697E-06             2.337448E-11             1.258362E-12             1.182124E-06            -2.152659E-07            -2.143165E-07             7.525418E-07
                  13.8600             1.373225E-06             1.911000E-07             1.310914E-06             6.228637E-08             1.506735E-08             7.052891E-08             1.267697E-06             2.336048E-11             1.273087E-12             1.182125E-06            -2.152663E-07            -2.143170E-07             7.525418E-07
                  14.0400             1.373227E-06             1.911010E-07             1.310141E-06             6.306115E-08             1.506721E-08             7.052823E-08             1.267697E-06             2.334652E-11             1.287706E-12             1.182126E-06            -2.152668E-07            -2.143174E-07             7.525418E-07
                  14.2200             1.373229E-06             1.911019E-07             1.309370E-06             6.383410E-08             1.506708E-08             7.052761E-08             1.267697E-06             2.333261E-11             1.302219E-12             1.182127E-06            -2.152671E-07            -2.143177E-07             7.525418E-07
                  14.4000             1.373231E-06             1.911032E-07             1.308601E-06             6.460523E-08             1.506696E-08             7.052688E-08             1.267697E-06             2.331891E-11             1.316631E-12             1.182128E-06            -2.152678E-07            -2.143179E-07             7.525418E-07
                  14.5800             1.373232E-06             1.911039E-07             1.307833E-06             6.537447E-08             1.506685E-08             7.052639E-08             1.267697E-06             2.330508E-11             1.330927E-12             1.182128E-06            -2.152681E-07            -2.143182E-07             7.525418E-07
                  14.7600             1.373233E-06             1.911045E-07             1.307067E-06             6.614184E-08             1.506677E-08             7.052597E-08             1.267697E-06             2.329130E-11             1.345114E-12             1.182129E-06            -2.152684E-07            -2.143184E-07             7.525418E-07
