                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.469010E+02             3.469010E+02             3.493916E+02             3.493916E+02             3.500901E+02             3.474417E+02             3.464606E+02             3.474417E+02             3.464606E+02
                   0.1800             3.535147E+02             3.536186E+02             3.555642E+02             3.556690E+02             3.564923E+02             3.539875E+02             3.539613E+02             3.540313E+02             3.540183E+02
                   0.3600             3.533287E+02             3.534972E+02             3.553747E+02             3.555466E+02             3.563700E+02             3.538720E+02             3.538471E+02             3.539100E+02             3.538970E+02
                   0.5400             3.467490E+02             3.469504E+02             3.492008E+02             3.494103E+02             3.501170E+02             3.474486E+02             3.465238E+02             3.474820E+02             3.465666E+02
                   0.7200             3.463285E+02             3.465708E+02             3.487932E+02             3.490474E+02             3.497492E+02             3.470726E+02             3.461090E+02             3.471073E+02             3.461540E+02
                   0.9000             3.460852E+02             3.463648E+02             3.485522E+02             3.488475E+02             3.495472E+02             3.468656E+02             3.458862E+02             3.469031E+02             3.459353E+02
                   1.0800             3.459269E+02             3.462406E+02             3.483912E+02             3.487246E+02             3.494237E+02             3.467380E+02             3.457531E+02             3.467794E+02             3.458078E+02
                   1.2600             3.458146E+02             3.461603E+02             3.482739E+02             3.486431E+02             3.493422E+02             3.466526E+02             3.456674E+02             3.466987E+02             3.457287E+02
                   1.4400             3.457293E+02             3.461049E+02             3.481825E+02             3.485854E+02             3.492848E+02             3.465912E+02             3.456082E+02             3.466426E+02             3.456769E+02
                   1.6200             3.456606E+02             3.460643E+02             3.481071E+02             3.485419E+02             3.492417E+02             3.465439E+02             3.455643E+02             3.466011E+02             3.456411E+02
                   1.8000             3.456023E+02             3.460327E+02             3.480421E+02             3.485071E+02             3.492074E+02             3.465049E+02             3.455292E+02             3.465684E+02             3.456147E+02
                   1.9800             3.455507E+02             3.460063E+02             3.479838E+02             3.484775E+02             3.491783E+02             3.464709E+02             3.454990E+02             3.465410E+02             3.455935E+02
                   2.1600             3.455033E+02             3.459831E+02             3.479301E+02             3.484513E+02             3.491525E+02             3.464396E+02             3.454714E+02             3.465168E+02             3.455752E+02
                   2.3400             3.454588E+02             3.459615E+02             3.478796E+02             3.484269E+02             3.491284E+02             3.464099E+02             3.454447E+02             3.464943E+02             3.455582E+02
                   2.5200             3.454159E+02             3.459407E+02             3.478312E+02             3.484035E+02             3.491052E+02             3.463807E+02             3.454180E+02             3.464726E+02             3.455414E+02
                   2.7000             3.453740E+02             3.459200E+02             3.477842E+02             3.483806E+02             3.490824E+02             3.463515E+02             3.453906E+02             3.464510E+02             3.455241E+02
                   2.8800             3.453326E+02             3.458989E+02             3.477382E+02             3.483576E+02             3.490595E+02             3.463218E+02             3.453621E+02             3.464293E+02             3.455059E+02
                   3.0600             3.452913E+02             3.458773E+02             3.476928E+02             3.483344E+02             3.490362E+02             3.462915E+02             3.453322E+02             3.464070E+02             3.454864E+02
                   3.2400             3.452498E+02             3.458548E+02             3.476478E+02             3.483107E+02             3.490123E+02             3.462604E+02             3.453008E+02             3.463840E+02             3.454654E+02
                   3.4200             3.452080E+02             3.458315E+02             3.476029E+02             3.482865E+02             3.489877E+02             3.462283E+02             3.452677E+02             3.463602E+02             3.454429E+02
                   3.6000             3.451658E+02             3.458072E+02             3.475582E+02             3.482617E+02             3.489624E+02             3.461953E+02             3.452329E+02             3.463356E+02             3.454187E+02
                   3.7800             3.451233E+02             3.457821E+02             3.475136E+02             3.482363E+02             3.489365E+02             3.461614E+02             3.451967E+02             3.463102E+02             3.453932E+02
                   3.9600             3.450807E+02             3.457564E+02             3.474693E+02             3.482107E+02             3.489103E+02             3.461270E+02             3.451595E+02             3.462844E+02             3.453667E+02
                   4.1400             3.450386E+02             3.457309E+02             3.474257E+02             3.481852E+02             3.488841E+02             3.460926E+02             3.451222E+02             3.462586E+02             3.453402E+02
                   4.3200             3.449971E+02             3.457055E+02             3.473829E+02             3.481599E+02             3.488581E+02             3.460584E+02             3.450852E+02             3.462331E+02             3.453139E+02
                   4.5000             3.449562E+02             3.456804E+02             3.473408E+02             3.481348E+02             3.488323E+02             3.460243E+02             3.450484E+02             3.462077E+02             3.452878E+02
                   4.6800             3.449159E+02             3.456554E+02             3.472993E+02             3.481099E+02             3.488067E+02             3.459903E+02             3.450118E+02             3.461825E+02             3.452619E+02
                   4.8600             3.448761E+02             3.456306E+02             3.472586E+02             3.480851E+02             3.487813E+02             3.459566E+02             3.449754E+02             3.461576E+02             3.452362E+02
                   5.0400             3.448367E+02             3.456060E+02             3.472185E+02             3.480606E+02             3.487560E+02             3.459229E+02             3.449392E+02             3.461328E+02             3.452107E+02
                   5.2200             3.447979E+02             3.455816E+02             3.471790E+02             3.480362E+02             3.487310E+02             3.458895E+02             3.449032E+02             3.461081E+02             3.451853E+02
                   5.4000             3.447595E+02             3.455574E+02             3.471400E+02             3.480120E+02             3.487060E+02             3.458562E+02             3.448674E+02             3.460837E+02             3.451602E+02
                   5.5800             3.447215E+02             3.455333E+02             3.471016E+02             3.479880E+02             3.486812E+02             3.458230E+02             3.448319E+02             3.460594E+02             3.451352E+02
                   5.7600             3.446840E+02             3.455094E+02             3.470638E+02             3.479641E+02             3.486566E+02             3.457900E+02             3.447965E+02             3.460352E+02             3.451104E+02
                   5.9400             3.446468E+02             3.454856E+02             3.470264E+02             3.479404E+02             3.486321E+02             3.457572E+02             3.447614E+02             3.460113E+02             3.450857E+02
                   6.1200             3.446101E+02             3.454620E+02             3.469895E+02             3.479168E+02             3.486078E+02             3.457245E+02             3.447265E+02             3.459874E+02             3.450612E+02
                   6.3000             3.445737E+02             3.454386E+02             3.469531E+02             3.478934E+02             3.485836E+02             3.456920E+02             3.446918E+02             3.459637E+02             3.450369E+02
                   6.4800             3.445376E+02             3.454153E+02             3.469171E+02             3.478701E+02             3.485595E+02             3.456597E+02             3.446573E+02             3.459402E+02             3.450127E+02
                   6.6600             3.445018E+02             3.453921E+02             3.468816E+02             3.478470E+02             3.485356E+02             3.456274E+02             3.446230E+02             3.459168E+02             3.449887E+02
                   6.8400             3.444664E+02             3.453691E+02             3.468464E+02             3.478240E+02             3.485118E+02             3.455954E+02             3.445889E+02             3.458936E+02             3.449648E+02
                   7.0200             3.444313E+02             3.453462E+02             3.468117E+02             3.478011E+02             3.484881E+02             3.455635E+02             3.445550E+02             3.458705E+02             3.449411E+02
                   7.2000             3.443965E+02             3.453235E+02             3.467773E+02             3.477784E+02             3.484646E+02             3.455317E+02             3.445214E+02             3.458475E+02             3.449175E+02
                   7.3800             3.443620E+02             3.453009E+02             3.467433E+02             3.477558E+02             3.484412E+02             3.455001E+02             3.444879E+02             3.458246E+02             3.448940E+02
                   7.5600             3.443278E+02             3.452784E+02             3.467097E+02             3.477333E+02             3.484179E+02             3.454687E+02             3.444546E+02             3.458019E+02             3.448707E+02
                   7.7400             3.442938E+02             3.452560E+02             3.466764E+02             3.477109E+02             3.483947E+02             3.454374E+02             3.444215E+02             3.457793E+02             3.448476E+02
                   7.9200             3.442601E+02             3.452338E+02             3.466434E+02             3.476887E+02             3.483716E+02             3.454062E+02             3.443886E+02             3.457568E+02             3.448245E+02
                   8.1000             3.442266E+02             3.452117E+02             3.466107E+02             3.476665E+02             3.483486E+02             3.453752E+02             3.443559E+02             3.457345E+02             3.448016E+02
                   8.2800             3.441934E+02             3.451897E+02             3.465784E+02             3.476445E+02             3.483257E+02             3.453443E+02             3.443233E+02             3.457122E+02             3.447788E+02
                   8.4600             3.441604E+02             3.451678E+02             3.465463E+02             3.476226E+02             3.483030E+02             3.453135E+02             3.442910E+02             3.456901E+02             3.447562E+02
                   8.6400             3.441277E+02             3.451461E+02             3.465145E+02             3.476008E+02             3.482803E+02             3.452829E+02             3.442588E+02             3.456681E+02             3.447336E+02
                   8.8200             3.440951E+02             3.451244E+02             3.464830E+02             3.475791E+02             3.482577E+02             3.452524E+02             3.442268E+02             3.456462E+02             3.447112E+02
                   9.0000             3.440628E+02             3.451029E+02             3.464518E+02             3.475575E+02             3.482353E+02             3.452221E+02             3.441949E+02             3.456244E+02             3.446889E+02
                   9.1800             3.440307E+02             3.450815E+02             3.464208E+02             3.475360E+02             3.482129E+02             3.451918E+02             3.441633E+02             3.456027E+02             3.446667E+02
                   9.3600             3.439988E+02             3.450602E+02             3.463901E+02             3.475146E+02             3.481906E+02             3.451617E+02             3.441318E+02             3.455811E+02             3.446447E+02
                   9.5400             3.439670E+02             3.450389E+02             3.463596E+02             3.474933E+02             3.481684E+02             3.451318E+02             3.441004E+02             3.455596E+02             3.446227E+02
                   9.7200             3.439355E+02             3.450178E+02             3.463293E+02             3.474721E+02             3.481463E+02             3.451019E+02             3.440693E+02             3.455382E+02             3.446008E+02
                   9.9000             3.439041E+02             3.449968E+02             3.462992E+02             3.474509E+02             3.481243E+02             3.450722E+02             3.440382E+02             3.455169E+02             3.445791E+02
                  10.0800             3.438729E+02             3.449758E+02             3.462694E+02             3.474299E+02             3.481024E+02             3.450425E+02             3.440074E+02             3.454957E+02             3.445575E+02
                  10.2600             3.438419E+02             3.449550E+02             3.462397E+02             3.474089E+02             3.480805E+02             3.450130E+02             3.439766E+02             3.454746E+02             3.445359E+02
                  10.4400             3.438110E+02             3.449342E+02             3.462103E+02             3.473881E+02             3.480587E+02             3.449836E+02             3.439461E+02             3.454536E+02             3.445145E+02
                  10.6200             3.437802E+02             3.449136E+02             3.461810E+02             3.473673E+02             3.480370E+02             3.449543E+02             3.439156E+02             3.454326E+02             3.444931E+02
                  10.8000             3.437497E+02             3.448930E+02             3.461519E+02             3.473465E+02             3.480154E+02             3.449251E+02             3.438853E+02             3.454117E+02             3.444718E+02
                  10.9800             3.437192E+02             3.448725E+02             3.461230E+02             3.473259E+02             3.479938E+02             3.448960E+02             3.438551E+02             3.453909E+02             3.444507E+02
                  11.1600             3.436889E+02             3.448520E+02             3.460942E+02             3.473053E+02             3.479723E+02             3.448670E+02             3.438251E+02             3.453702E+02             3.444296E+02
                  11.3400             3.436587E+02             3.448317E+02             3.460656E+02             3.472847E+02             3.479508E+02             3.448381E+02             3.437951E+02             3.453495E+02             3.444086E+02
                  11.5200             3.436287E+02             3.448113E+02             3.460372E+02             3.472643E+02             3.479294E+02             3.448092E+02             3.437653E+02             3.453290E+02             3.443876E+02
                  11.7000             3.435987E+02             3.447911E+02             3.460089E+02             3.472438E+02             3.479081E+02             3.447805E+02             3.437356E+02             3.453084E+02             3.443667E+02
                  11.8800             3.435689E+02             3.447709E+02             3.459807E+02             3.472235E+02             3.478867E+02             3.447518E+02             3.437060E+02             3.452880E+02             3.443459E+02
                  12.0600             3.435392E+02             3.447508E+02             3.459527E+02             3.472032E+02             3.478655E+02             3.447232E+02             3.436765E+02             3.452676E+02             3.443252E+02
