                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -2.078677E+01            -5.661138E+00
                   0.1800            -3.394677E-04            -2.078665E+01             1.735138E+01
                   0.3600            -6.789309E-04            -2.078623E+01             3.427639E+01
                   0.5400            -1.018385E-03            -2.078554E+01             5.120340E+01
                   0.7200            -1.357826E-03            -2.078457E+01             6.813119E+01
                   0.9000            -1.697248E-03            -2.078333E+01             8.505578E+01
                   1.0800            -2.036648E-03            -2.078181E+01             1.019767E+02
                   1.2600            -2.376021E-03            -2.078001E+01             1.188969E+02
                   1.4400            -2.715363E-03            -2.077794E+01             1.358137E+02
                   1.6200            -3.054668E-03            -2.077559E+01             1.527273E+02
                   1.8000            -3.393932E-03            -2.077297E+01             1.696363E+02
                   1.9800            -3.733152E-03            -2.077006E+01             1.865423E+02
                   2.1600            -4.072322E-03            -2.076689E+01             2.034432E+02
                   2.3400            -4.411437E-03            -2.076343E+01             2.203397E+02
                   2.5200            -4.750494E-03            -2.075970E+01             2.372307E+02
                   2.7000            -5.089488E-03            -2.075570E+01             2.541159E+02
                   2.8800            -5.428414E-03            -2.075142E+01             2.709953E+02
                   3.0600            -5.767269E-03            -2.074686E+01             2.878678E+02
                   3.2400            -6.106046E-03            -2.074203E+01             3.047335E+02
                   3.4200            -6.444742E-03            -2.073692E+01             3.215920E+02
                   3.6000            -6.783353E-03            -2.073154E+01             3.384427E+02
                   3.7800            -7.121873E-03            -2.072588E+01             3.552852E+02
                   3.9600            -7.460299E-03            -2.071995E+01             3.721194E+02
                   4.1400            -7.798626E-03            -2.071374E+01             3.889444E+02
                   4.3200            -8.136849E-03            -2.070726E+01             4.057603E+02
                   4.5000            -8.474964E-03            -2.070050E+01             4.225663E+02
                   4.6800            -8.812966E-03            -2.069347E+01             4.393622E+02
                   4.8600            -9.150851E-03            -2.068617E+01             4.561476E+02
                   5.0400            -9.488615E-03            -2.067859E+01             4.729221E+02
                   5.2200            -9.826253E-03            -2.067073E+01             4.896852E+02
                   5.4000            -1.016376E-02            -2.066261E+01             5.064367E+02
                   5.5800            -1.050113E-02            -2.065421E+01             5.231759E+02
