                   Degree                L_f_vs[W]               L_ef_vh[W]                L_s_vh[W]               L_ef_ro[W]                 L_lub[W]              L_ef_vro[W]             L_ef_rohc[W]            L_lip_seal[W]         L_reexpansion[W]
                   0.0000             5.685681E-01             6.525476E-02             1.039244E+00             1.909379E+01             1.690343E+01             2.764624E-03             1.909103E+01             4.877641E+01             0.000000E+00
                   0.1800             5.022176E-01             6.525397E-02             1.016076E+00             1.909373E+01             1.674555E+01             2.769628E-03             1.909096E+01             4.877641E+01             0.000000E+00
                   0.3600             4.220604E-01             6.525137E-02             1.018180E+00             1.909348E+01             1.681025E+01             2.784631E-03             1.909070E+01             4.877641E+01             0.000000E+00
                   0.5400             3.419535E-01             6.524703E-02             1.020536E+00             1.909307E+01             1.688423E+01             2.809635E-03             1.909026E+01             4.877641E+01             0.000000E+00
                   0.7200             2.619230E-01             6.524095E-02             1.023135E+00             1.909249E+01             1.696718E+01             2.844638E-03             1.908965E+01             4.877641E+01             0.000000E+00
                   0.9000             1.820068E-01             6.523314E-02             1.025969E+00             1.909175E+01             1.705875E+01             2.889640E-03             1.908886E+01             4.877641E+01             0.000000E+00
                   1.0800             1.022206E-01             6.522360E-02             1.029031E+00             1.909084E+01             1.715863E+01             2.944636E-03             1.908790E+01             4.877641E+01             0.000000E+00
                   1.2600             2.255802E-02             6.521232E-02             1.032318E+00             1.908977E+01             1.726651E+01             3.009625E-03             1.908676E+01             4.877641E+01             0.000000E+00
                   1.4400             5.695640E-02             6.519931E-02             1.035824E+00             1.908853E+01             1.738205E+01             3.084603E-03             1.908545E+01             4.877641E+01             0.000000E+00
                   1.6200             1.363145E-01             6.518457E-02             1.039546E+00             1.908713E+01             1.750493E+01             3.169565E-03             1.908396E+01             4.877641E+01             0.000000E+00
                   1.8000             2.155015E-01             6.516810E-02             1.043479E+00             1.908557E+01             1.763482E+01             3.264509E-03             1.908230E+01             4.877641E+01             0.000000E+00
                   1.9800             2.945180E-01             6.514989E-02             1.047620E+00             1.908384E+01             1.777141E+01             3.369427E-03             1.908047E+01             4.877641E+01             0.000000E+00
                   2.1600             3.733465E-01             6.512996E-02             1.051964E+00             1.908194E+01             1.791437E+01             3.484315E-03             1.907846E+01             4.877641E+01             0.000000E+00
                   2.3400             4.519833E-01             6.510830E-02             1.056509E+00             1.907988E+01             1.806340E+01             3.609166E-03             1.907627E+01             4.877641E+01             0.000000E+00
                   2.5200             5.304171E-01             6.508491E-02             1.061250E+00             1.907766E+01             1.821818E+01             3.743975E-03             1.907392E+01             4.877641E+01             0.000000E+00
                   2.7000             6.086396E-01             6.505980E-02             1.066184E+00             1.907527E+01             1.837842E+01             3.888732E-03             1.907139E+01             4.877641E+01             0.000000E+00
