                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   0.0000             4.268000E-16             2.651895E+02             4.268000E-16             3.882567E+01             0.000000E+00             3.040152E+02             0.000000E+00             6.785079E-06             6.478428E-01             4.464571E-02             5.365536E-01             4.997602E-01             1.296506E+01             1.058049E+01             1.061964E+01             2.435292E+01
                   0.1800             9.050110E+01             2.488790E+02             2.136625E+00             3.648585E+01             8.836447E+01             2.853649E+02             0.000000E+00             6.710310E-04             6.545834E-01             4.464517E-02             5.792917E-01             3.252827E-01             1.296502E+01             1.098064E+01             1.061533E+01             2.435292E+01
                   0.3600             9.068798E+01             2.326761E+02             3.047497E+00             3.415287E+01             8.764048E+01             2.668290E+02             0.000000E+00             8.910260E-04             6.608825E-01             4.464339E-02             5.795122E-01             2.990823E-01             1.296486E+01             1.099898E+01             1.062140E+01             2.435292E+01
                   0.5400             9.056393E+01             2.164750E+02             3.303772E+00             3.181135E+01             8.726015E+01             2.482864E+02             0.000000E+00             1.146644E-03             6.667228E-01             4.464042E-02             5.795909E-01             2.736203E-01             1.296458E+01             1.101656E+01             1.062609E+01             2.435292E+01
                   0.7200             9.037732E+01             2.002787E+02             3.362692E+00             2.946237E+01             8.701463E+01             2.297411E+02             0.000000E+00             1.424713E-03             6.721040E-01             4.463626E-02             5.796689E-01             2.484517E-01             1.296418E+01             1.103459E+01             1.062969E+01             2.435292E+01
                   0.9000             9.019366E+01             1.840906E+02             3.369413E+00             2.710708E+01             8.682425E+01             2.111976E+02             0.000000E+00             1.706870E-03             6.770237E-01             4.463092E-02             5.797832E-01             2.234685E-01             1.296368E+01             1.105338E+01             1.063203E+01             2.435292E+01
                   1.0800             9.002919E+01             1.679144E+02             3.363557E+00             2.474671E+01             8.666563E+01             1.926611E+02             0.000000E+00             1.985622E-03             6.814800E-01             4.462439E-02             5.799429E-01             1.986482E-01             1.296306E+01             1.107300E+01             1.063282E+01             2.435292E+01
                   1.2600             8.988721E+01             1.517551E+02             3.355546E+00             2.238264E+01             8.653166E+01             1.741378E+02             0.000000E+00             2.258870E-03             6.854843E-01             4.461667E-02             5.801497E-01             1.739871E-01             1.296234E+01             1.109341E+01             1.063181E+01             2.435292E+01
                   1.4400             8.976769E+01             1.356188E+02             3.348062E+00             2.001642E+01             8.641963E+01             1.556352E+02             0.000000E+00             2.526416E-03             6.890320E-01             4.460777E-02             5.804033E-01             1.494972E-01             1.296150E+01             1.111460E+01             1.062891E+01             2.435292E+01
                   1.6200             8.966975E+01             1.195133E+02             3.341749E+00             1.764989E+01             8.632800E+01             1.371632E+02             0.000000E+00             2.788579E-03             6.921110E-01             4.459769E-02             5.807031E-01             1.251881E-01             1.296054E+01             1.113652E+01             1.062416E+01             2.435292E+01
                   1.8000             8.959227E+01             1.034499E+02             3.336722E+00             1.528535E+01             8.625555E+01             1.187353E+02             0.000000E+00             3.045747E-03             6.947206E-01             4.458642E-02             5.810481E-01             1.010716E-01             1.295948E+01             1.115913E+01             1.061782E+01             2.435292E+01
                   1.9800             8.953414E+01             8.744478E+01             3.332955E+00             1.292587E+01             8.620118E+01             1.003706E+02             0.000000E+00             3.298264E-03             6.968610E-01             4.457396E-02             5.814373E-01             7.715545E-02             1.295831E+01             1.118239E+01             1.061038E+01             2.435292E+01
                   2.1600             8.949421E+01             7.152348E+01             3.330387E+00             1.057586E+01             8.616383E+01             8.209934E+01             0.000000E+00             3.546408E-03             6.985333E-01             4.456032E-02             5.818698E-01             5.345253E-02             1.295702E+01             1.120626E+01             1.060250E+01             2.435292E+01
                   2.3400             8.947139E+01             5.573003E+01             3.328949E+00             8.242498E+00             8.614244E+01             6.397253E+01             0.000000E+00             3.790406E-03             6.997399E-01             4.454550E-02             5.823446E-01             2.997136E-02             1.295562E+01             1.123070E+01             1.059499E+01             2.435292E+01
                   2.5200             8.946456E+01             4.015091E+01             3.328571E+00             5.939217E+00             8.613599E+01             4.609013E+01             0.000000E+00             4.030446E-03             7.004855E-01             4.452950E-02             5.828604E-01             6.721854E-03             1.295411E+01             1.125567E+01             1.058873E+01             2.435292E+01
                   2.7000             8.947264E+01             2.499530E+01             3.329185E+00             3.697591E+00             8.614346E+01             2.869289E+01             0.000000E+00             4.266685E-03             7.007789E-01             4.451232E-02             5.834161E-01             1.628906E-02             1.295249E+01             1.128113E+01             1.058456E+01             2.435292E+01
                   2.8800             8.949457E+01             1.101086E+01             3.330721E+00             1.628818E+00             8.616384E+01             1.263968E+01             0.000000E+00             4.499264E-03             7.006405E-01             4.449396E-02             5.840094E-01             3.906202E-02             1.295076E+01             1.130703E+01             1.058312E+01             2.435292E+01
                   3.0600             8.952926E+01             3.063488E+00             3.333112E+00             4.531364E-01             8.619615E+01             3.516625E+00             0.000000E+00             4.728310E-03             7.001528E-01             4.447443E-02             5.846344E-01             6.163349E-02             1.294892E+01             1.133334E+01             1.058479E+01             2.435292E+01
                   3.2400             8.957566E+01             2.824398E+00             3.336289E+00             4.177262E-01             8.623937E+01             3.242124E+00             0.000000E+00             4.953941E-03             6.995680E-01             4.445371E-02             5.852745E-01             8.414576E-02             1.294697E+01             1.136002E+01             1.058954E+01             2.435292E+01
                   3.4200             8.963271E+01             2.857954E+00             3.340187E+00             4.226432E-01             8.629252E+01             3.280597E+00             0.000000E+00             5.176273E-03             6.989855E-01             4.443182E-02             5.859230E-01             1.066551E-01             1.294490E+01             1.138703E+01             1.059692E+01             2.435292E+01
                   3.6000             8.969935E+01             2.892721E+00             3.344738E+00             4.277383E-01             8.635461E+01             3.320459E+00             0.000000E+00             5.395422E-03             6.984069E-01             4.440876E-02             5.865793E-01             1.291610E-01             1.294273E+01             1.141439E+01             1.060606E+01             2.435292E+01
                   3.7800             8.977453E+01             2.928251E+00             3.349875E+00             4.329452E-01             8.642465E+01             3.361196E+00             0.000000E+00             5.611503E-03             6.978322E-01             4.438452E-02             5.872432E-01             1.516626E-01             1.294045E+01             1.144207E+01             1.061575E+01             2.435292E+01
                   3.9600             8.985719E+01             2.964543E+00             3.355532E+00             4.382636E-01             8.650166E+01             3.402807E+00             0.000000E+00             5.824638E-03             6.972613E-01             4.435912E-02             5.879140E-01             1.741591E-01             1.293805E+01             1.147006E+01             1.062463E+01             2.435292E+01
                   4.1400             8.994628E+01             3.001596E+00             3.361642E+00             4.436934E-01             8.658463E+01             3.445290E+00             0.000000E+00             6.034952E-03             6.966943E-01             4.433254E-02             5.885914E-01             1.966490E-01             1.293555E+01             1.149836E+01             1.063135E+01             2.435292E+01
                   4.3200             9.004072E+01             3.039410E+00             3.368137E+00             4.492344E-01             8.667258E+01             3.488644E+00             0.000000E+00             6.242576E-03             6.961310E-01             4.430480E-02             5.892749E-01             2.191314E-01             1.293293E+01             1.152696E+01             1.063481E+01             2.435292E+01
                   4.5000             9.013945E+01             3.077983E+00             3.374948E+00             4.548865E-01             8.676450E+01             3.532870E+00             0.000000E+00             6.447649E-03             6.955716E-01             4.427589E-02             5.899639E-01             2.416047E-01             1.293021E+01             1.155584E+01             1.063436E+01             2.435292E+01
                   4.6800             9.024140E+01             3.117316E+00             3.382009E+00             4.606496E-01             8.685939E+01             3.577965E+00             0.000000E+00             6.650317E-03             6.950159E-01             4.424582E-02             5.906581E-01             2.640678E-01             1.292738E+01             1.158499E+01             1.062993E+01             2.435292E+01
                   4.8600             9.034549E+01             3.157406E+00             3.389248E+00             4.665235E-01             8.695624E+01             3.623930E+00             0.000000E+00             6.850736E-03             6.944640E-01             4.421458E-02             5.913570E-01             2.865192E-01             1.292444E+01             1.161439E+01             1.062208E+01             2.435292E+01
                   5.0400             9.045063E+01             3.198254E+00             3.396598E+00             4.725080E-01             8.705403E+01             3.670762E+00             0.000000E+00             7.049070E-03             6.939158E-01             4.418219E-02             5.920600E-01             3.089574E-01             1.292139E+01             1.164405E+01             1.061196E+01             2.435292E+01
                   5.2200             9.055572E+01             3.239859E+00             3.403986E+00             4.786030E-01             8.715174E+01             3.718462E+00             0.000000E+00             7.245493E-03             6.933714E-01             4.414864E-02             5.927667E-01             3.313807E-01             1.291823E+01             1.167395E+01             1.060113E+01             2.435292E+01
                   5.4000             9.065968E+01             3.282219E+00             3.411342E+00             4.848084E-01             8.724834E+01             3.767027E+00             0.000000E+00             7.440189E-03             6.928306E-01             4.411393E-02             5.934766E-01             3.537875E-01             1.291497E+01             1.170407E+01             1.059133E+01             2.435292E+01
                   5.5800             9.076139E+01             3.325334E+00             3.418595E+00             4.911240E-01             8.734279E+01             3.816458E+00             0.000000E+00             7.633354E-03             6.922936E-01             4.407806E-02             5.941891E-01             3.761757E-01             1.291160E+01             1.173440E+01             1.058416E+01             2.435292E+01
                   5.7600             9.085973E+01             3.369204E+00             3.425670E+00             4.975496E-01             8.743406E+01             3.866753E+00             0.000000E+00             7.825191E-03             6.917602E-01             4.404105E-02             5.949039E-01             3.985440E-01             1.290811E+01             1.176493E+01             1.058083E+01             2.435292E+01
                   5.9400             9.095360E+01             3.413827E+00             3.432496E+00             5.040851E-01             8.752110E+01             3.917912E+00             0.000000E+00             8.015918E-03             6.912305E-01             4.400289E-02             5.956203E-01             4.208899E-01             1.290453E+01             1.179565E+01             1.058192E+01             2.435292E+01
                   6.1200             9.104186E+01             3.459202E+00             3.438998E+00             5.107304E-01             8.760286E+01             3.969933E+00             0.000000E+00             8.205761E-03             6.907045E-01             4.396358E-02             5.963378E-01             4.432116E-01             1.290083E+01             1.182655E+01             1.058731E+01             2.435292E+01
                   6.3000             9.112338E+01             3.505330E+00             3.445101E+00             5.174851E-01             8.767828E+01             4.022815E+00             0.000000E+00             8.394959E-03             6.901820E-01             4.392313E-02             5.970560E-01             4.655070E-01             1.289703E+01             1.185760E+01             1.059615E+01             2.435292E+01
                   6.4800             9.119703E+01             3.552208E+00             3.450731E+00             5.243493E-01             8.774630E+01             4.076557E+00             0.000000E+00             8.583762E-03             6.896632E-01             4.388153E-02             5.977743E-01             4.877736E-01             1.289312E+01             1.188880E+01             1.060703E+01             2.435292E+01
                   6.6600             9.126168E+01             3.599836E+00             3.455813E+00             5.313228E-01             8.780587E+01             4.131158E+00             0.000000E+00             8.772429E-03             6.891479E-01             4.383880E-02             5.984922E-01             5.100094E-01             1.288911E+01             1.192014E+01             1.061822E+01             2.435292E+01
                   6.8400             9.131619E+01             3.648213E+00             3.460271E+00             5.384053E-01             8.785592E+01             4.186618E+00             0.000000E+00             8.961234E-03             6.886363E-01             4.379493E-02             5.992091E-01             5.322118E-01             1.288499E+01             1.195160E+01             1.062795E+01             2.435292E+01
                   7.0200             9.135941E+01             3.697338E+00             3.464030E+00             5.455967E-01             8.789538E+01             4.242935E+00             0.000000E+00             9.150460E-03             6.881282E-01             4.374993E-02             5.999245E-01             5.543784E-01             1.288076E+01             1.198316E+01             1.063472E+01             2.435292E+01
                   7.2000             9.139023E+01             3.747211E+00             3.467015E+00             5.528969E-01             8.792321E+01             4.300108E+00             0.000000E+00             9.340402E-03             6.876236E-01             4.370379E-02             6.006379E-01             5.765065E-01             1.287643E+01             1.201482E+01             1.063751E+01             2.435292E+01
                   7.3800             9.140750E+01             3.797830E+00             3.469152E+00             5.603056E-01             8.793835E+01             4.358135E+00             0.000000E+00             9.531367E-03             6.871225E-01             4.365653E-02             6.013488E-01             5.985936E-01             1.287200E+01             1.204656E+01             1.063595E+01             2.435292E+01
                   7.5600             9.141011E+01             3.849194E+00             3.470365E+00             5.678227E-01             8.793975E+01             4.417017E+00             0.000000E+00             9.723672E-03             6.866250E-01             4.360815E-02             6.020566E-01             6.206370E-01             1.286746E+01             1.207836E+01             1.063034E+01             2.435292E+01
