                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -1.374846E+01            -2.476498E+00
                   0.1800            -3.394677E-04            -1.374838E+01             7.590462E+00
                   0.3600            -6.789309E-04            -1.374811E+01             1.499441E+01
                   0.5400            -1.018385E-03            -1.374765E+01             2.239923E+01
                   0.7200            -1.357826E-03            -1.374701E+01             2.980439E+01
                   0.9000            -1.697248E-03            -1.374619E+01             3.720815E+01
                   1.0800            -2.036648E-03            -1.374518E+01             4.461030E+01
                   1.2600            -2.376021E-03            -1.374399E+01             5.201214E+01
                   1.4400            -2.715363E-03            -1.374262E+01             5.941250E+01
                   1.6200            -3.054668E-03            -1.374107E+01             6.681144E+01
                   1.8000            -3.393932E-03            -1.373933E+01             7.420840E+01
                   1.9800            -3.733152E-03            -1.373741E+01             8.160400E+01
                   2.1600            -4.072322E-03            -1.373531E+01             8.899742E+01
                   2.3400            -4.411437E-03            -1.373303E+01             9.638888E+01
                   2.5200            -4.750494E-03            -1.373056E+01             1.037780E+02
                   2.7000            -5.089488E-03            -1.372791E+01             1.111645E+02
                   2.8800            -5.428414E-03            -1.372508E+01             1.185485E+02
                   3.0600            -5.767269E-03            -1.372207E+01             1.259295E+02
                   3.2400            -6.106046E-03            -1.371887E+01             1.333074E+02
                   3.4200            -6.444742E-03            -1.371549E+01             1.406823E+02
                   3.6000            -6.783353E-03            -1.371193E+01             1.480537E+02
                   3.7800            -7.121873E-03            -1.370819E+01             1.554216E+02
                   3.9600            -7.460299E-03            -1.370427E+01             1.627858E+02
                   4.1400            -7.798626E-03            -1.370016E+01             1.701460E+02
                   4.3200            -8.136849E-03            -1.369587E+01             1.775022E+02
                   4.5000            -8.474964E-03            -1.369140E+01             1.848541E+02
                   4.6800            -8.812966E-03            -1.368675E+01             1.922016E+02
                   4.8600            -9.150851E-03            -1.368192E+01             1.995444E+02
                   5.0400            -9.488615E-03            -1.367691E+01             2.068825E+02
                   5.2200            -9.826253E-03            -1.367172E+01             2.142157E+02
                   5.4000            -1.016376E-02            -1.366634E+01             2.215437E+02
                   5.5800            -1.050113E-02            -1.366078E+01             2.288664E+02
                   5.7600            -1.083836E-02            -1.365505E+01             2.361836E+02
                   5.9400            -1.117545E-02            -1.364913E+01             2.434952E+02
                   6.1200            -1.151239E-02            -1.364303E+01             2.508009E+02
                   6.3000            -1.184918E-02            -1.363675E+01             2.581007E+02
                   6.4800            -1.218581E-02            -1.363029E+01             2.653943E+02
                   6.6600            -1.252228E-02            -1.362366E+01             2.726815E+02
                   6.8400            -1.285858E-02            -1.361684E+01             2.799622E+02
                   7.0200            -1.319472E-02            -1.360984E+01             2.872363E+02
                   7.2000            -1.353067E-02            -1.360266E+01             2.945034E+02
                   7.3800            -1.386645E-02            -1.359531E+01             3.017636E+02
                   7.5600            -1.420205E-02            -1.358777E+01             3.090166E+02
                   7.7400            -1.453745E-02            -1.358005E+01             3.162622E+02
                   7.9200            -1.487266E-02            -1.357216E+01             3.235002E+02
                   8.1000            -1.520768E-02            -1.356409E+01             3.307306E+02
                   8.2800            -1.554249E-02            -1.355584E+01             3.379531E+02
                   8.4600            -1.587710E-02            -1.354741E+01             3.451675E+02
                   8.6400            -1.621150E-02            -1.353880E+01             3.523737E+02
                   8.8200            -1.654568E-02            -1.353002E+01             3.595716E+02
                   9.0000            -1.687965E-02            -1.352105E+01             3.667609E+02
                   9.1800            -1.721339E-02            -1.351191E+01             3.739415E+02
                   9.3600            -1.754690E-02            -1.350260E+01             3.811132E+02
                   9.5400            -1.788018E-02            -1.349310E+01             3.882759E+02
                   9.7200            -1.821323E-02            -1.348343E+01             3.954294E+02
                   9.9000            -1.854603E-02            -1.347358E+01             4.025734E+02
                  10.0800            -1.887859E-02            -1.346356E+01             4.097080E+02
                  10.2600            -1.921089E-02            -1.345336E+01             4.168329E+02
                  10.4400            -1.954295E-02            -1.344298E+01             4.239479E+02
                  10.6200            -1.987474E-02            -1.343243E+01             4.310528E+02
                  10.8000            -2.020628E-02            -1.342171E+01             4.381476E+02
                  10.9800            -2.053754E-02            -1.341080E+01             4.452320E+02
                  11.1600            -2.086854E-02            -1.339973E+01             4.523060E+02
                  11.3400            -2.119926E-02            -1.338848E+01             4.593692E+02
                  11.5200            -2.152970E-02            -1.337705E+01             4.664216E+02
                  11.7000            -2.185985E-02            -1.336545E+01             4.734631E+02
                  11.8800            -2.218972E-02            -1.335368E+01             4.804933E+02
                  12.0600            -2.251929E-02            -1.334173E+01             4.875123E+02
                  12.2400            -2.284857E-02            -1.332961E+01             4.945198E+02
                  12.4200            -2.317754E-02            -1.331732E+01             5.015157E+02
                  12.6000            -2.350621E-02            -1.330486E+01             5.084998E+02
                  12.7800            -2.383457E-02            -1.329222E+01             5.154720E+02
                  12.9600            -2.416262E-02            -1.327941E+01             5.224321E+02
                  13.1400            -2.449034E-02            -1.326643E+01             5.293799E+02
                  13.3200            -2.481775E-02            -1.325328E+01             5.363153E+02
                  13.5000            -2.514482E-02            -1.323995E+01             5.432382E+02
                  13.6800            -2.547157E-02            -1.322646E+01             5.501484E+02
                  13.8600            -2.579798E-02            -1.321279E+01             5.570458E+02
                  14.0400            -2.612405E-02            -1.319896E+01             5.639301E+02
                  14.2200            -2.644978E-02            -1.318495E+01             5.708013E+02
                  14.4000            -2.677516E-02            -1.317078E+01             5.776591E+02
                  14.5800            -2.710019E-02            -1.315644E+01             5.845035E+02
                  14.7600            -2.742486E-02            -1.314192E+01             5.913343E+02
                  14.9400            -2.774917E-02            -1.312724E+01             5.981514E+02
                  15.1200            -2.807312E-02            -1.311239E+01             6.049545E+02
                  15.3000            -2.839669E-02            -1.309738E+01             6.117436E+02
                  15.4800            -2.871990E-02            -1.308219E+01             6.185185E+02
                  15.6600            -2.904273E-02            -1.306684E+01             6.252791E+02
                  15.8400            -2.936517E-02            -1.305132E+01             6.320252E+02
                  16.0200            -2.968723E-02            -1.303564E+01             6.387567E+02
                  16.2000            -3.000891E-02            -1.301979E+01             6.454734E+02
                  16.3800            -3.033019E-02            -1.300377E+01             6.521751E+02
                  16.5600            -3.065107E-02            -1.298759E+01             6.588619E+02
                  16.7400            -3.097155E-02            -1.297124E+01             6.655334E+02
                  16.9200            -3.129162E-02            -1.295473E+01             6.721896E+02
                  17.1000            -3.161129E-02            -1.293806E+01             6.788304E+02
                  17.2800            -3.193054E-02            -1.292122E+01             6.854555E+02
                  17.4600            -3.224937E-02            -1.290422E+01             6.920649E+02
