                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             3.284777E-05             1.010002E+02             3.038772E+02             3.429973E+05             1.158214E+00             4.302007E+05             3.900561E+03             1.872362E-05             1.006516E+03             2.667172E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   0.1800             3.284772E-05             1.010002E+02             3.038760E+02             3.429974E+05             1.152213E+00             4.302006E+05             3.902053E+03             1.872348E-05             1.006508E+03             2.667147E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   0.3600             3.284766E-05             1.010002E+02             3.038761E+02             3.429975E+05             1.152215E+00             4.302008E+05             3.902052E+03             1.872349E-05             1.006508E+03             2.667148E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   0.5400             3.284759E-05             1.010002E+02             3.038763E+02             3.429976E+05             1.152217E+00             4.302009E+05             3.902052E+03             1.872350E-05             1.006508E+03             2.667149E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   0.7200             3.284752E-05             1.010002E+02             3.038765E+02             3.429978E+05             1.152220E+00             4.302011E+05             3.902052E+03             1.872350E-05             1.006508E+03             2.667150E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   0.9000             3.284744E-05             1.010002E+02             3.038766E+02             3.429979E+05             1.152223E+00             4.302013E+05             3.902052E+03             1.872351E-05             1.006508E+03             2.667152E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   1.0800             3.284736E-05             1.010002E+02             3.038769E+02             3.429980E+05             1.152225E+00             4.302015E+05             3.902051E+03             1.872352E-05             1.006508E+03             2.667153E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   1.2600             3.284727E-05             1.010002E+02             3.038771E+02             3.429982E+05             1.152229E+00             4.302017E+05             3.902051E+03             1.872353E-05             1.006508E+03             2.667155E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   1.4400             3.284717E-05             1.010002E+02             3.038773E+02             3.429984E+05             1.152232E+00             4.302020E+05             3.902051E+03             1.872355E-05             1.006508E+03             2.667157E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   1.6200             3.284707E-05             1.010002E+02             3.038776E+02             3.429986E+05             1.152236E+00             4.302022E+05             3.902051E+03             1.872356E-05             1.006508E+03             2.667159E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   1.8000             3.284696E-05             1.010002E+02             3.038778E+02             3.429988E+05             1.152239E+00             4.302025E+05             3.902050E+03             1.872357E-05             1.006508E+03             2.667161E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   1.9800             3.284685E-05             1.010002E+02             3.038781E+02             3.429990E+05             1.152243E+00             4.302028E+05             3.902050E+03             1.872358E-05             1.006508E+03             2.667163E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   2.1600             3.284672E-05             1.010002E+02             3.038784E+02             3.429992E+05             1.152248E+00             4.302031E+05             3.902050E+03             1.872360E-05             1.006508E+03             2.667165E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   2.3400             3.284659E-05             1.010002E+02             3.038788E+02             3.429994E+05             1.152252E+00             4.302034E+05             3.902049E+03             1.872361E-05             1.006508E+03             2.667167E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   2.5200             3.284646E-05             1.010002E+02             3.038791E+02             3.429997E+05             1.152257E+00             4.302038E+05             3.902049E+03             1.872363E-05             1.006508E+03             2.667170E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   2.7000             3.284631E-05             1.010002E+02             3.038795E+02             3.429999E+05             1.152262E+00             4.302041E+05             3.902048E+03             1.872365E-05             1.006508E+03             2.667173E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   2.8800             3.284616E-05             1.010002E+02             3.038798E+02             3.430002E+05             1.152268E+00             4.302045E+05             3.902048E+03             1.872367E-05             1.006508E+03             2.667175E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   3.0600             3.284600E-05             1.010002E+02             3.038802E+02             3.430005E+05             1.152273E+00             4.302049E+05             3.902048E+03             1.872369E-05             1.006508E+03             2.667178E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   3.2400             3.284583E-05             1.010002E+02             3.038807E+02             3.430008E+05             1.152279E+00             4.302053E+05             3.902047E+03             1.872371E-05             1.006508E+03             2.667181E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   3.4200             3.284565E-05             1.010002E+02             3.038811E+02             3.430011E+05             1.152285E+00             4.302058E+05             3.902047E+03             1.872373E-05             1.006508E+03             2.667185E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   3.6000             3.284547E-05             1.010002E+02             3.038816E+02             3.430014E+05             1.152292E+00             4.302062E+05             3.902046E+03             1.872375E-05             1.006508E+03             2.667188E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   3.7800             3.284528E-05             1.010002E+02             3.038820E+02             3.430018E+05             1.152299E+00             4.302067E+05             3.902045E+03             1.872377E-05             1.006508E+03             2.667192E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   3.9600             3.284507E-05             1.010002E+02             3.038825E+02             3.430021E+05             1.152306E+00             4.302072E+05             3.902045E+03             1.872380E-05             1.006508E+03             2.667196E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   4.1400             3.284486E-05             1.010002E+02             3.038831E+02             3.430025E+05             1.152313E+00             4.302077E+05             3.902044E+03             1.872382E-05             1.006508E+03             2.667199E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   4.3200             3.284464E-05             1.010002E+02             3.038836E+02             3.430029E+05             1.152321E+00             4.302083E+05             3.902044E+03             1.872385E-05             1.006508E+03             2.667203E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   4.5000             3.284441E-05             1.010002E+02             3.038842E+02             3.430033E+05             1.152329E+00             4.302088E+05             3.902043E+03             1.872388E-05             1.006508E+03             2.667208E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   4.6800             3.284417E-05             1.010002E+02             3.038848E+02             3.430037E+05             1.152337E+00             4.302094E+05             3.902042E+03             1.872390E-05             1.006508E+03             2.667212E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   4.8600             3.284392E-05             1.010002E+02             3.038854E+02             3.430042E+05             1.152346E+00             4.302101E+05             3.902042E+03             1.872393E-05             1.006508E+03             2.667217E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   5.0400             3.284366E-05             1.010002E+02             3.038860E+02             3.430046E+05             1.152355E+00             4.302107E+05             3.902041E+03             1.872397E-05             1.006508E+03             2.667222E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   5.2200             3.284340E-05             1.010002E+02             3.038867E+02             3.430051E+05             1.152365E+00             4.302114E+05             3.902040E+03             1.872400E-05             1.006508E+03             2.667227E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   5.4000             3.284312E-05             1.010002E+02             3.038874E+02             3.430056E+05             1.152374E+00             4.302121E+05             3.902039E+03             1.872403E-05             1.006508E+03             2.667232E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   5.5800             3.284283E-05             1.010002E+02             3.038881E+02             3.430061E+05             1.152384E+00             4.302128E+05             3.902038E+03             1.872407E-05             1.006508E+03             2.667237E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   5.7600             3.284253E-05             1.010002E+02             3.038889E+02             3.430067E+05             1.152395E+00             4.302135E+05             3.902038E+03             1.872410E-05             1.006508E+03             2.667243E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   5.9400             3.284222E-05             1.010002E+02             3.038896E+02             3.430072E+05             1.152406E+00             4.302143E+05             3.902037E+03             1.872414E-05             1.006508E+03             2.667248E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   6.1200             3.284190E-05             1.010002E+02             3.038904E+02             3.430078E+05             1.152417E+00             4.302151E+05             3.902036E+03             1.872418E-05             1.006509E+03             2.667254E-02             3.784756E-05             0.000000E+00             0.000000E+00
