                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   0.0000             3.411493E+05             3.416548E+05             3.416538E+05             3.408410E+05             3.418921E+05             3.421008E+05             3.418863E+05             1.662915E+05             1.652459E+05             4.910065E+05
                   0.1800             3.411493E+05             3.416548E+05             3.416538E+05             3.408410E+05             3.418921E+05             3.421008E+05             3.418863E+05             1.663879E+05             1.653423E+05             4.912387E+05
                   0.3600             3.411493E+05             3.416548E+05             3.416538E+05             3.408410E+05             3.418921E+05             3.421008E+05             3.418863E+05             1.664869E+05             1.654413E+05             4.914526E+05
                   0.5400             3.411493E+05             3.416548E+05             3.416538E+05             3.408410E+05             3.418921E+05             3.421008E+05             3.418863E+05             1.665791E+05             1.655335E+05             4.916522E+05
                   0.7200             3.411493E+05             3.416548E+05             3.416538E+05             3.408410E+05             3.418921E+05             3.421008E+05             3.418863E+05             1.666647E+05             1.656190E+05             4.918373E+05
                   0.9000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418921E+05             3.421007E+05             3.418863E+05             1.667436E+05             1.656980E+05             4.920083E+05
                   1.0800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.668159E+05             1.657703E+05             4.921652E+05
                   1.2600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.668816E+05             1.658360E+05             4.923081E+05
                   1.4400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.669407E+05             1.658951E+05             4.924371E+05
                   1.6200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.669933E+05             1.659477E+05             4.925524E+05
                   1.8000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670394E+05             1.659938E+05             4.926539E+05
                   1.9800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670792E+05             1.660336E+05             4.927419E+05
                   2.1600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671127E+05             1.660671E+05             4.928165E+05
                   2.3400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671402E+05             1.660946E+05             4.928776E+05
                   2.5200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671618E+05             1.661161E+05             4.929254E+05
                   2.7000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671775E+05             1.661319E+05             4.929602E+05
                   2.8800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671876E+05             1.661420E+05             4.929820E+05
                   3.0600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671921E+05             1.661465E+05             4.929915E+05
                   3.2400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671918E+05             1.661462E+05             4.929899E+05
                   3.4200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671890E+05             1.661434E+05             4.929831E+05
                   3.6000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671861E+05             1.661405E+05             4.929760E+05
                   3.7800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671832E+05             1.661376E+05             4.929689E+05
                   3.9600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671803E+05             1.661347E+05             4.929617E+05
                   4.1400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671773E+05             1.661317E+05             4.929545E+05
                   4.3200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671742E+05             1.661286E+05             4.929474E+05
                   4.5000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671710E+05             1.661253E+05             4.929403E+05
                   4.6800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671675E+05             1.661219E+05             4.929331E+05
                   4.8600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671638E+05             1.661182E+05             4.929261E+05
                   5.0400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671599E+05             1.661143E+05             4.929190E+05
                   5.2200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671560E+05             1.661104E+05             4.929119E+05
                   5.4000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671522E+05             1.661066E+05             4.929048E+05
                   5.5800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671486E+05             1.661030E+05             4.928977E+05
                   5.7600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671452E+05             1.660995E+05             4.928905E+05
                   5.9400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671419E+05             1.660963E+05             4.928833E+05
                   6.1200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671388E+05             1.660932E+05             4.928760E+05
                   6.3000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671357E+05             1.660901E+05             4.928688E+05
