                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   0.0000             7.949119E+01             7.516188E-02             7.941603E+01             4.833314E+05             6.507649E-02             1.957487E-04             9.889641E-03             1.122179E+01
                   0.1800             7.946655E+01            -1.649864E-01             7.963154E+01             4.833314E+05            -1.994583E-01            -5.999659E-04             3.507196E-02             1.117905E+01
                   0.3600             7.930692E+01            -3.102638E-01             7.961719E+01             4.833313E+05            -3.940089E-01            -1.185166E-03             8.493026E-02             1.118099E+01
                   0.5400             7.914946E+01            -4.556477E-01             7.960510E+01             4.833313E+05            -5.885689E-01            -1.770387E-03             1.346916E-01             1.118424E+01
                   0.7200             7.899447E+01            -6.011599E-01             7.959563E+01             4.833313E+05            -7.831181E-01            -2.355566E-03             1.843138E-01             1.118871E+01
                   0.9000             7.884207E+01            -7.467599E-01             7.958883E+01             4.833313E+05            -9.776039E-01            -2.940540E-03             2.337845E-01             1.119430E+01
                   1.0800             7.869209E+01            -8.924370E-01             7.958453E+01             4.833313E+05            -1.172014E+00            -3.525270E-03             2.831026E-01             1.120081E+01
                   1.2600             7.854420E+01            -1.038216E+00             7.958242E+01             4.833313E+05            -1.366377E+00            -4.109835E-03             3.322709E-01             1.120792E+01
                   1.4400             7.839802E+01            -1.184054E+00             7.958208E+01             4.833313E+05            -1.560654E+00            -4.694120E-03             3.812940E-01             1.121526E+01
                   1.6200             7.825307E+01            -1.329941E+00             7.958301E+01             4.833313E+05            -1.754841E+00            -5.278106E-03             4.301773E-01             1.122235E+01
                   1.8000             7.810883E+01            -1.475851E+00             7.958468E+01             4.833313E+05            -1.948916E+00            -5.861725E-03             4.789267E-01             1.122872E+01
                   1.9800             7.796477E+01            -1.621786E+00             7.958656E+01             4.833313E+05            -2.142889E+00            -6.445004E-03             5.275487E-01             1.123386E+01
                   2.1600             7.782044E+01            -1.767711E+00             7.958816E+01             4.833313E+05            -2.336733E+00            -7.027854E-03             5.760500E-01             1.123733E+01
                   2.3400             7.772953E+01            -1.913617E+00             7.964315E+01             4.833313E+05            -2.530445E+00            -7.610268E-03             6.244377E-01             1.123878E+01
                   2.5200             7.765692E+01            -2.059482E+00             7.971640E+01             4.833313E+05            -2.724009E+00            -8.192194E-03             6.727196E-01             1.123800E+01
                   2.7000             7.758300E+01            -2.205284E+00             7.978829E+01             4.833313E+05            -2.917414E+00            -8.773591E-03             7.209034E-01             1.123494E+01
                   2.8800             7.750789E+01            -2.351009E+00             7.985889E+01             4.833312E+05            -3.110652E+00            -9.354436E-03             7.689976E-01             1.122974E+01
                   3.0600             7.743184E+01            -2.496630E+00             7.992847E+01             4.833312E+05            -3.303706E+00            -9.934674E-03             8.170108E-01             1.122273E+01
