                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.248150E+02             3.248150E+02             3.269764E+02             3.269764E+02             3.276711E+02             3.252714E+02             3.247372E+02             3.252714E+02             3.247372E+02
                   0.1800             3.252669E+02             3.252859E+02             3.273910E+02             3.274125E+02             3.281170E+02             3.257230E+02             3.252631E+02             3.257320E+02             3.252742E+02
                   0.3600             3.253942E+02             3.254177E+02             3.275016E+02             3.275295E+02             3.282382E+02             3.258545E+02             3.254280E+02             3.258597E+02             3.254339E+02
                   0.5400             3.253960E+02             3.254222E+02             3.274945E+02             3.275267E+02             3.282375E+02             3.258592E+02             3.254492E+02             3.258621E+02             3.254522E+02
                   0.7200             3.253312E+02             3.253596E+02             3.274250E+02             3.274610E+02             3.281726E+02             3.257974E+02             3.253948E+02             3.257986E+02             3.253957E+02
                   0.9000             3.252415E+02             3.252717E+02             3.273324E+02             3.273717E+02             3.280837E+02             3.257104E+02             3.253114E+02             3.257103E+02             3.253105E+02
                   1.0800             3.251465E+02             3.251782E+02             3.272354E+02             3.272775E+02             3.279897E+02             3.256179E+02             3.252210E+02             3.256166E+02             3.252185E+02
                   1.2600             3.250543E+02             3.250871E+02             3.271414E+02             3.271858E+02             3.278981E+02             3.255277E+02             3.251322E+02             3.255252E+02             3.251284E+02
                   1.4400             3.249676E+02             3.250011E+02             3.270530E+02             3.270994E+02             3.278118E+02             3.254426E+02             3.250485E+02             3.254391E+02             3.250433E+02
                   1.6200             3.248874E+02             3.249212E+02             3.269712E+02             3.270192E+02             3.277316E+02             3.253636E+02             3.249707E+02             3.253591E+02             3.249643E+02
                   1.8000             3.248137E+02             3.248476E+02             3.268961E+02             3.269452E+02             3.276578E+02             3.252909E+02             3.248992E+02             3.252854E+02             3.248915E+02
                   1.9800             3.247466E+02             3.247804E+02             3.268275E+02             3.268776E+02             3.275902E+02             3.252244E+02             3.248340E+02             3.252180E+02             3.248251E+02
                   2.1600             3.246858E+02             3.247193E+02             3.267654E+02             3.268161E+02             3.275288E+02             3.251642E+02             3.247749E+02             3.251568E+02             3.247648E+02
                   2.3400             3.246313E+02             3.246642E+02             3.267095E+02             3.267607E+02             3.274735E+02             3.251100E+02             3.247218E+02             3.251016E+02             3.247105E+02
                   2.5200             3.245828E+02             3.246151E+02             3.266597E+02             3.267112E+02             3.274241E+02             3.250617E+02             3.246746E+02             3.250523E+02             3.246621E+02
                   2.7000             3.245401E+02             3.245717E+02             3.266159E+02             3.266675E+02             3.273805E+02             3.250192E+02             3.246331E+02             3.250088E+02             3.246194E+02
                   2.8800             3.245033E+02             3.245340E+02             3.265779E+02             3.266295E+02             3.273425E+02             3.249823E+02             3.245972E+02             3.249710E+02             3.245823E+02
                   3.0600             3.244720E+02             3.245019E+02             3.265455E+02             3.265971E+02             3.273102E+02             3.249511E+02             3.245669E+02             3.249388E+02             3.245508E+02
                   3.2400             3.244463E+02             3.244752E+02             3.265187E+02             3.265702E+02             3.272833E+02             3.249253E+02             3.245419E+02             3.249120E+02             3.245246E+02
                   3.4200             3.244260E+02             3.244539E+02             3.264974E+02             3.265486E+02             3.272618E+02             3.249049E+02             3.245222E+02             3.248906E+02             3.245038E+02
                   3.6000             3.244109E+02             3.244379E+02             3.264813E+02             3.265324E+02             3.272456E+02             3.248897E+02             3.245077E+02             3.248745E+02             3.244881E+02
                   3.7800             3.244010E+02             3.244270E+02             3.264705E+02             3.265213E+02             3.272346E+02             3.248797E+02             3.244982E+02             3.248636E+02             3.244775E+02
                   3.9600             3.243960E+02             3.244210E+02             3.264646E+02             3.265152E+02             3.272285E+02             3.248746E+02             3.244936E+02             3.248575E+02             3.244718E+02
                   4.1400             3.243956E+02             3.244197E+02             3.264634E+02             3.265138E+02             3.272271E+02             3.248742E+02             3.244936E+02             3.248562E+02             3.244706E+02
                   4.3200             3.243990E+02             3.244222E+02             3.264661E+02             3.265162E+02             3.272295E+02             3.248776E+02             3.244973E+02             3.248586E+02             3.244732E+02
                   4.5000             3.244041E+02             3.244263E+02             3.264703E+02             3.265202E+02             3.272335E+02             3.248826E+02             3.245025E+02             3.248627E+02             3.244774E+02
                   4.6800             3.244094E+02             3.244306E+02             3.264749E+02             3.265244E+02             3.272377E+02             3.248877E+02             3.245080E+02             3.248669E+02             3.244818E+02
                   4.8600             3.244147E+02             3.244349E+02             3.264795E+02             3.265286E+02             3.272419E+02             3.248930E+02             3.245135E+02             3.248712E+02             3.244862E+02
                   5.0400             3.244201E+02             3.244393E+02             3.264842E+02             3.265329E+02             3.272462E+02             3.248982E+02             3.245191E+02             3.248755E+02             3.244906E+02
                   5.2200             3.244255E+02             3.244436E+02             3.264889E+02             3.265371E+02             3.272504E+02             3.249034E+02             3.245246E+02             3.248797E+02             3.244951E+02
                   5.4000             3.244310E+02             3.244479E+02             3.264936E+02             3.265413E+02             3.272547E+02             3.249087E+02             3.245302E+02             3.248840E+02             3.244995E+02
                   5.5800             3.244364E+02             3.244522E+02             3.264983E+02             3.265455E+02             3.272589E+02             3.249139E+02             3.245357E+02             3.248882E+02             3.245038E+02
                   5.7600             3.244418E+02             3.244564E+02             3.265030E+02             3.265497E+02             3.272630E+02             3.249190E+02             3.245411E+02             3.248924E+02             3.245082E+02
                   5.9400             3.244471E+02             3.244605E+02             3.265077E+02             3.265537E+02             3.272671E+02             3.249241E+02             3.245465E+02             3.248965E+02             3.245124E+02
                   6.1200             3.244524E+02             3.244646E+02             3.265123E+02             3.265577E+02             3.272711E+02             3.249292E+02             3.245518E+02             3.249006E+02             3.245166E+02
                   6.3000             3.244576E+02             3.244686E+02             3.265169E+02             3.265617E+02             3.272750E+02             3.249341E+02             3.245571E+02             3.249045E+02             3.245207E+02
                   6.4800             3.244627E+02             3.244725E+02             3.265213E+02             3.265655E+02             3.272789E+02             3.249390E+02             3.245622E+02             3.249084E+02             3.245247E+02
                   6.6600             3.244677E+02             3.244762E+02             3.265257E+02             3.265691E+02             3.272825E+02             3.249437E+02             3.245672E+02             3.249121E+02             3.245285E+02
                   6.8400             3.244725E+02             3.244799E+02             3.265299E+02             3.265727E+02             3.272861E+02             3.249483E+02             3.245720E+02             3.249156E+02             3.245322E+02
                   7.0200             3.244772E+02             3.244833E+02             3.265340E+02             3.265761E+02             3.272895E+02             3.249527E+02             3.245766E+02             3.249190E+02             3.245357E+02
                   7.2000             3.244817E+02             3.244866E+02             3.265378E+02             3.265793E+02             3.272927E+02             3.249569E+02             3.245811E+02             3.249223E+02             3.245390E+02
                   7.3800             3.244859E+02             3.244897E+02             3.265415E+02             3.265823E+02             3.272958E+02             3.249610E+02             3.245853E+02             3.249253E+02             3.245421E+02
                   7.5600             3.244900E+02             3.244925E+02             3.265450E+02             3.265851E+02             3.272986E+02             3.249648E+02             3.245893E+02             3.249282E+02             3.245450E+02
                   7.7400             3.244938E+02             3.244952E+02             3.265482E+02             3.265877E+02             3.273012E+02             3.249684E+02             3.245930E+02             3.249308E+02             3.245477E+02
                   7.9200             3.244973E+02             3.244975E+02             3.265512E+02             3.265901E+02             3.273036E+02             3.249717E+02             3.245965E+02             3.249331E+02             3.245501E+02
                   8.1000             3.245005E+02             3.244997E+02             3.265539E+02             3.265922E+02             3.273057E+02             3.249748E+02             3.245997E+02             3.249352E+02             3.245522E+02
                   8.2800             3.245035E+02             3.245015E+02             3.265563E+02             3.265941E+02             3.273076E+02             3.249776E+02             3.246025E+02             3.249371E+02             3.245540E+02
                   8.4600             3.245061E+02             3.245031E+02             3.265584E+02             3.265956E+02             3.273091E+02             3.249800E+02             3.246051E+02             3.249386E+02             3.245555E+02
                   8.6400             3.245083E+02             3.245043E+02             3.265602E+02             3.265969E+02             3.273104E+02             3.249822E+02             3.246072E+02             3.249398E+02             3.245566E+02
                   8.8200             3.245102E+02             3.245053E+02             3.265615E+02             3.265979E+02             3.273113E+02             3.249840E+02             3.246090E+02             3.249407E+02             3.245575E+02
                   9.0000             3.245117E+02             3.245058E+02             3.265626E+02             3.265985E+02             3.273119E+02             3.249854E+02             3.246104E+02             3.249413E+02             3.245579E+02
                   9.1800             3.245128E+02             3.245061E+02             3.265632E+02             3.265988E+02             3.273122E+02             3.249865E+02             3.246114E+02             3.249415E+02             3.245580E+02
                   9.3600             3.245134E+02             3.245059E+02             3.265634E+02             3.265987E+02             3.273121E+02             3.249872E+02             3.246119E+02             3.249414E+02             3.245576E+02
                   9.5400             3.245136E+02             3.245054E+02             3.265632E+02             3.265982E+02             3.273116E+02             3.249874E+02             3.246120E+02             3.249408E+02             3.245569E+02
                   9.7200             3.245134E+02             3.245045E+02             3.265626E+02             3.265974E+02             3.273107E+02             3.249873E+02             3.246117E+02             3.249399E+02             3.245558E+02
                   9.9000             3.245127E+02             3.245031E+02             3.265615E+02             3.265962E+02             3.273094E+02             3.249867E+02             3.246109E+02             3.249386E+02             3.245542E+02
                  10.0800             3.245115E+02             3.245014E+02             3.265599E+02             3.265945E+02             3.273078E+02             3.249856E+02             3.246096E+02             3.249369E+02             3.245521E+02
