                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             7.758567E-02             5.935295E-04             1.785324E-06             6.331196E-05             6.586267E-04             5.353812E-01             7.714222E-02             5.360399E-01
                   0.1800             7.936938E-02            -1.819158E-03            -5.471982E-06             2.757393E-04            -1.548890E-03             5.364640E-01             7.693531E-02             5.349151E-01
                   0.3600             7.953500E-02            -3.593554E-03            -1.080929E-05             6.093339E-04            -2.995029E-03             5.363263E-01             7.690491E-02             5.333313E-01
                   0.5400             7.971371E-02            -5.368036E-03            -1.614680E-05             9.422515E-04            -4.441931E-03             5.362086E-01             7.688005E-02             5.317667E-01
                   0.7200             7.990631E-02            -7.142420E-03            -2.148391E-05             1.274393E-03            -5.889510E-03             5.361129E-01             7.686178E-02             5.302234E-01
                   0.9000             8.011303E-02            -8.916226E-03            -2.681916E-05             1.605722E-03            -7.337323E-03             5.360401E-01             7.685096E-02             5.287028E-01
                   1.0800             8.033381E-02            -1.068934E-02            -3.215219E-05             1.936231E-03            -8.785265E-03             5.359912E-01             7.684845E-02             5.272059E-01
                   1.2600             8.056848E-02            -1.246202E-02            -3.748371E-05             2.265927E-03            -1.023358E-02             5.359663E-01             7.685473E-02             5.257327E-01
                   1.4400             8.081671E-02            -1.423393E-02            -4.281268E-05             2.594826E-03            -1.168191E-02             5.359653E-01             7.686989E-02             5.242834E-01
                   1.6200             8.107815E-02            -1.600501E-02            -4.813891E-05             2.922949E-03            -1.313019E-02             5.359874E-01             7.689357E-02             5.228572E-01
                   1.8000             8.135243E-02            -1.777507E-02            -5.346180E-05             3.250319E-03            -1.457821E-02             5.361773E-01             7.692492E-02             5.215990E-01
                   1.9800             8.163916E-02            -1.954420E-02            -5.878159E-05             3.576963E-03            -1.602602E-02             5.368187E-01             7.696260E-02             5.207927E-01
                   2.1600             8.193794E-02            -2.131215E-02            -6.409747E-05             3.902908E-03            -1.747333E-02             5.374770E-01             7.700495E-02             5.200037E-01
                   2.3400             8.224836E-02            -2.307890E-02            -6.940937E-05             4.228186E-03            -1.892012E-02             5.381498E-01             7.704995E-02             5.192296E-01
                   2.5200             8.257001E-02            -2.484430E-02            -7.471681E-05             4.552828E-03            -2.036619E-02             5.388342E-01             7.709548E-02             5.184680E-01
                   2.7000             8.290249E-02            -2.660824E-02            -8.001944E-05             4.876871E-03            -2.181139E-02             5.395276E-01             7.713937E-02             5.177163E-01
                   2.8800             8.324538E-02            -2.837067E-02            -8.531704E-05             5.200349E-03            -2.325564E-02             5.402275E-01             7.717951E-02             5.169719E-01
                   3.0600             8.359828E-02            -3.013142E-02            -9.060909E-05             5.523303E-03            -2.469872E-02             5.409314E-01             7.721405E-02             5.162327E-01
                   3.2400             8.396079E-02            -3.189042E-02            -9.589538E-05             5.845771E-03            -2.614055E-02             5.416373E-01             7.724140E-02             5.154967E-01
                   3.4200             8.433252E-02            -3.364760E-02            -1.011756E-04             6.167798E-03            -2.758098E-02             5.423434E-01             7.726040E-02             5.147625E-01
