                   Degree           dqdtheta_sc[W]           dqdtheta_dc[W]           dqdtheta_hc[W]       dqdtheta_resoil[W]          dqdtheta_oil[W]
                   0.0000             7.771038E-04             1.497191E+01             0.000000E+00             1.728330E+00             4.683787E+03
                   0.1800             2.783684E-02             1.501464E+01             0.000000E+00             1.568413E+00             4.684432E+03
                   0.3600             4.750446E-02             1.505752E+01             0.000000E+00             1.521120E+00             4.684655E+03
                   0.5400             6.515471E-02             1.509874E+01             0.000000E+00             1.496755E+00             4.684770E+03
                   0.7200             8.187308E-02             1.513817E+01             0.000000E+00             1.485374E+00             4.684818E+03
                   0.9000             9.802564E-02             1.517571E+01             0.000000E+00             1.480833E+00             4.684828E+03
                   1.0800             1.137550E-01             1.521132E+01             0.000000E+00             1.479720E+00             4.684819E+03
                   1.2600             1.291285E-01             1.524498E+01             0.000000E+00             1.480246E+00             4.684802E+03
                   1.4400             1.441873E-01             1.527669E+01             0.000000E+00             1.481502E+00             4.684781E+03
                   1.6200             1.589629E-01             1.530645E+01             0.000000E+00             1.483032E+00             4.684759E+03
                   1.8000             1.734816E-01             1.533429E+01             0.000000E+00             1.484615E+00             4.684738E+03
                   1.9800             1.877668E-01             1.536022E+01             0.000000E+00             1.486143E+00             4.684718E+03
                   2.1600             2.018392E-01             1.538426E+01             0.000000E+00             1.487567E+00             4.684699E+03
                   2.3400             2.157168E-01             1.540642E+01             0.000000E+00             1.488867E+00             4.684682E+03
                   2.5200             2.294156E-01             1.542674E+01             0.000000E+00             1.490037E+00             4.684666E+03
                   2.7000             2.429496E-01             1.544521E+01             0.000000E+00             1.491078E+00             4.684651E+03
                   2.8800             2.563310E-01             1.546187E+01             0.000000E+00             1.491992E+00             4.684638E+03
                   3.0600             2.695706E-01             1.547672E+01             0.000000E+00             1.492785E+00             4.684626E+03
                   3.2400             2.826781E-01             1.548979E+01             0.000000E+00             1.493462E+00             4.684615E+03
                   3.4200             2.956620E-01             1.550108E+01             0.000000E+00             1.494028E+00             4.684606E+03
                   3.6000             3.085299E-01             1.551063E+01             0.000000E+00             1.494489E+00             4.684598E+03
                   3.7800             3.212889E-01             1.551844E+01             0.000000E+00             1.494850E+00             4.684591E+03
                   3.9600             3.339453E-01             1.552452E+01             0.000000E+00             1.495114E+00             4.684585E+03
                   4.1400             3.465049E-01             1.552891E+01             0.000000E+00             1.495287E+00             4.684580E+03
                   4.3200             3.589730E-01             1.553161E+01             0.000000E+00             1.495373E+00             4.684576E+03
                   4.5000             3.713547E-01             1.553264E+01             0.000000E+00             1.495375E+00             4.684573E+03
                   4.6800             3.836546E-01             1.553204E+01             0.000000E+00             1.495297E+00             4.684571E+03
                   4.8600             3.958772E-01             1.552982E+01             0.000000E+00             1.495143E+00             4.684570E+03
                   5.0400             4.080266E-01             1.552604E+01             0.000000E+00             1.494918E+00             4.684570E+03
                   5.2200             4.201067E-01             1.552075E+01             0.000000E+00             1.494625E+00             4.684571E+03
                   5.4000             4.321214E-01             1.551407E+01             0.000000E+00             1.494272E+00             4.684573E+03
                   5.5800             4.440743E-01             1.550619E+01             0.000000E+00             1.493868E+00             4.684575E+03
                   5.7600             4.559691E-01             1.549757E+01             0.000000E+00             1.493436E+00             4.684578E+03
                   5.9400             4.678090E-01             1.548875E+01             0.000000E+00             1.492999E+00             4.684581E+03
                   6.1200             4.795975E-01             1.547997E+01             0.000000E+00             1.492569E+00             4.684583E+03
                   6.3000             4.913379E-01             1.547126E+01             0.000000E+00             1.492152E+00             4.684586E+03
                   6.4800             5.030333E-01             1.546263E+01             0.000000E+00             1.491748E+00             4.684589E+03
                   6.6600             5.146869E-01             1.545408E+01             0.000000E+00             1.491361E+00             4.684592E+03
                   6.8400             5.263019E-01             1.544559E+01             0.000000E+00             1.490992E+00             4.684594E+03
                   7.0200             5.378814E-01             1.543719E+01             0.000000E+00             1.490645E+00             4.684597E+03
                   7.2000             5.494284E-01             1.542885E+01             0.000000E+00             1.490321E+00             4.684599E+03
                   7.3800             5.609460E-01             1.542059E+01             0.000000E+00             1.490024E+00             4.684601E+03
                   7.5600             5.724373E-01             1.541240E+01             0.000000E+00             1.489754E+00             4.684603E+03
                   7.7400             5.839052E-01             1.540429E+01             0.000000E+00             1.489515E+00             4.684605E+03
                   7.9200             5.953528E-01             1.539625E+01             0.000000E+00             1.489310E+00             4.684607E+03
                   8.1000             6.067832E-01             1.538828E+01             0.000000E+00             1.489139E+00             4.684608E+03
                   8.2800             6.181992E-01             1.538039E+01             0.000000E+00             1.489007E+00             4.684610E+03
                   8.4600             6.296040E-01             1.537257E+01             0.000000E+00             1.488914E+00             4.684611E+03
                   8.6400             6.410006E-01             1.536481E+01             0.000000E+00             1.488863E+00             4.684612E+03
                   8.8200             6.523919E-01             1.535714E+01             0.000000E+00             1.488857E+00             4.684612E+03
                   9.0000             6.637810E-01             1.534953E+01             0.000000E+00             1.488897E+00             4.684613E+03
                   9.1800             6.751708E-01             1.534199E+01             0.000000E+00             1.488985E+00             4.684613E+03
                   9.3600             6.865643E-01             1.533453E+01             0.000000E+00             1.489124E+00             4.684613E+03
                   9.5400             6.979645E-01             1.532713E+01             0.000000E+00             1.489315E+00             4.684612E+03
                   9.7200             7.093743E-01             1.531981E+01             0.000000E+00             1.489561E+00             4.684611E+03
                   9.9000             7.207967E-01             1.531255E+01             0.000000E+00             1.489862E+00             4.684611E+03
                  10.0800             7.322346E-01             1.530537E+01             0.000000E+00             1.490221E+00             4.684609E+03
                  10.2600             7.436908E-01             1.529825E+01             0.000000E+00             1.490639E+00             4.684608E+03
                  10.4400             7.551682E-01             1.529120E+01             0.000000E+00             1.491118E+00             4.684606E+03
                  10.6200             7.666697E-01             1.528422E+01             0.000000E+00             1.491658E+00             4.684603E+03
                  10.8000             7.781979E-01             1.527731E+01             0.000000E+00             1.492261E+00             4.684601E+03
                  10.9800             7.897556E-01             1.527047E+01             0.000000E+00             1.492928E+00             4.684598E+03
                  11.1600             8.013454E-01             1.526369E+01             0.000000E+00             1.493659E+00             4.684595E+03
                  11.3400             8.129700E-01             1.525699E+01             0.000000E+00             1.494456E+00             4.684591E+03
                  11.5200             8.246318E-01             1.525034E+01             0.000000E+00             1.495319E+00             4.684587E+03
                  11.7000             8.363333E-01             1.524377E+01             0.000000E+00             1.496248E+00             4.684583E+03
                  11.8800             8.480768E-01             1.523726E+01             0.000000E+00             1.497244E+00             4.684578E+03
                  12.0600             8.598647E-01             1.523081E+01             0.000000E+00             1.498306E+00             4.684573E+03
                  12.2400             8.716991E-01             1.522443E+01             0.000000E+00             1.499435E+00             4.684568E+03
                  12.4200             8.835821E-01             1.521812E+01             0.000000E+00             1.500630E+00             4.684562E+03
                  12.6000             8.955156E-01             1.521187E+01             0.000000E+00             1.501891E+00             4.684556E+03
                  12.7800             9.075016E-01             1.520568E+01             0.000000E+00             1.503217E+00             4.684550E+03
                  12.9600             9.195417E-01             1.519956E+01             0.000000E+00             1.504608E+00             4.684543E+03
                  13.1400             9.316376E-01             1.519349E+01             0.000000E+00             1.506062E+00             4.684537E+03
                  13.3200             9.437907E-01             1.518749E+01             0.000000E+00             1.507578E+00             4.684529E+03
                  13.5000             9.560025E-01             1.518156E+01             0.000000E+00             1.509156E+00             4.684522E+03
                  13.6800             9.682741E-01             1.517568E+01             0.000000E+00             1.510793E+00             4.684514E+03
                  13.8600             9.806065E-01             1.516986E+01             0.000000E+00             1.512489E+00             4.684506E+03
                  14.0400             9.930008E-01             1.516411E+01             0.000000E+00             1.514240E+00             4.684498E+03
                  14.2200             1.005458E+00             1.515841E+01             0.000000E+00             1.516047E+00             4.684489E+03
                  14.4000             1.017978E+00             1.515277E+01             0.000000E+00             1.517906E+00             4.684480E+03
                  14.5800             1.030561E+00             1.514719E+01             0.000000E+00             1.519815E+00             4.684471E+03
                  14.7600             1.043209E+00             1.514167E+01             0.000000E+00             1.521773E+00             4.684462E+03
                  14.9400             1.055921E+00             1.513621E+01             0.000000E+00             1.523776E+00             4.684453E+03
                  15.1200             1.068697E+00             1.513080E+01             0.000000E+00             1.525823E+00             4.684443E+03
                  15.3000             1.081537E+00             1.512545E+01             0.000000E+00             1.527912E+00             4.684434E+03
                  15.4800             1.094441E+00             1.512015E+01             0.000000E+00             1.530038E+00             4.684424E+03
                  15.6600             1.107408E+00             1.511491E+01             0.000000E+00             1.532201E+00             4.684414E+03
                  15.8400             1.120438E+00             1.510972E+01             0.000000E+00             1.534396E+00             4.684404E+03
                  16.0200             1.133529E+00             1.510459E+01             0.000000E+00             1.536622E+00             4.684393E+03
                  16.2000             1.146682E+00             1.509951E+01             0.000000E+00             1.538875E+00             4.684383E+03
                  16.3800             1.159895E+00             1.509448E+01             0.000000E+00             1.541154E+00             4.684373E+03
                  16.5600             1.173166E+00             1.508951E+01             0.000000E+00             1.543454E+00             4.684362E+03
                  16.7400             1.186495E+00             1.508459E+01             0.000000E+00             1.545773E+00             4.684352E+03
                  16.9200             1.199881E+00             1.507971E+01             0.000000E+00             1.548108E+00             4.684341E+03
                  17.1000             1.213321E+00             1.507489E+01             0.000000E+00             1.550457E+00             4.684331E+03
                  17.2800             1.226814E+00             1.507012E+01             0.000000E+00             1.552817E+00             4.684320E+03
                  17.4600             1.240359E+00             1.506540E+01             0.000000E+00             1.555185E+00             4.684310E+03
                  17.6400             1.253953E+00             1.506072E+01             0.000000E+00             1.557557E+00             4.684299E+03
                  17.8200             1.267594E+00             1.505610E+01             0.000000E+00             1.559932E+00             4.684289E+03
                  18.0000             1.281281E+00             1.505152E+01             0.000000E+00             1.562307E+00             4.684279E+03
                  18.1800             1.295012E+00             1.504699E+01             0.000000E+00             1.564680E+00             4.684268E+03
                  18.3600             1.308784E+00             1.504250E+01             0.000000E+00             1.567046E+00             4.684258E+03
                  18.5400             1.322595E+00             1.503806E+01             0.000000E+00             1.569406E+00             4.684248E+03
                  18.7200             1.336443E+00             1.503366E+01             0.000000E+00             1.571755E+00             4.684238E+03
                  18.9000             1.350326E+00             1.502931E+01             0.000000E+00             1.574091E+00             4.684228E+03
                  19.0800             1.364241E+00             1.502501E+01             0.000000E+00             1.576413E+00             4.684218E+03
                  19.2600             1.378186E+00             1.502074E+01             0.000000E+00             1.578718E+00             4.684208E+03
                  19.4400             1.392158E+00             1.501652E+01             0.000000E+00             1.581004E+00             4.684199E+03
                  19.6200             1.406156E+00             1.501235E+01             0.000000E+00             1.583270E+00             4.684189E+03
                  19.8000             1.420176E+00             1.500821E+01             0.000000E+00             1.585512E+00             4.684180E+03
                  19.9800             1.434216E+00             1.500411E+01             0.000000E+00             1.587730E+00             4.684171E+03
                  20.1600             1.448275E+00             1.500006E+01             0.000000E+00             1.589922E+00             4.684162E+03
                  20.3400             1.462348E+00             1.499605E+01             0.000000E+00             1.592086E+00             4.684153E+03
                  20.5200             1.476435E+00             1.499207E+01             0.000000E+00             1.594221E+00             4.684144E+03
                  20.7000             1.490533E+00             1.498814E+01             0.000000E+00             1.596325E+00             4.684136E+03
                  20.8800             1.504639E+00             1.498424E+01             0.000000E+00             1.598397E+00             4.684127E+03
                  21.0600             1.518750E+00             1.498038E+01             0.000000E+00             1.600435E+00             4.684119E+03
                  21.2400             1.532866E+00             1.497656E+01             0.000000E+00             1.602439E+00             4.684111E+03
                  21.4200             1.546983E+00             1.497277E+01             0.000000E+00             1.604408E+00             4.684103E+03
                  21.6000             1.561100E+00             1.496902E+01             0.000000E+00             1.606340E+00             4.684096E+03
                  21.7800             1.575213E+00             1.496531E+01             0.000000E+00             1.608234E+00             4.684088E+03
                  21.9600             1.589322E+00             1.496163E+01             0.000000E+00             1.610090E+00             4.684081E+03
                  22.1400             1.603424E+00             1.495799E+01             0.000000E+00             1.611907E+00             4.684074E+03
                  22.3200             1.617517E+00             1.495438E+01             0.000000E+00             1.613685E+00             4.684067E+03
                  22.5000             1.631598E+00             1.495081E+01             0.000000E+00             1.615422E+00             4.684060E+03
                  22.6800             1.645667E+00             1.494727E+01             0.000000E+00             1.617119E+00             4.684054E+03
                  22.8600             1.659722E+00             1.494376E+01             0.000000E+00             1.618774E+00             4.684047E+03
                  23.0400             1.673760E+00             1.494028E+01             0.000000E+00             1.620388E+00             4.684041E+03
                  23.2200             1.687780E+00             1.493684E+01             0.000000E+00             1.621960E+00             4.684035E+03
                  23.4000             1.701781E+00             1.493343E+01             0.000000E+00             1.623490E+00             4.684029E+03
                  23.5800             1.715760E+00             1.493004E+01             0.000000E+00             1.624978E+00             4.684024E+03
                  23.7600             1.729716E+00             1.492669E+01             0.000000E+00             1.626424E+00             4.684018E+03
                  23.9400             1.743649E+00             1.492337E+01             0.000000E+00             1.627827E+00             4.684013E+03
