               Volume[m3]            Pressure[kPa]
             5.000000E-08             1.009429E+02
             5.005066E-08             1.081927E+02
             5.009648E-08             1.082024E+02
             5.013763E-08             1.082022E+02
             5.017429E-08             1.081976E+02
             5.020665E-08             1.081914E+02
             5.023489E-08             1.081850E+02
             5.025918E-08             1.081790E+02
             5.027970E-08             1.081738E+02
             5.029663E-08             1.081695E+02
             5.031015E-08             1.081660E+02
             5.032045E-08             1.081635E+02
             5.032769E-08             1.081619E+02
             5.033207E-08             1.081611E+02
             5.033375E-08             1.081611E+02
             5.033292E-08             1.081618E+02
             5.032977E-08             1.081633E+02
             5.032446E-08             1.081653E+02
             5.031718E-08             1.081679E+02
             5.030811E-08             1.081711E+02
             5.029743E-08             1.081747E+02
             5.028532E-08             1.081787E+02
             5.027195E-08             1.081831E+02
             5.025752E-08             1.081878E+02
             5.024219E-08             1.081927E+02
             5.022615E-08             1.081979E+02
             5.020957E-08             1.082032E+02
             5.019265E-08             1.082086E+02
             5.017555E-08             1.082140E+02
             5.015845E-08             1.082194E+02
             5.014155E-08             1.082247E+02
             5.012501E-08             1.082299E+02
             5.010902E-08             1.082349E+02
             5.009376E-08             1.082397E+02
             5.007940E-08             1.082441E+02
             5.006612E-08             1.082482E+02
             5.005412E-08             1.082519E+02
             5.004355E-08             1.082552E+02
             5.003462E-08             1.082579E+02
             5.002748E-08             1.082600E+02
             5.002233E-08             1.082615E+02
             5.001935E-08             1.082623E+02
             5.001871E-08             1.082623E+02
             5.002059E-08             1.082616E+02
             5.002517E-08             1.082599E+02
             5.003263E-08             1.082574E+02
             5.004316E-08             1.082539E+02
             5.005692E-08             1.082493E+02
             5.007411E-08             1.082437E+02
             5.009489E-08             1.082370E+02
             5.011945E-08             1.082290E+02
             5.014796E-08             1.082199E+02
             5.018061E-08             1.082095E+02
             5.021757E-08             1.081977E+02
             5.025903E-08             1.081846E+02
             5.030516E-08             1.081701E+02
             5.035613E-08             1.081541E+02
             5.041214E-08             1.081366E+02
             5.047335E-08             1.081176E+02
