                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             5.000000E-08             1.009508E+02             3.037789E+02             3.429239E+05             1.158022E+00             4.301019E+05             3.900377E+03             1.866455E-05             1.006511E+03             2.713005E-02             5.790112E-08             0.000000E+00             0.000000E+00
                   0.1800             5.005066E-08             1.081920E+02             3.093548E+02             3.429444E+05             1.218683E+00             4.356993E+05             3.898756E+03             1.898614E-05             1.006849E+03             2.707784E-02             6.012406E-08             0.000000E+00             0.000000E+00
                   0.3600             5.009648E-08             1.082014E+02             3.107457E+02             3.439186E+05             1.213319E+00             4.370998E+05             3.903248E+03             1.905224E-05             1.006910E+03             2.718003E-02             5.990956E-08             0.000000E+00             0.000000E+00
                   0.5400             5.013763E-08             1.082010E+02             3.114479E+02             3.444135E+05             1.210572E+00             4.378068E+05             3.905521E+03             1.908555E-05             1.006941E+03             2.723157E-02             5.982128E-08             0.000000E+00             0.000000E+00
                   0.7200             5.017429E-08             1.081962E+02             3.117980E+02             3.446630E+05             1.209156E+00             4.381594E+05             3.906666E+03             1.910215E-05             1.006957E+03             2.725724E-02             5.979469E-08             0.000000E+00             0.000000E+00
                   0.9000             5.020665E-08             1.081898E+02             3.119698E+02             3.447878E+05             1.208417E+00             4.383324E+05             3.907237E+03             1.911030E-05             1.006965E+03             2.726984E-02             5.979705E-08             0.000000E+00             0.000000E+00
                   1.0800             5.023489E-08             1.081832E+02             3.120519E+02             3.448496E+05             1.208024E+00             4.384151E+05             3.907520E+03             1.911419E-05             1.006968E+03             2.727586E-02             5.981186E-08             0.000000E+00             0.000000E+00
                   1.2600             5.025918E-08             1.081770E+02             3.120892E+02             3.448796E+05             1.207811E+00             4.384527E+05             3.907657E+03             1.911596E-05             1.006970E+03             2.727859E-02             5.983087E-08             0.000000E+00             0.000000E+00
                   1.4400             5.027970E-08             1.081716E+02             3.121046E+02             3.448937E+05             1.207691E+00             4.384682E+05             3.907721E+03             1.911668E-05             1.006970E+03             2.727972E-02             5.985001E-08             0.000000E+00             0.000000E+00
                   1.6200             5.029663E-08             1.081671E+02             3.121094E+02             3.448999E+05             1.207622E+00             4.384730E+05             3.907748E+03             1.911691E-05             1.006971E+03             2.728007E-02             5.986731E-08             0.000000E+00             0.000000E+00
                   1.8000             5.031015E-08             1.081635E+02             3.121095E+02             3.449022E+05             1.207581E+00             4.384731E+05             3.907758E+03             1.911691E-05             1.006970E+03             2.728008E-02             5.988188E-08             0.000000E+00             0.000000E+00
                   1.9800             5.032045E-08             1.081608E+02             3.121078E+02             3.449028E+05             1.207558E+00             4.384714E+05             3.907760E+03             1.911683E-05             1.006970E+03             2.727995E-02             5.989336E-08             0.000000E+00             0.000000E+00
                   2.1600             5.032769E-08             1.081590E+02             3.121056E+02             3.449025E+05             1.207546E+00             4.384692E+05             3.907757E+03             1.911673E-05             1.006970E+03             2.727979E-02             5.990167E-08             0.000000E+00             0.000000E+00
                   2.3400             5.033207E-08             1.081580E+02             3.121038E+02             3.449020E+05             1.207542E+00             4.384674E+05             3.907754E+03             1.911664E-05             1.006970E+03             2.727966E-02             5.990687E-08             0.000000E+00             0.000000E+00
                   2.5200             5.033375E-08             1.081579E+02             3.121026E+02             3.449015E+05             1.207545E+00             4.384662E+05             3.907751E+03             1.911659E-05             1.006970E+03             2.727957E-02             5.990908E-08             0.000000E+00             0.000000E+00
                   2.7000             5.033292E-08             1.081584E+02             3.121022E+02             3.449011E+05             1.207553E+00             4.384658E+05             3.907748E+03             1.911657E-05             1.006970E+03             2.727954E-02             5.990848E-08             0.000000E+00             0.000000E+00
                   2.8800             5.032977E-08             1.081597E+02             3.121026E+02             3.449008E+05             1.207565E+00             4.384662E+05             3.907746E+03             1.911658E-05             1.006970E+03             2.727957E-02             5.990525E-08             0.000000E+00             0.000000E+00
                   3.0600             5.032446E-08             1.081615E+02             3.121037E+02             3.449008E+05             1.207581E+00             4.384673E+05             3.907745E+03             1.911664E-05             1.006970E+03             2.727965E-02             5.989958E-08             0.000000E+00             0.000000E+00
                   3.2400             5.031718E-08             1.081640E+02             3.121056E+02             3.449009E+05             1.207601E+00             4.384692E+05             3.907744E+03             1.911673E-05             1.006970E+03             2.727979E-02             5.989166E-08             0.000000E+00             0.000000E+00
