                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                   0.0000            -4.628540E-09            -1.990892E-03             1.687538E-08
                   0.1800            -3.344816E-05            -1.457423E+01             1.530650E-08
                   0.3600            -3.339694E-05            -1.459877E+01             1.379477E-08
                   0.5400            -3.335835E-05            -1.460564E+01             1.234003E-08
                   0.7200            -3.332773E-05            -1.460415E+01             1.094235E-08
                   0.9000            -3.330267E-05            -1.459910E+01             9.601763E-09
                   1.0800            -3.328184E-05            -1.459289E+01             8.318251E-09
                   1.2600            -3.326453E-05            -1.458671E+01             7.091855E-09
                   1.4400            -3.325029E-05            -1.458113E+01             5.922565E-09
                   1.6200            -3.323883E-05            -1.457641E+01             4.810430E-09
                   1.8000            -3.322993E-05            -1.457266E+01             3.755436E-09
                   1.9800            -3.322342E-05            -1.456989E+01             2.757605E-09
                   2.1600            -3.321914E-05            -1.456808E+01             1.816955E-09
                   2.3400            -3.321694E-05            -1.456720E+01             9.334895E-10
                   2.5200            -3.321668E-05            -1.456718E+01             1.072292E-10
                   2.7000            -3.321824E-05            -1.456799E+01            -6.618297E-10
                   2.8800            -3.322147E-05            -1.456955E+01            -1.373678E-09
                   3.0600            -3.322623E-05            -1.457181E+01            -2.028297E-09
                   3.2400            -3.323241E-05            -1.457471E+01            -2.625690E-09
                   3.4200            -3.323986E-05            -1.457819E+01            -3.165846E-09
                   3.6000            -3.324845E-05            -1.458219E+01            -3.648757E-09
                   3.7800            -3.325805E-05            -1.458666E+01            -4.074428E-09
                   3.9600            -3.326853E-05            -1.459152E+01            -4.442850E-09
                   4.1400            -3.327975E-05            -1.459673E+01            -4.754022E-09
                   4.3200            -3.329159E-05            -1.460222E+01            -5.007941E-09
                   4.5000            -3.330390E-05            -1.460792E+01            -5.204611E-09
                   4.6800            -3.331657E-05            -1.461379E+01            -5.344028E-09
                   4.8600            -3.332944E-05            -1.461976E+01            -5.426196E-09
                   5.0400            -3.334240E-05            -1.462576E+01            -5.451112E-09
                   5.2200            -3.335530E-05            -1.463175E+01            -5.418788E-09
                   5.4000            -3.336801E-05            -1.463764E+01            -5.329219E-09
                   5.5800            -3.338039E-05            -1.464340E+01            -5.182413E-09
                   5.7600            -3.339231E-05            -1.464894E+01            -4.978380E-09
                   5.9400            -3.340364E-05            -1.465422E+01            -4.717123E-09
                   6.1200            -3.341423E-05            -1.465917E+01            -4.398649E-09
                   6.3000            -3.342395E-05            -1.466372E+01            -4.022966E-09
                   6.4800            -3.343266E-05            -1.466781E+01            -3.590085E-09
                   6.6600            -3.344023E-05            -1.467139E+01            -3.100015E-09
                   6.8400            -3.344652E-05            -1.467439E+01            -2.552768E-09
                   7.0200            -3.345139E-05            -1.467675E+01            -1.948358E-09
                   7.2000            -3.345470E-05            -1.467839E+01            -1.286794E-09
                   7.3800            -3.345632E-05            -1.467928E+01            -5.680897E-10
                   7.5600            -3.345611E-05            -1.467933E+01             2.077388E-10
                   7.7400            -3.345394E-05            -1.467849E+01             1.040674E-09
                   7.9200            -3.344967E-05            -1.467670E+01             1.930704E-09
                   8.1000            -3.344317E-05            -1.467390E+01             2.877808E-09
                   8.2800            -3.343430E-05            -1.467002E+01             3.881968E-09
                   8.4600            -3.342293E-05            -1.466501E+01             4.943168E-09
                   8.6400            -3.340894E-05            -1.465881E+01             6.061384E-09
                   8.8200            -3.339219E-05            -1.465135E+01             7.236601E-09
                   9.0000            -3.337256E-05            -1.464259E+01             8.468791E-09
                   9.1800            -3.334992E-05            -1.463246E+01             9.757934E-09
                   9.3600            -3.332415E-05            -1.462092E+01             1.110401E-08
                   9.5400            -3.329514E-05            -1.460789E+01             1.250699E-08
                   9.7200            -3.326275E-05            -1.459335E+01             1.396685E-08
                   9.9000            -3.322689E-05            -1.457722E+01             1.548356E-08
                  10.0800            -3.318744E-05            -1.455946E+01             1.705710E-08
                  10.2600            -3.314430E-05            -1.454003E+01             1.868745E-08
                  10.4400            -3.309735E-05            -1.451888E+01             2.037456E-08
                  10.6200            -3.304651E-05            -1.449596E+01             2.211842E-08
                  10.8000            -3.299167E-05            -1.447124E+01             2.391898E-08
                  10.9800            -3.293275E-05            -1.444466E+01             2.577623E-08
                  11.1600            -3.286966E-05            -1.441620E+01             2.769013E-08
                  11.3400            -3.280233E-05            -1.438582E+01             2.966064E-08
                  11.5200            -3.273067E-05            -1.435348E+01             3.168773E-08
                  11.7000            -3.265462E-05            -1.431916E+01             3.377137E-08
                  11.8800            -3.257412E-05            -1.428282E+01             3.591152E-08
                  12.0600            -3.248910E-05            -1.424445E+01             3.810815E-08
                  12.2400            -3.239952E-05            -1.420402E+01             4.036122E-08
                  12.4200            -3.230532E-05            -1.416151E+01             4.267068E-08
