                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                   0.0000            -4.628540E-09            -1.990892E-03             1.687538E-08
                   0.1800            -3.344782E-05            -1.457400E+01             1.530650E-08
                   0.3600            -3.339639E-05            -1.459829E+01             1.379477E-08
                   0.5400            -3.335761E-05            -1.460492E+01             1.234003E-08
                   0.7200            -3.332684E-05            -1.460319E+01             1.094235E-08
                   0.9000            -3.330161E-05            -1.459791E+01             9.601763E-09
                   1.0800            -3.328064E-05            -1.459147E+01             8.318251E-09
                   1.2600            -3.326317E-05            -1.458507E+01             7.091855E-09
                   1.4400            -3.324878E-05            -1.457928E+01             5.922565E-09
                   1.6200            -3.323718E-05            -1.457436E+01             4.810430E-09
                   1.8000            -3.322814E-05            -1.457040E+01             3.755436E-09
                   1.9800            -3.322149E-05            -1.456742E+01             2.757605E-09
                   2.1600            -3.321707E-05            -1.456541E+01             1.816955E-09
                   2.3400            -3.321473E-05            -1.456433E+01             9.334895E-10
                   2.5200            -3.321435E-05            -1.456412E+01             1.072292E-10
                   2.7000            -3.321577E-05            -1.456473E+01            -6.618297E-10
                   2.8800            -3.321887E-05            -1.456610E+01            -1.373678E-09
                   3.0600            -3.322350E-05            -1.456817E+01            -2.028297E-09
                   3.2400            -3.322955E-05            -1.457089E+01            -2.625690E-09
                   3.4200            -3.323687E-05            -1.457419E+01            -3.165846E-09
                   3.6000            -3.324534E-05            -1.457801E+01            -3.648757E-09
                   3.7800            -3.325481E-05            -1.458229E+01            -4.074428E-09
                   3.9600            -3.326516E-05            -1.458697E+01            -4.442850E-09
                   4.1400            -3.327626E-05            -1.459200E+01            -4.754022E-09
                   4.3200            -3.328798E-05            -1.459731E+01            -5.007941E-09
                   4.5000            -3.330017E-05            -1.460284E+01            -5.204611E-09
                   4.6800            -3.331271E-05            -1.460853E+01            -5.344028E-09
                   4.8600            -3.332547E-05            -1.461433E+01            -5.426196E-09
                   5.0400            -3.333830E-05            -1.462016E+01            -5.451112E-09
                   5.2200            -3.335108E-05            -1.462597E+01            -5.418788E-09
                   5.4000            -3.336367E-05            -1.463170E+01            -5.329219E-09
                   5.5800            -3.337594E-05            -1.463728E+01            -5.182413E-09
                   5.7600            -3.338774E-05            -1.464266E+01            -4.978380E-09
                   5.9400            -3.339895E-05            -1.464777E+01            -4.717123E-09
                   6.1200            -3.340942E-05            -1.465254E+01            -4.398649E-09
                   6.3000            -3.341902E-05            -1.465693E+01            -4.022966E-09
                   6.4800            -3.342762E-05            -1.466086E+01            -3.590085E-09
                   6.6600            -3.343507E-05            -1.466427E+01            -3.100015E-09
                   6.8400            -3.344124E-05            -1.466711E+01            -2.552768E-09
                   7.0200            -3.344600E-05            -1.466930E+01            -1.948358E-09
