                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             3.284777E-05             1.044416E+02             3.166890E+02             3.522004E+05             1.149119E+00             4.430926E+05             3.932500E+03             1.933272E-05             1.007135E+03             2.761390E-02             3.774599E-05             0.000000E+00             0.000000E+00
                   0.1800             3.284772E-05             1.042192E+02             3.165534E+02             3.521034E+05             1.147163E+00             4.429564E+05             3.932682E+03             1.932631E-05             1.007125E+03             2.760394E-02             3.768221E-05             0.000000E+00             0.000000E+00
                   0.3600             3.284766E-05             1.040055E+02             3.164223E+02             3.520095E+05             1.145286E+00             4.428248E+05             3.932855E+03             1.932010E-05             1.007116E+03             2.759430E-02             3.762048E-05             0.000000E+00             0.000000E+00
                   0.5400             3.284759E-05             1.037991E+02             3.162955E+02             3.519188E+05             1.143471E+00             4.426976E+05             3.933023E+03             1.931410E-05             1.007107E+03             2.758499E-02             3.756077E-05             0.000000E+00             0.000000E+00
                   0.7200             3.284752E-05             1.035998E+02             3.161732E+02             3.518313E+05             1.141718E+00             4.425748E+05             3.933187E+03             1.930831E-05             1.007098E+03             2.757600E-02             3.750308E-05             0.000000E+00             0.000000E+00
                   0.9000             3.284744E-05             1.034076E+02             3.160553E+02             3.517470E+05             1.140026E+00             4.424564E+05             3.933345E+03             1.930273E-05             1.007089E+03             2.756734E-02             3.744739E-05             0.000000E+00             0.000000E+00
                   1.0800             3.284736E-05             1.032225E+02             3.159418E+02             3.516658E+05             1.138395E+00             4.423425E+05             3.933499E+03             1.929735E-05             1.007081E+03             2.755900E-02             3.739370E-05             0.000000E+00             0.000000E+00
                   1.2600             3.284727E-05             1.030444E+02             3.158327E+02             3.515877E+05             1.136824E+00             4.422330E+05             3.933648E+03             1.929218E-05             1.007073E+03             2.755098E-02             3.734199E-05             0.000000E+00             0.000000E+00
                   1.4400             3.284717E-05             1.028734E+02             3.157279E+02             3.515128E+05             1.135314E+00             4.421278E+05             3.933791E+03             1.928722E-05             1.007066E+03             2.754327E-02             3.729226E-05             0.000000E+00             0.000000E+00
                   1.6200             3.284707E-05             1.027093E+02             3.156276E+02             3.514410E+05             1.133864E+00             4.420271E+05             3.933931E+03             1.928246E-05             1.007059E+03             2.753590E-02             3.724450E-05             0.000000E+00             0.000000E+00
                   1.8000             3.284696E-05             1.025521E+02             3.155316E+02             3.513724E+05             1.132474E+00             4.419307E+05             3.934065E+03             1.927791E-05             1.007052E+03             2.752884E-02             3.719869E-05             0.000000E+00             0.000000E+00
                   1.9800             3.284685E-05             1.024018E+02             3.154399E+02             3.513068E+05             1.131143E+00             4.418387E+05             3.934194E+03             1.927357E-05             1.007045E+03             2.752210E-02             3.715483E-05             0.000000E+00             0.000000E+00
                   2.1600             3.284672E-05             1.022583E+02             3.153526E+02             3.512444E+05             1.129871E+00             4.417511E+05             3.934319E+03             1.926943E-05             1.007039E+03             2.751567E-02             3.711290E-05             0.000000E+00             0.000000E+00
                   2.3400             3.284659E-05             1.021217E+02             3.152696E+02             3.511851E+05             1.128658E+00             4.416678E+05             3.934438E+03             1.926550E-05             1.007033E+03             2.750957E-02             3.707291E-05             0.000000E+00             0.000000E+00
                   2.5200             3.284646E-05             1.019918E+02             3.151910E+02             3.511289E+05             1.127505E+00             4.415889E+05             3.934553E+03             1.926177E-05             1.007027E+03             2.750379E-02             3.703484E-05             0.000000E+00             0.000000E+00
                   2.7000             3.284631E-05             1.018686E+02             3.151167E+02             3.510758E+05             1.126409E+00             4.415143E+05             3.934663E+03             1.925825E-05             1.007022E+03             2.749832E-02             3.699868E-05             0.000000E+00             0.000000E+00
                   2.8800             3.284616E-05             1.017522E+02             3.150467E+02             3.510257E+05             1.125372E+00             4.414440E+05             3.934768E+03             1.925493E-05             1.007017E+03             2.749316E-02             3.696442E-05             0.000000E+00             0.000000E+00
                   3.0600             3.284600E-05             1.016424E+02             3.149809E+02             3.509788E+05             1.124393E+00             4.413781E+05             3.934869E+03             1.925181E-05             1.007012E+03             2.748833E-02             3.693206E-05             0.000000E+00             0.000000E+00
                   3.2400             3.284583E-05             1.015392E+02             3.149195E+02             3.509349E+05             1.123471E+00             4.413164E+05             3.934964E+03             1.924889E-05             1.007008E+03             2.748380E-02             3.690158E-05             0.000000E+00             0.000000E+00
                   3.4200             3.284565E-05             1.014427E+02             3.148623E+02             3.508940E+05             1.122607E+00             4.412590E+05             3.935055E+03             1.924618E-05             1.007004E+03             2.747960E-02             3.687298E-05             0.000000E+00             0.000000E+00
