                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                             0.0000                       5.000000E-08                       3.284777E-05                       1.007480E+02                       3.039992E+02                       1.000171E+02                       3.033671E+02
                             0.1800                       5.005066E-08                       3.284772E-05                       1.007480E+02                       3.039992E+02                       1.000174E+02                       3.033673E+02
                             0.3600                       5.009648E-08                       3.284766E-05                       1.007480E+02                       3.039992E+02                       1.000176E+02                       3.033676E+02
                             0.5400                       5.013763E-08                       3.284759E-05                       1.007480E+02                       3.039992E+02                       1.000179E+02                       3.033678E+02
                             0.7200                       5.017429E-08                       3.284752E-05                       1.007480E+02                       3.039992E+02                       1.000182E+02                       3.033681E+02
                             0.9000                       5.020665E-08                       3.284744E-05                       1.007480E+02                       3.039992E+02                       1.000185E+02                       3.033684E+02
                             1.0800                       5.023489E-08                       3.284736E-05                       1.007480E+02                       3.039992E+02                       1.000189E+02                       3.033687E+02
                             1.2600                       5.025918E-08                       3.284727E-05                       1.007480E+02                       3.039992E+02                       1.000193E+02                       3.033690E+02
                             1.4400                       5.027970E-08                       3.284717E-05                       1.007480E+02                       3.039992E+02                       1.000197E+02                       3.033694E+02
                             1.6200                       5.029663E-08                       3.284707E-05                       1.007480E+02                       3.039992E+02                       1.000201E+02                       3.033697E+02
                             1.8000                       5.031015E-08                       3.284696E-05                       1.007480E+02                       3.039992E+02                       1.000206E+02                       3.033701E+02
                             1.9800                       5.032045E-08                       3.284685E-05                       1.007480E+02                       3.039992E+02                       1.000211E+02                       3.033706E+02
                             2.1600                       5.032769E-08                       3.284672E-05                       1.007480E+02                       3.039992E+02                       1.000216E+02                       3.033710E+02
                             2.3400                       5.033207E-08                       3.284659E-05                       1.007480E+02                       3.039992E+02                       1.000222E+02                       3.033715E+02
                             2.5200                       5.033375E-08                       3.284646E-05                       1.007480E+02                       3.039992E+02                       1.000227E+02                       3.033720E+02
                             2.7000                       5.033292E-08                       3.284631E-05                       1.007480E+02                       3.039992E+02                       1.000234E+02                       3.033725E+02
                             2.8800                       5.032977E-08                       3.284616E-05                       1.007480E+02                       3.039992E+02                       1.000240E+02                       3.033731E+02
                             3.0600                       5.032446E-08                       3.284600E-05                       1.007480E+02                       3.039992E+02                       1.000247E+02                       3.033737E+02
                             3.2400                       5.031718E-08                       3.284583E-05                       1.007480E+02                       3.039992E+02                       1.000254E+02                       3.033743E+02
                             3.4200                       5.030811E-08                       3.284565E-05                       1.007480E+02                       3.039992E+02                       1.000262E+02                       3.033750E+02
                             3.6000                       5.029743E-08                       3.284547E-05                       1.007480E+02                       3.039992E+02                       1.000270E+02                       3.033757E+02
                             3.7800                       5.028532E-08                       3.284528E-05                       1.007480E+02                       3.039992E+02                       1.000278E+02                       3.033764E+02
                             3.9600                       5.027195E-08                       3.284507E-05                       1.007480E+02                       3.039992E+02                       1.000286E+02                       3.033771E+02
                             4.1400                       5.025752E-08                       3.284486E-05                       1.007480E+02                       3.039992E+02                       1.000295E+02                       3.033779E+02
