                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.281134E+02             3.281181E+02             3.281134E+02             3.281181E+02             3.316469E+02             3.309545E+02             3.316469E+02             3.309545E+02             3.328271E+02             3.319904E+02
                   0.1800             3.281014E+02             3.281114E+02             3.281391E+02             3.281485E+02             3.316201E+02             3.309355E+02             3.316621E+02             3.309763E+02             3.328451E+02             3.320147E+02
                   0.3600             3.280473E+02             3.280610E+02             3.281048E+02             3.281160E+02             3.315588E+02             3.308781E+02             3.316233E+02             3.309402E+02             3.328075E+02             3.319796E+02
                   0.5400             3.279907E+02             3.280078E+02             3.280627E+02             3.280754E+02             3.314966E+02             3.308191E+02             3.315780E+02             3.308968E+02             3.327630E+02             3.319370E+02
                   0.7200             3.279327E+02             3.279531E+02             3.280167E+02             3.280305E+02             3.314338E+02             3.307591E+02             3.315294E+02             3.308498E+02             3.327150E+02             3.318906E+02
                   0.9000             3.278751E+02             3.278983E+02             3.279693E+02             3.279840E+02             3.313719E+02             3.306997E+02             3.314798E+02             3.308015E+02             3.326660E+02             3.318428E+02
                   1.0800             3.278190E+02             3.278448E+02             3.279222E+02             3.279377E+02             3.313117E+02             3.306419E+02             3.314309E+02             3.307537E+02             3.326174E+02             3.317953E+02
                   1.2600             3.277651E+02             3.277933E+02             3.278764E+02             3.278925E+02             3.312541E+02             3.305865E+02             3.313834E+02             3.307072E+02             3.325703E+02             3.317492E+02
                   1.4400             3.277139E+02             3.277443E+02             3.278324E+02             3.278492E+02             3.311993E+02             3.305338E+02             3.313380E+02             3.306627E+02             3.325252E+02             3.317049E+02
                   1.6200             3.276657E+02             3.276981E+02             3.277907E+02             3.278081E+02             3.311477E+02             3.304841E+02             3.312949E+02             3.306204E+02             3.324824E+02             3.316629E+02
                   1.8000             3.276205E+02             3.276548E+02             3.277514E+02             3.277693E+02             3.310992E+02             3.304375E+02             3.312543E+02             3.305806E+02             3.324420E+02             3.316233E+02
                   1.9800             3.275784E+02             3.276143E+02             3.277146E+02             3.277330E+02             3.310539E+02             3.303940E+02             3.312163E+02             3.305433E+02             3.324042E+02             3.315862E+02
                   2.1600             3.275394E+02             3.275769E+02             3.276804E+02             3.276992E+02             3.310119E+02             3.303536E+02             3.311810E+02             3.305087E+02             3.323691E+02             3.315517E+02
                   2.3400             3.275034E+02             3.275423E+02             3.276487E+02             3.276680E+02             3.309730E+02             3.303162E+02             3.311483E+02             3.304766E+02             3.323365E+02             3.315197E+02
                   2.5200             3.274703E+02             3.275105E+02             3.276196E+02             3.276393E+02             3.309372E+02             3.302819E+02             3.311182E+02             3.304471E+02             3.323066E+02             3.314904E+02
                   2.7000             3.274402E+02             3.274816E+02             3.275930E+02             3.276130E+02             3.309044E+02             3.302505E+02             3.310908E+02             3.304202E+02             3.322793E+02             3.314636E+02
                   2.8800             3.274129E+02             3.274554E+02             3.275690E+02             3.275893E+02             3.308746E+02             3.302220E+02             3.310660E+02             3.303958E+02             3.322545E+02             3.314393E+02
                   3.0600             3.273884E+02             3.274318E+02             3.275475E+02             3.275681E+02             3.308477E+02             3.301963E+02             3.310437E+02             3.303740E+02             3.322323E+02             3.314175E+02
