                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                             0.0000                       5.000000E-08                       1.007730E+02                       3.039730E+02                       5.776214E-08
                             0.1800                       5.005066E-08                       1.007730E+02                       3.039730E+02                       5.782066E-08
                             0.3600                       5.009648E-08                       1.007730E+02                       3.039730E+02                       5.787359E-08
                             0.5400                       5.013763E-08                       1.007730E+02                       3.039730E+02                       5.792113E-08
                             0.7200                       5.017429E-08                       1.007730E+02                       3.039730E+02                       5.796349E-08
                             0.9000                       5.020665E-08                       1.007730E+02                       3.039730E+02                       5.800088E-08
                             1.0800                       5.023489E-08                       1.007730E+02                       3.039730E+02                       5.803350E-08
                             1.2600                       5.025918E-08                       1.007730E+02                       3.039730E+02                       5.806155E-08
                             1.4400                       5.027970E-08                       1.007730E+02                       3.039730E+02                       5.808526E-08
                             1.6200                       5.029663E-08                       1.007730E+02                       3.039730E+02                       5.810482E-08
                             1.8000                       5.031015E-08                       1.007730E+02                       3.039730E+02                       5.812044E-08
                             1.9800                       5.032045E-08                       1.007730E+02                       3.039730E+02                       5.813233E-08
                             2.1600                       5.032769E-08                       1.007730E+02                       3.039730E+02                       5.814070E-08
                             2.3400                       5.033207E-08                       1.007730E+02                       3.039730E+02                       5.814576E-08
                             2.5200                       5.033375E-08                       1.007730E+02                       3.039730E+02                       5.814770E-08
                             2.7000                       5.033292E-08                       1.007730E+02                       3.039730E+02                       5.814675E-08
                             2.8800                       5.032977E-08                       1.007730E+02                       3.039730E+02                       5.814310E-08
                             3.0600                       5.032446E-08                       1.007730E+02                       3.039730E+02                       5.813697E-08
                             3.2400                       5.031718E-08                       1.007730E+02                       3.039730E+02                       5.812856E-08
                             3.4200                       5.030811E-08                       1.007730E+02                       3.039730E+02                       5.811809E-08
                             3.6000                       5.029743E-08                       1.007730E+02                       3.039730E+02                       5.810575E-08
                             3.7800                       5.028532E-08                       1.007730E+02                       3.039730E+02                       5.809175E-08
                             3.9600                       5.027195E-08                       1.007730E+02                       3.039730E+02                       5.807631E-08
                             4.1400                       5.025752E-08                       1.007730E+02                       3.039730E+02                       5.805963E-08
                             4.3200                       5.024219E-08                       1.007730E+02                       3.039730E+02                       5.804193E-08
