                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                   0.0000             1.824998E+01             3.549424E-02             3.791431E-01             5.000005E-01             5.000895E-01
                   0.1800             1.825575E+01             2.926817E-02             4.797669E-01             4.998424E-01             2.586285E+00
                   0.3600             1.825678E+01             2.815427E-02             4.876847E-01             4.998143E-01             2.758225E+00
                   0.5400             1.825778E+01             2.718178E-02             4.935398E-01             4.997868E-01             2.931245E+00
                   0.7200             1.825872E+01             2.661632E-02             4.969564E-01             4.997610E-01             3.101897E+00
                   0.9000             1.825959E+01             2.725360E-02             4.978454E-01             4.997374E-01             3.270720E+00
                   1.0800             1.826034E+01             2.862940E-02             4.962670E-01             4.997166E-01             3.436424E+00
                   1.2600             1.826099E+01             3.024071E-02             4.924667E-01             4.996989E-01             3.597991E+00
                   1.4400             1.826152E+01             3.195679E-02             4.867993E-01             4.996844E-01             3.755033E+00
                   1.6200             1.826194E+01             3.371208E-02             4.796915E-01             4.996729E-01             3.907126E+00
                   1.8000             1.826226E+01             3.546625E-02             4.715774E-01             4.996641E-01             4.054171E+00
                   1.9800             1.826249E+01             3.718471E-02             4.629227E-01             4.996578E-01             4.195465E+00
                   2.1600             1.826265E+01             3.884599E-02             4.540998E-01             4.996535E-01             4.331078E+00
                   2.3400             1.826274E+01             4.043049E-02             4.454475E-01             4.996509E-01             4.460699E+00
                   2.5200             1.826279E+01             4.192576E-02             4.372022E-01             4.996495E-01             4.584433E+00
                   2.7000             1.826281E+01             4.332261E-02             4.295363E-01             4.996490E-01             4.702300E+00
                   2.8800             1.826281E+01             4.461533E-02             4.225622E-01             4.996491E-01             4.814266E+00
                   3.0600             1.826279E+01             4.580322E-02             4.163168E-01             4.996495E-01             4.920593E+00
                   3.2400             1.826277E+01             4.688812E-02             4.108130E-01             4.996502E-01             5.021297E+00
                   3.4200             1.826274E+01             4.787644E-02             4.060225E-01             4.996508E-01             5.116544E+00
                   3.6000             1.826272E+01             4.877694E-02             4.018943E-01             4.996514E-01             5.206553E+00
                   3.7800             1.826271E+01             4.960109E-02             3.983662E-01             4.996518E-01             5.291566E+00
                   3.9600             1.826270E+01             5.036198E-02             3.953767E-01             4.996520E-01             5.371712E+00
                   4.1400             1.826270E+01             5.107335E-02             3.928581E-01             4.996520E-01             5.447256E+00
                   4.3200             1.826272E+01             5.174900E-02             3.907490E-01             4.996516E-01             5.518398E+00
                   4.5000             1.826274E+01             5.240211E-02             3.889924E-01             4.996510E-01             5.585356E+00
                   4.6800             1.826277E+01             5.304492E-02             3.875379E-01             4.996502E-01             5.648328E+00
                   4.8600             1.826281E+01             5.368765E-02             3.863413E-01             4.996490E-01             5.707505E+00
                   5.0400             1.826286E+01             5.433899E-02             3.853642E-01             4.996476E-01             5.763082E+00
                   5.2200             1.826292E+01             5.500585E-02             3.845737E-01             4.996460E-01             5.815252E+00
                   5.4000             1.826299E+01             5.569279E-02             3.839426E-01             4.996441E-01             5.864170E+00
                   5.5800             1.826307E+01             5.640368E-02             3.834472E-01             4.996420E-01             5.910019E+00
                   5.7600             1.826315E+01             5.714041E-02             3.830685E-01             4.996396E-01             5.952923E+00
                   5.9400             1.826325E+01             5.790342E-02             3.827898E-01             4.996371E-01             5.993044E+00
                   6.1200             1.826335E+01             5.869329E-02             3.825977E-01             4.996344E-01             6.030493E+00
                   6.3000             1.826345E+01             5.950888E-02             3.824805E-01             4.996314E-01             6.065396E+00
                   6.4800             1.826357E+01             6.034875E-02             3.824281E-01             4.996283E-01             6.097868E+00
                   6.6600             1.826369E+01             6.121182E-02             3.824324E-01             4.996250E-01             6.127986E+00
                   6.8400             1.826381E+01             6.209552E-02             3.824857E-01             4.996215E-01             6.155857E+00
                   7.0200             1.826395E+01             6.299819E-02             3.825816E-01             4.996179E-01             6.181539E+00
                   7.2000             1.826408E+01             6.391771E-02             3.827143E-01             4.996141E-01             6.205103E+00
                   7.3800             1.826423E+01             6.485201E-02             3.828784E-01             4.996102E-01             6.226592E+00
                   7.5600             1.826438E+01             6.579944E-02             3.830692E-01             4.996060E-01             6.246054E+00
                   7.7400             1.826454E+01             6.675787E-02             3.832821E-01             4.996018E-01             6.263545E+00
                   7.9200             1.826470E+01             6.772551E-02             3.835130E-01             4.995973E-01             6.279100E+00
                   8.1000             1.826486E+01             6.870083E-02             3.837579E-01             4.995928E-01             9.581209E-03
                   8.2800             1.826504E+01             6.968226E-02             3.840134E-01             4.995880E-01             2.138939E-02
                   8.4600             1.826522E+01             7.066847E-02             3.842764E-01             4.995831E-01             3.137330E-02
                   8.6400             1.826540E+01             7.165853E-02             3.845439E-01             4.995781E-01             3.955505E-02
                   8.8200             1.826559E+01             7.265123E-02             3.848135E-01             4.995728E-01             4.595757E-02
                   9.0000             1.826579E+01             7.364565E-02             3.850831E-01             4.995674E-01             5.059837E-02
                   9.1800             1.826599E+01             7.464100E-02             3.853511E-01             4.995619E-01             5.349389E-02
                   9.3600             1.826620E+01             7.563734E-02             3.856161E-01             4.995562E-01             5.465709E-02
                   9.5400             1.826642E+01             7.663358E-02             3.858775E-01             4.995503E-01             5.409961E-02
                   9.7200             1.826664E+01             7.762999E-02             3.861352E-01             4.995442E-01             5.182931E-02
                   9.9000             1.826687E+01             7.862659E-02             3.863894E-01             4.995379E-01             4.785323E-02
                  10.0800             1.826710E+01             7.962315E-02             3.866412E-01             4.995314E-01             4.217860E-02
                  10.2600             1.826735E+01             8.062083E-02             3.868924E-01             4.995248E-01             3.480748E-02
                  10.4400             1.826760E+01             8.161967E-02             3.871453E-01             4.995179E-01             2.574774E-02
                  10.6200             1.826785E+01             8.262059E-02             3.874032E-01             4.995108E-01             1.500121E-02
                  10.8000             1.826812E+01             8.362516E-02             3.876699E-01             4.995036E-01             2.572267E-03
                  10.9800             1.826839E+01             8.463409E-02             3.879505E-01             4.994960E-01             6.271649E+00
                  11.1600             1.826868E+01             8.564955E-02             3.882507E-01             4.994883E-01             6.255865E+00
                  11.3400             1.826897E+01             8.667342E-02             3.885772E-01             4.994803E-01             6.238411E+00
                  11.5200             1.826927E+01             8.770717E-02             3.889379E-01             4.994720E-01             6.219290E+00
                  11.7000             1.826958E+01             8.875385E-02             3.893417E-01             4.994635E-01             6.198510E+00
                  11.8800             1.826990E+01             8.981540E-02             3.897988E-01             4.994547E-01             6.176077E+00
                  12.0600             1.827023E+01             9.089498E-02             3.903204E-01             4.994457E-01             6.152000E+00
                  12.2400             1.827058E+01             9.199466E-02             3.909194E-01             4.994363E-01             6.126287E+00
                  12.4200             1.827093E+01             9.311763E-02             3.916099E-01             4.994266E-01             6.098951E+00
                  12.6000             1.827129E+01             9.426587E-02             3.924077E-01             4.994166E-01             6.070004E+00
                  12.7800             1.827167E+01             9.544200E-02             3.933303E-01             4.994063E-01             6.039459E+00
                  12.9600             1.827206E+01             9.664770E-02             3.943968E-01             4.993957E-01             6.007335E+00
                  13.1400             1.827246E+01             9.788396E-02             3.956286E-01             4.993847E-01             5.973649E+00
                  13.3200             1.827287E+01             9.915230E-02             3.970490E-01             4.993734E-01             5.938421E+00
                  13.5000             1.827330E+01             1.004512E-01             3.986834E-01             4.993617E-01             5.901672E+00
                  13.6800             1.827374E+01             1.017800E-01             4.005598E-01             4.993496E-01             5.863428E+00
                  13.8600             1.827420E+01             1.031361E-01             4.027086E-01             4.993371E-01             5.823715E+00
                  14.0400             1.827467E+01             1.045162E-01             4.051627E-01             4.993242E-01             5.782561E+00
                  14.2200             1.827515E+01             1.059141E-01             4.079575E-01             4.993109E-01             5.739997E+00
                  14.4000             1.827565E+01             1.073243E-01             4.111313E-01             4.992973E-01             5.696054E+00
                  14.5800             1.827616E+01             1.087387E-01             4.147245E-01             4.992832E-01             5.650769E+00
                  14.7600             1.827669E+01             1.101482E-01             4.187801E-01             4.992687E-01             5.604178E+00
                  14.9400             1.827724E+01             1.115435E-01             4.233429E-01             4.992538E-01             5.556318E+00
                  15.1200             1.827780E+01             1.129143E-01             4.284595E-01             4.992385E-01             5.507232E+00
                  15.3000             1.827837E+01             1.142484E-01             4.341774E-01             4.992228E-01             5.456960E+00
                  15.4800             1.827895E+01             1.155351E-01             4.405446E-01             4.992067E-01             5.405548E+00
                  15.6600             1.827955E+01             1.167630E-01             4.476086E-01             4.991903E-01             5.353041E+00
                  15.8400             1.828016E+01             1.179210E-01             4.554156E-01             4.991736E-01             5.299487E+00
                  16.0200             1.828079E+01             1.189989E-01             4.640093E-01             4.991566E-01             5.244934E+00
                  16.2000             1.828142E+01             1.199875E-01             4.734296E-01             4.991393E-01             5.189433E+00
                  16.3800             1.828205E+01             1.208778E-01             4.837116E-01             4.991218E-01             5.133035E+00
                  16.5600             1.828270E+01             1.216635E-01             4.948842E-01             4.991042E-01             5.075791E+00
                  16.7400             1.828334E+01             1.223377E-01             5.069684E-01             4.990865E-01             5.017757E+00
                  16.9200             1.828399E+01             1.228973E-01             5.199765E-01             4.990688E-01             4.958986E+00
                  17.1000             1.828463E+01             1.233382E-01             5.339107E-01             4.990512E-01             4.899533E+00
                  17.2800             1.828527E+01             1.236588E-01             5.487620E-01             4.990338E-01             4.839453E+00
                  17.4600             1.828589E+01             1.238593E-01             5.645092E-01             4.990167E-01             4.778803E+00
                  17.6400             1.828650E+01             1.239394E-01             5.811187E-01             4.990000E-01             4.717638E+00
                  17.8200             1.828709E+01             1.239018E-01             5.985434E-01             4.989837E-01             4.656015E+00
                  18.0000             1.828766E+01             1.237486E-01             6.167232E-01             4.989681E-01             4.593989E+00
                  18.1800             1.828820E+01             1.234840E-01             6.355850E-01             4.989533E-01             4.531618E+00
                  18.3600             1.828871E+01             1.231128E-01             6.550432E-01             4.989393E-01             4.468957E+00
                  18.5400             1.828919E+01             1.226394E-01             6.750004E-01             4.989264E-01             4.406061E+00
                  18.7200             1.828962E+01             1.220703E-01             6.953489E-01             4.989146E-01             4.342985E+00
                  18.9000             1.829000E+01             1.214116E-01             7.159719E-01             4.989041E-01             4.279784E+00
                  19.0800             1.829033E+01             1.206705E-01             7.367451E-01             4.988950E-01             4.216509E+00
                  19.2600             1.829061E+01             1.198540E-01             7.575385E-01             4.988873E-01             4.153215E+00
                  19.4400             1.829083E+01             1.189705E-01             7.782185E-01             4.988813E-01             4.089952E+00
                  19.6200             1.829099E+01             1.180281E-01             7.986500E-01             4.988770E-01             4.026771E+00
                  19.8000             1.829108E+01             1.170353E-01             8.186979E-01             4.988744E-01             3.963721E+00
                  19.9800             1.829111E+01             1.160013E-01             8.382301E-01             4.988738E-01             3.900848E+00
                  20.1600             1.829106E+01             1.149361E-01             8.571185E-01             4.988750E-01             3.838201E+00
                  20.3400             1.829095E+01             1.138500E-01             8.752414E-01             4.988781E-01             3.775823E+00
                  20.5200             1.829076E+01             1.127541E-01             8.924850E-01             4.988833E-01             3.713758E+00
                  20.7000             1.829050E+01             1.116609E-01             9.087447E-01             4.988904E-01             3.652047E+00
                  20.8800             1.829017E+01             1.105842E-01             9.239267E-01             4.988994E-01             3.590731E+00
                  21.0600             1.828977E+01             1.095400E-01             9.379487E-01             4.989104E-01             3.529848E+00
                  21.2400             1.828930E+01             1.085469E-01             9.507408E-01             4.989233E-01             3.469435E+00
                  21.4200             1.828876E+01             1.076290E-01             9.622461E-01             4.989381E-01             3.409526E+00
                  21.6000             1.828816E+01             1.068176E-01             9.724206E-01             4.989545E-01             3.350155E+00
                  21.7800             1.828750E+01             1.061588E-01             9.812337E-01             4.989727E-01             3.291352E+00
                  21.9600             1.828678E+01             1.057280E-01             9.886677E-01             4.989925E-01             3.233147E+00
                  22.1400             1.828600E+01             1.056737E-01             9.947174E-01             4.990137E-01             3.175568E+00
                  22.3200             1.828518E+01             1.062831E-01             9.993898E-01             4.990363E-01             3.118641E+00
                  22.5000             1.828431E+01             1.076008E-01             1.002703E+00             4.990601E-01             3.062389E+00
                  22.6800             1.828339E+01             1.093285E-01             1.004686E+00             4.990851E-01             3.006835E+00
                  22.8600             1.828245E+01             1.112959E-01             1.005376E+00             4.991111E-01             2.951999E+00
                  23.0400             1.828147E+01             1.134206E-01             1.004821E+00             4.991379E-01             2.897899E+00
                  23.2200             1.828046E+01             1.156548E-01             1.003074E+00             4.991655E-01             2.844554E+00
                  23.4000             1.827943E+01             1.179677E-01             1.000196E+00             4.991936E-01             2.791977E+00
                  23.5800             1.827839E+01             1.203371E-01             9.962524E-01             4.992223E-01             2.740183E+00
                  23.7600             1.827733E+01             1.227462E-01             9.913126E-01             4.992513E-01             2.689184E+00
                  23.9400             1.827626E+01             1.251819E-01             9.854496E-01             4.992806E-01             2.638990E+00
                  24.1200             1.827518E+01             1.276334E-01             9.787381E-01             4.993100E-01             2.589610E+00
                  24.3000             1.827411E+01             1.300920E-01             9.712543E-01             4.993394E-01             2.541052E+00
                  24.4800             1.827304E+01             1.325500E-01             9.630742E-01             4.993688E-01             2.493321E+00
                  24.6600             1.827197E+01             1.350014E-01             9.542736E-01             4.993980E-01             2.446424E+00
                  24.8400             1.827092E+01             1.374401E-01             9.449270E-01             4.994269E-01             2.400363E+00
                  25.0200             1.826988E+01             1.398616E-01             9.351070E-01             4.994555E-01             2.355140E+00
                  25.2000             1.826885E+01             1.422613E-01             9.248836E-01             4.994837E-01             2.310757E+00
                  25.3800             1.826783E+01             1.446362E-01             9.143244E-01             4.995114E-01             2.267214E+00
                  25.5600             1.826684E+01             1.469821E-01             9.034934E-01             4.995386E-01             2.224509E+00
                  25.7400             1.826587E+01             1.492968E-01             8.924513E-01             4.995652E-01             2.182641E+00
                  25.9200             1.826492E+01             1.515773E-01             8.812549E-01             4.995912E-01             2.141607E+00
                  26.1000             1.826399E+01             1.538221E-01             8.699572E-01             4.996166E-01             2.101401E+00
                  26.2800             1.826309E+01             1.560287E-01             8.586073E-01             4.996413E-01             2.062021E+00
                  26.4600             1.826222E+01             1.581959E-01             8.472503E-01             4.996653E-01             2.023460E+00
                  26.6400             1.826137E+01             1.603223E-01             8.359271E-01             4.996886E-01             1.985712E+00
                  26.8200             1.826054E+01             1.624063E-01             8.246751E-01             4.997112E-01             1.948770E+00
                  27.0000             1.825974E+01             1.644483E-01             8.135276E-01             4.997330E-01             1.912626E+00
                  27.1800             1.825897E+01             1.664465E-01             8.025142E-01             4.997541E-01             1.877273E+00
                  27.3600             1.825823E+01             1.684008E-01             7.916612E-01             4.997745E-01             1.842701E+00
                  27.5400             1.825751E+01             1.703109E-01             7.809915E-01             4.997942E-01             1.808901E+00
                  27.7200             1.825682E+01             1.721766E-01             7.705246E-01             4.998131E-01             1.775863E+00
                  27.9000             1.825615E+01             1.739977E-01             7.602772E-01             4.998314E-01             1.743578E+00
                  28.0800             1.825551E+01             1.757754E-01             7.502635E-01             4.998489E-01             1.712035E+00
                  28.2600             1.825490E+01             1.775085E-01             7.404947E-01             4.998658E-01             1.681223E+00
                  28.4400             1.825431E+01             1.791991E-01             7.309800E-01             4.998820E-01             1.651132E+00
                  28.6200             1.825374E+01             1.808464E-01             7.217263E-01             4.998976E-01             1.621749E+00
                  28.8000             1.825319E+01             1.824514E-01             7.127386E-01             4.999125E-01             1.593063E+00
                  28.9800             1.825267E+01             1.840149E-01             7.040201E-01             4.999269E-01             1.565062E+00
