                   Degree                L_f_vs[W]               L_ef_vh[W]                L_s_vh[W]               L_ef_ro[W]                 L_lub[W]              L_ef_vro[W]             L_ef_rohc[W]            L_lip_seal[W]         L_reexpansion[W]
                   0.0000             5.896399E-01             6.519298E-02             1.043226E+00             1.907878E+01             1.762751E+01             2.762007E-03             1.907602E+01             5.208684E+01             0.000000E+00
                   0.1800             4.235826E-01             6.519219E-02             1.071373E+00             1.907872E+01             1.793918E+01             2.767006E-03             1.907595E+01             5.208684E+01             0.000000E+00
                   0.3600             3.402041E-01             6.518959E-02             1.073567E+00             1.907847E+01             1.800940E+01             2.781995E-03             1.907569E+01             5.208684E+01             0.000000E+00
                   0.5400             2.568720E-01             6.518525E-02             1.075979E+00             1.907806E+01             1.808821E+01             2.806975E-03             1.907525E+01             5.208684E+01             0.000000E+00
                   0.7200             1.735928E-01             6.517919E-02             1.078609E+00             1.907748E+01             1.817542E+01             2.841945E-03             1.907464E+01             5.208684E+01             0.000000E+00
                   0.9000             9.039089E-02             6.517138E-02             1.081457E+00             1.907674E+01             1.827076E+01             2.886904E-03             1.907386E+01             5.208684E+01             0.000000E+00
                   1.0800             7.271636E-03             6.516185E-02             1.084523E+00             1.907584E+01             1.837396E+01             2.941848E-03             1.907289E+01             5.208684E+01             0.000000E+00
                   1.2600             7.577820E-02             6.515058E-02             1.087805E+00             1.907476E+01             1.848479E+01             3.006776E-03             1.907176E+01             5.208684E+01             0.000000E+00
                   1.4400             1.587393E-01             6.513759E-02             1.091301E+00             1.907353E+01             1.860293E+01             3.081682E-03             1.907045E+01             5.208684E+01             0.000000E+00
                   1.6200             2.416075E-01             6.512286E-02             1.095007E+00             1.907213E+01             1.872811E+01             3.166565E-03             1.906896E+01             5.208684E+01             0.000000E+00
                   1.8000             3.243707E-01             6.510640E-02             1.098922E+00             1.907056E+01             1.886001E+01             3.261418E-03             1.906730E+01             5.208684E+01             0.000000E+00
                   1.9800             4.070320E-01             6.508821E-02             1.103041E+00             1.906883E+01             1.899837E+01             3.366237E-03             1.906547E+01             5.208684E+01             0.000000E+00
                   2.1600             4.895752E-01             6.506830E-02             1.107362E+00             1.906694E+01             1.914287E+01             3.481016E-03             1.906346E+01             5.208684E+01             0.000000E+00
                   2.3400             5.719980E-01             6.504666E-02             1.111881E+00             1.906488E+01             1.929324E+01             3.605749E-03             1.906128E+01             5.208684E+01             0.000000E+00
