                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -8.407254E-01            -4.877324E+01             3.997472E+00             5.379174E+00             1.381702E+00             1.999684E+01             2.004452E+01
                   0.1800            -2.390742E+00            -5.002913E+01             2.779160E+00             4.921218E+00             2.149070E+00             2.068085E+01             2.079221E+01
                   0.3600            -3.110335E+00            -5.008827E+01             2.112284E+00             4.910775E+00             2.812554E+00             2.076934E+01             2.095892E+01
                   0.5400            -3.829246E+00            -5.014821E+01             1.446006E+00             4.901296E+00             3.476438E+00             2.085883E+01             2.114654E+01
                   0.7200            -4.547528E+00            -5.020911E+01             7.803119E-01             4.892703E+00             4.140651E+00             2.094931E+01             2.135459E+01
                   0.9000            -5.265092E+00            -5.027106E+01             1.153142E-01             4.884937E+00             4.805020E+00             2.104077E+01             2.158245E+01
                   1.0800            -5.981964E+00            -5.033414E+01            -5.489996E-01             4.877961E+00             5.469515E+00             2.113318E+01             2.182950E+01
                   1.2600            -6.698294E+00            -5.039839E+01            -1.212765E+00             4.871750E+00             6.134243E+00             2.122653E+01             2.209512E+01
                   1.4400            -7.414002E+00            -5.046383E+01            -1.875900E+00             4.866282E+00             6.799096E+00             2.132076E+01             2.237861E+01
                   1.6200            -8.129108E+00            -5.053048E+01            -2.538421E+00             4.861543E+00             7.464072E+00             2.141582E+01             2.267928E+01
                   1.8000            -8.843575E+00            -5.059833E+01            -3.200292E+00             4.857520E+00             8.129123E+00             2.151166E+01             2.299640E+01
                   1.9800            -9.557468E+00            -5.066740E+01            -3.861578E+00             4.854207E+00             8.794300E+00             2.160824E+01             2.332929E+01
                   2.1600            -1.027072E+01            -5.073765E+01            -4.522215E+00             4.851593E+00             9.459529E+00             2.170548E+01             2.367722E+01
                   2.3400            -1.098336E+01            -5.080910E+01            -5.182230E+00             4.849672E+00             1.012483E+01             2.180335E+01             2.403951E+01
                   2.5200            -1.169535E+01            -5.088173E+01            -5.841597E+00             4.848440E+00             1.079017E+01             2.190176E+01             2.441547E+01
                   2.7000            -1.240668E+01            -5.095552E+01            -6.500305E+00             4.847889E+00             1.145552E+01             2.200068E+01             2.480441E+01
                   2.8800            -1.311736E+01            -5.103047E+01            -7.158361E+00             4.848016E+00             1.212090E+01             2.210003E+01             2.520570E+01
                   3.0600            -1.382734E+01            -5.110656E+01            -7.815735E+00             4.848816E+00             1.278626E+01             2.219975E+01             2.561870E+01
                   3.2400            -1.453664E+01            -5.118378E+01            -8.472432E+00             4.850283E+00             1.345161E+01             2.229979E+01             2.604278E+01
                   3.4200            -1.524525E+01            -5.126211E+01            -9.128447E+00             4.852414E+00             1.411693E+01             2.240009E+01             2.647738E+01
                   3.6000            -1.595313E+01            -5.134155E+01            -9.783765E+00             4.855205E+00             1.478221E+01             2.250058E+01             2.692192E+01
                   3.7800            -1.666028E+01            -5.142208E+01            -1.043837E+01             4.858650E+00             1.544742E+01             2.260120E+01             2.737585E+01
                   3.9600            -1.736670E+01            -5.150368E+01            -1.109227E+01             4.862747E+00             1.611257E+01             2.270190E+01             2.783866E+01
                   4.1400            -1.807236E+01            -5.158634E+01            -1.174544E+01             4.867489E+00             1.677763E+01             2.280260E+01             2.830985E+01
                   4.3200            -1.877726E+01            -5.167004E+01            -1.239789E+01             4.872874E+00             1.744261E+01             2.290325E+01             2.878895E+01
                   4.5000            -1.948137E+01            -5.175478E+01            -1.304958E+01             4.878895E+00             1.810747E+01             2.300379E+01             2.927550E+01
                   4.6800            -2.018469E+01            -5.184053E+01            -1.370053E+01             4.885548E+00             1.877222E+01             2.310415E+01             2.976908E+01
                   4.8600            -2.088721E+01            -5.192728E+01            -1.435073E+01             4.892828E+00             1.943684E+01             2.320428E+01             3.026928E+01
                   5.0400            -2.158892E+01            -5.201501E+01            -1.500016E+01             4.900728E+00             2.010131E+01             2.330411E+01             3.077571E+01
                   5.2200            -2.228980E+01            -5.210370E+01            -1.564882E+01             4.909240E+00             2.076564E+01             2.340358E+01             3.128801E+01
                   5.4000            -2.298985E+01            -5.219333E+01            -1.629670E+01             4.918356E+00             2.142980E+01             2.350264E+01             3.180583E+01
                   5.5800            -2.368905E+01            -5.228387E+01            -1.694380E+01             4.928065E+00             2.209379E+01             2.360122E+01             3.232883E+01
                   5.7600            -2.438740E+01            -5.237530E+01            -1.759012E+01             4.938354E+00             2.275759E+01             2.369927E+01             3.285671E+01
                   5.9400            -2.508490E+01            -5.246758E+01            -1.823565E+01             4.949204E+00             2.342118E+01             2.379673E+01             3.338916E+01
                   6.1200            -2.578155E+01            -5.256067E+01            -1.888041E+01             4.960589E+00             2.408455E+01             2.389356E+01             3.392592E+01
                   6.3000            -2.647737E+01            -5.265451E+01            -1.952441E+01             4.972471E+00             2.474769E+01             2.398971E+01             3.446672E+01
                   6.4800            -2.717238E+01            -5.274901E+01            -2.016767E+01             4.984789E+00             2.541055E+01             2.408516E+01             3.501130E+01
                   6.6600            -2.786664E+01            -5.284402E+01            -2.081027E+01             4.997447E+00             2.607311E+01             2.417989E+01             3.555945E+01
                   6.8400            -2.856025E+01            -5.293935E+01            -2.145228E+01             5.010300E+00             2.673529E+01             2.427395E+01             3.611095E+01
                   7.0200            -2.925331E+01            -5.303478E+01            -2.209380E+01             5.023192E+00             2.739704E+01             2.436738E+01             3.666561E+01
                   7.2000            -2.994587E+01            -5.313018E+01            -2.273489E+01             5.036023E+00             2.805831E+01             2.446021E+01             3.722326E+01
                   7.3800            -3.063794E+01            -5.322547E+01            -2.337558E+01             5.048754E+00             2.871908E+01             2.455245E+01             3.778371E+01
                   7.5600            -3.132952E+01            -5.332064E+01            -2.401584E+01             5.061376E+00             2.937932E+01             2.464410E+01             3.834679E+01
                   7.7400            -3.202059E+01            -5.341568E+01            -2.465568E+01             5.073886E+00             3.003904E+01             2.473513E+01             3.891234E+01
