                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                   0.0000             1.615174E-06             2.838390E-07             1.615165E-06             2.667781E-15             1.806016E-08             1.075349E-07             1.456921E-06             9.123386E-12             2.026688E-20             1.331335E-06            -1.459100E-07            -3.196541E-07             8.657707E-07
                   0.1800             1.615427E-06             2.839763E-07             1.614539E-06             8.789092E-10             1.804087E-08             1.074382E-07             1.456921E-06             9.212263E-12             4.155175E-15             1.331451E-06            -1.459294E-07            -3.197507E-07             8.657707E-07
                   0.3600             1.615713E-06             2.841433E-07             1.613949E-06             1.754423E-09             1.802328E-08             1.073367E-07             1.456921E-06             9.307060E-12             8.200494E-15             1.331570E-06            -1.459637E-07            -3.198356E-07             8.657707E-07
                   0.5400             1.615990E-06             2.843045E-07             1.613354E-06             2.626755E-09             1.800627E-08             1.072386E-07             1.456921E-06             9.398631E-12             1.214398E-14             1.331685E-06            -1.459968E-07            -3.199177E-07             8.657707E-07
                   0.7200             1.616257E-06             2.844605E-07             1.612751E-06             3.496087E-09             1.798985E-08             1.071439E-07             1.456921E-06             9.487088E-12             1.599209E-14             1.331796E-06            -1.460288E-07            -3.199970E-07             8.657707E-07
                   0.9000             1.616515E-06             2.846113E-07             1.612143E-06             4.362585E-09             1.797402E-08             1.070523E-07             1.456921E-06             9.572487E-12             1.975032E-14             1.331904E-06            -1.460599E-07            -3.200733E-07             8.657707E-07
                   1.0800             1.616765E-06             2.847573E-07             1.611529E-06             5.226403E-09             1.795877E-08             1.069640E-07             1.456921E-06             9.654888E-12             2.342368E-14             1.332008E-06            -1.460901E-07            -3.201468E-07             8.657707E-07
                   1.2600             1.617006E-06             2.848984E-07             1.610908E-06             6.087690E-09             1.794412E-08             1.068788E-07             1.456921E-06             9.734332E-12             2.701692E-14             1.332108E-06            -1.461194E-07            -3.202174E-07             8.657707E-07
                   1.4400             1.617239E-06             2.850348E-07             1.610282E-06             6.946592E-09             1.793004E-08             1.067967E-07             1.456921E-06             9.810836E-12             3.053458E-14             1.332204E-06            -1.461480E-07            -3.202851E-07             8.657707E-07
                   1.6200             1.617463E-06             2.851664E-07             1.609650E-06             7.803252E-09             1.791655E-08             1.067177E-07             1.456921E-06             9.884409E-12             3.398112E-14             1.332296E-06            -1.461757E-07            -3.203499E-07             8.657707E-07
                   1.8000             1.617678E-06             2.852933E-07             1.609011E-06             8.657814E-09             1.790364E-08             1.066418E-07             1.456921E-06             9.955044E-12             3.736090E-14             1.332385E-06            -1.462025E-07            -3.204120E-07             8.657707E-07
                   1.9800             1.617886E-06             2.854153E-07             1.608365E-06             9.510420E-09             1.789129E-08             1.065690E-07             1.456921E-06             1.002273E-11             4.067824E-14             1.332470E-06            -1.462285E-07            -3.204712E-07             8.657707E-07
                   2.1600             1.618084E-06             2.855324E-07             1.607713E-06             1.036121E-08             1.787950E-08             1.064993E-07             1.456921E-06             1.008746E-11             4.393741E-14             1.332552E-06            -1.462536E-07            -3.205277E-07             8.657707E-07
                   2.3400             1.618274E-06             2.856445E-07             1.607054E-06             1.121034E-08             1.786827E-08             1.064328E-07             1.456921E-06             1.014920E-11             4.714267E-14             1.332630E-06            -1.462776E-07            -3.205815E-07             8.657707E-07
                   2.5200             1.618455E-06             2.857515E-07             1.606387E-06             1.205793E-08             1.785759E-08             1.063694E-07             1.456921E-06             1.020795E-11             5.029825E-14             1.332704E-06            -1.463007E-07            -3.206326E-07             8.657707E-07
                   2.7000             1.618628E-06             2.858533E-07             1.605713E-06             1.290414E-08             1.784745E-08             1.063091E-07             1.456921E-06             1.026370E-11             5.340840E-14             1.332774E-06            -1.463227E-07            -3.206811E-07             8.657707E-07
                   2.8800             1.618791E-06             2.859500E-07             1.605032E-06             1.374910E-08             1.783785E-08             1.062520E-07             1.456921E-06             1.031643E-11             5.647741E-14             1.332841E-06            -1.463436E-07            -3.207270E-07             8.657707E-07
                   3.0600             1.618946E-06             2.860414E-07             1.604342E-06             1.459296E-08             1.782879E-08             1.061979E-07             1.456921E-06             1.036613E-11             5.950959E-14             1.332904E-06            -1.463634E-07            -3.207703E-07             8.657707E-07
                   3.2400             1.619091E-06             2.861276E-07             1.603645E-06             1.543587E-08             1.782025E-08             1.061471E-07             1.456921E-06             1.041282E-11             6.250928E-14             1.332964E-06            -1.463820E-07            -3.208111E-07             8.657707E-07
                   3.4200             1.619228E-06             2.862085E-07             1.602940E-06             1.627796E-08             1.781224E-08             1.060993E-07             1.456921E-06             1.045649E-11             6.548088E-14             1.333020E-06            -1.463996E-07            -3.208494E-07             8.657707E-07
                   3.6000             1.619356E-06             2.862841E-07             1.602226E-06             1.711938E-08             1.780475E-08             1.060546E-07             1.456921E-06             1.049715E-11             6.842884E-14             1.333072E-06            -1.464160E-07            -3.208852E-07             8.657707E-07
                   3.7800             1.619475E-06             2.863545E-07             1.601504E-06             1.796027E-08             1.779778E-08             1.060131E-07             1.456921E-06             1.053481E-11             7.135766E-14             1.333120E-06            -1.464312E-07            -3.209185E-07             8.657707E-07
                   3.9600             1.619585E-06             2.864196E-07             1.600774E-06             1.880078E-08             1.779132E-08             1.059746E-07             1.456921E-06             1.056947E-11             7.427187E-14             1.333165E-06            -1.464453E-07            -3.209494E-07             8.657707E-07
                   4.1400             1.619686E-06             2.864795E-07             1.600035E-06             1.964104E-08             1.778536E-08             1.059391E-07             1.456921E-06             1.060116E-11             7.717605E-14             1.333207E-06            -1.464582E-07            -3.209779E-07             8.657707E-07
                   4.3200             1.619779E-06             2.865342E-07             1.599287E-06             2.048120E-08             1.777991E-08             1.059068E-07             1.456921E-06             1.062988E-11             8.007481E-14             1.333245E-06            -1.464700E-07            -3.210039E-07             8.657707E-07
                   4.5000             1.619863E-06             2.865838E-07             1.598531E-06             2.132141E-08             1.777497E-08             1.058774E-07             1.456921E-06             1.065567E-11             8.297279E-14             1.333279E-06            -1.464807E-07            -3.210276E-07             8.657707E-07
                   4.6800             1.619938E-06             2.866283E-07             1.597766E-06             2.216179E-08             1.777052E-08             1.058510E-07             1.456921E-06             1.067853E-11             8.587462E-14             1.333310E-06            -1.464903E-07            -3.210489E-07             8.657707E-07
                   4.8600             1.620005E-06             2.866677E-07             1.596992E-06             2.300250E-08             1.776656E-08             1.058275E-07             1.456921E-06             1.069849E-11             8.878495E-14             1.333337E-06            -1.464987E-07            -3.210679E-07             8.657707E-07
                   5.0400             1.620063E-06             2.867022E-07             1.596209E-06             2.384367E-08             1.776308E-08             1.058070E-07             1.456921E-06             1.071559E-11             9.170837E-14             1.333361E-06            -1.465061E-07            -3.210846E-07             8.657707E-07
                   5.2200             1.620114E-06             2.867317E-07             1.595417E-06             2.468542E-08             1.776009E-08             1.057894E-07             1.456921E-06             1.072985E-11             9.464943E-14             1.333382E-06            -1.465124E-07            -3.210989E-07             8.657707E-07
                   5.4000             1.620156E-06             2.867564E-07             1.594617E-06             2.552790E-08             1.775756E-08             1.057746E-07             1.456921E-06             1.074132E-11             9.761252E-14             1.333399E-06            -1.465176E-07            -3.211111E-07             8.657707E-07
                   5.5800             1.620190E-06             2.867764E-07             1.593808E-06             2.637122E-08             1.775550E-08             1.057625E-07             1.456921E-06             1.075006E-11             1.006019E-13             1.333413E-06            -1.465218E-07            -3.211210E-07             8.657707E-07
                   5.7600             1.620216E-06             2.867917E-07             1.592990E-06             2.721548E-08             1.775388E-08             1.057532E-07             1.456921E-06             1.075614E-11             1.036214E-13             1.333424E-06            -1.465249E-07            -3.211288E-07             8.657707E-07
                   5.9400             1.620235E-06             2.868027E-07             1.592163E-06             2.806078E-08             1.775270E-08             1.057465E-07             1.456921E-06             1.075965E-11             1.066743E-13             1.333432E-06            -1.465271E-07            -3.211345E-07             8.657707E-07
